Company,Date of Publishing,Author,Headline,Description,Article Body,URL
HDFC,2024-05-07T12:26:00+05:30,Bloomberg,Axis Bank brings expats to India in push to woo global firms,"Axis Bank Ltd. aims to boost its global business by hiring Asian expatriates, targeting mid-sized companies from countries like South Korea, Japan, US, Germany, Italy, and France. Facing challenges with South Korean and Japanese firms due to language barriers, the bank has recruited expatriates to facilitate connections and expand its corporate banking division.","Axis Bank Ltd is on a lookout to hire Asian expatriates to help the lender win business from multinational companies. The bank, that recently overtook Kotak Mahindra Bank Ltd. to become the third largest private lender in India, is targeting mid-sized companies in this area, the fastest growing business in its corporate banking division. It sees this as an “under-served” market by global banks, according to Rajiv Anand, Axis’ deputy managing director.Axis is focused on companies from countries like South Korea, Japan, US, Germany, Italy and France that have good ties with India. Getting the inside track into South Korean and Japanese firms has proven tougher however, due to language and cultural barriers, according to Anand. The bank is seeking to bring on board expatriates who can help make connections with companies and their executives, Anand said. So far, it has hired a Korean expatriate, based in the southern city of Bangalore, and a Japanese, who was relocated to Mumbai.Financial firms in India have been on a hiring spree, though the country doesn’t have the depth of domestic talent that other more established markets do. Headhunters see the likes of investment banks seeking to bring professionals who carved out careers abroad back to India and Bloomberg Intelligence said finance professionals in the country may be in line for a 10% pay rise this year, outstripping rival locations in Asia.Axis is ranked second behind HDFC Bank Ltd. for arranging local currency loans in India so far this year, and fifth place for foreign currency loans, according to data compiled by Bloomberg. ",https://economictimes.indiatimes.com/markets/stocks/news//industry/banking/finance/banking/axis-bank-brings-expats-to-india-in-push-to-woo-global-firms/articleshow/109909412.cms
HDFC,2024-05-07T05:41:00+05:30,ET Bureau,"Kotak Bank 'attractive' despite short-term issues, rises over 5%","Analysts said despite the short-term challenges, the bank's valuations are attractive compared to its peers given its sector-leading metrics on key parameters. Regulatory relief and top management stability will be key catalysts in the near term.","Mumbai: Analysts at most top brokerages reduced or retained share price targets on Kotak Mahindra Bank after the company reported strong March quarter results. The stock jumped 5.02% to close at ₹1,624.4, emerging as the top gainer on the Sensex and Nifty on Monday.Analysts said despite the short-term challenges, the bank's valuations are attractive compared to its peers given its sector-leading metrics on key parameters. Regulatory relief and top management stability will be key catalysts in the near term.Kotak shares are down 14.9% so far this year as against a 1.4% gain in the Bank Nifty and 3.2% upside in the Nifty.Nomura said the stock has significant value compared to peers, as it is trading at a discount to HDFC Bank and ICICI Bank in terms of both price to earnings (PE) and price to book (PB) ratios.109899320 With the recent sharp correction in the share price, it now also fits very well into our 'value'-focused framework as well,  said analysts at Nomura.  While the resolution of RBI's embargo and any further churn in top management will be key to watch, we find current valuations attractive for a high-quality franchise. They added that Kotak Bank is superior to its peers in terms of return on assets, funding cost, net interest margin, deposit growth and liquidity.Analysts at UBS said the bank expects a potential impact of ₹300-450 crore on profit before tax due to the recent regulatory action.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/kotak-bank-attractive-despite-short-term-issues-rises-over-5/articleshow/109899300.cms
HDFC,2024-05-06T13:00:00+05:30,Spotlight Wire,Lightning-fast bill payments with PayZapp: Know how you can pay electricity bills with a single swipe,"PayZapp by HDFC Bank simplifies bill payments with digital banking, multiple bill management, one-swipe feature, promo code savings, and versatile payment options. Enjoy efficient bill payments with added benefits across Android and iOS devices.","Your electricity bill payment is a monthly obligation that you cannot avoid. No matter which part of the country you live in or who your service provider is, you must keep paying this bill month after month to enjoy uninterrupted electricity services. But unlike in the past, when you had to queue up at the electricity board’s offices and pay the bill in person, now you can pay your electricity bills from the comfort of your home or work, or even on the go through online platforms. One such online electricity bill payment method is PayZapp by HDFC Bank, a hassle-free one-stop solution.How PayZapp is redefining bill paymentsDigital banking has made life a lot simpler. Gone are the queues, the time taken for payments to clear and the stress of making a bill payment on time. With PayZapp, things are elevated further, Serving as a single platform allowing you to manage multiple kinds of bills, PayZapp offers 360-degree bill payment solutions.PayZapp is a game changer simply because it brings order to chaos. From tracking the service provider where you need to clear a bill, to keeping track of specifics such as your consumer number, the due date and even the amount overdue along with your own personal information, it simplifies the process.Paying your first electricity Bill on PayZappThe first thing you will notice when you download PayZapp by HDFC Bank is that all your regular billers are listed here. Besides electricity bills, you can pay your telephone, gas, water, municipal services, investment, insurance, and so many other bills on this app. This ensures that you don’t have to run from pillar to post or fire up different websites to pay various utility bills. Now, let’s say you’re paying your first electricity bill. At this time, you will have to follow these steps:Login to PayZapp and click on the ‘Bills and Recharges’ menu on the home page.Go to the ‘Utilities’ section and tap on ‘Electricity’.Select your biller’s name from the exhaustive list of billers and enter your consumer number, building unit number, and other similar details requested by PayZapp.Give PayZapp a few seconds to retrieve your bill details.Review the billed amount, choose your preferred payment method, and pay the bill.Paying subsequent electricity bills on PayZapp – The one-swipe featureYour first electricity bill payment on PayZapp will mirror every other online bill payment process. However, that’s where the similarities end.The app saves your vital billing information once you pay your first electricity bill on PayZapp. It stores all the pertinent details like your electricity board’s name, consumer number, linked registered mobile number, and the payment method chosen while paying the first bill.The next time you log in to PayZapp, you do not have to provide any of these details. Here’s what you’ll have to do:Login to PayZapp with your finger/thumb impression.Click on ‘Bills and Recharges’. You’ll see all your frequently used biller's data, as well as the new bills that have been generated by your biller automatically.Choose your electricity biller and simply tap on ‘Swipe to Pay’.That’s it! With a swipe from left to right, you can pay your electricity bill. You don’t have to be burdened with logging in on a website or inputting your consumer number and other details. What’s more, in an instant, your bill will be paid, and you’ll be notified instantly.Other reasons to choose PayZapp for bill paymentsPayZapp can be used by everyone. Whether you’re a customer of HDFC Bank or another bank, your digital transactions can be simplified instantly. Making this app your trusted friend when it comes to bill payments comes with other exceptional benefits too:You’ll find all your utility billers on the app.PayZapp saves all your frequent biller’s data on the home page.You only need to select your utility provider’s name to leverage the ‘Swipe to Pay’ feature.You can be done with paying all your monthly bills in under five minutes without having to look up data from your physical bills.You can also enjoy savings on your bill payments and use promo codes that translate to ‘cashpoints’.You can link your various bank cards (including Non-HDFC Bank cards) and UPI accounts to PayZapp and choose your preferred payment modes.You can change your preferred mode of payment on the app at any time.The beauty of using PayZapp is that you will know how convenient bill payments are once you have started using it. PayZapp is available across Android and iOS devices and can be downloaded via the Google Play and iOS Apple App stores.*Disclaimer: Terms and conditions apply. The information provided in this article is generic in nature and for informational purposes only. It is not a substitute for specific advice in your own circumstances.Disclaimer - The above content is non-editorial, and TIL hereby disclaims any and all warranties, expressed or implied, relating to it, and does not guarantee, vouch for or necessarily endorse any of the content.",https://economictimes.indiatimes.com/markets/stocks/news//industry/banking/finance/banking/lightning-fast-bill-payments-with-payzapp-know-how-you-can-pay-electricity-bills-with-a-single-swipe/articleshow/109878131.cms
HDFC,2024-05-05T11:31:00+05:30,Navdeep Singh,"Corporate actions this week: HDFC Bank, HCL Technologies to go ex-dividend, Sanginita Chemicals right issu","This week is packed with notable corporate actions. HDFC Bank, HCL Technologies, Oracle Financial Services Software, Laurus Labs, UCO Bank, and Bank of Maharashtra are set to go ex-dividend, while Ajooni Biotech and Sanginita Chemicals have their rights issue ex-date scheduled.","This week is packed with notable corporate actions. HDFC Bank, HCL Technologies, Oracle Financial Services Software, Laurus Labs, UCO Bank, and Bank of Maharashtra are set to go ex-dividend, while Ajooni Biotech and Sanginita Chemicals have their rights issue ex-date scheduled.On Monday, May 6, John Cockerill India (Rs 7/share) will go ex-dividend. Moving to Tuesday, May 7, HCL Technologies (Rs 18/share) and Oracle Financial Services Software (Rs 240/share) will follow suit.On Wednesday, May 8, Laurus Labs (Rs 0.4/share) will trade ex-dividend, while GM Breweries (Rs 7/share) will do so on Thursday, May 9.Aptech (Rs 4.5/share), Bank of Maharashtra (Rs 1.4/share), DCB Bank (Rs 1.25/share), Gujarat Intrux (Rs 7/share), HDFC Bank (Rs 19.5/share), Ramkrishna Forgings (Re 1/share), Transformers & Rectifiers (Rs 0.2/share), UCO Bank (Rs 0.28/share) will trade ex-dividend on Friday, May 10.The ex-dividend date is when the price of the equity shares of a company gets adjusted for the dividend payout. It is one or two working days before the record date. All the shareholders whose names appear in the company's list by the end of the record date will be eligible to receive dividends.Sonam Ltd (Rs 10 to Rs 5) will undergo a stock split on Friday, aiming to enhance stock liquidity.Meanwhile, the record date for Ajooni Biotech and Sanginita Chemicals rights issues is set for Tuesday, May 7, 2024.A rights issue is a prevalent form of corporate action where the company invites existing shareholders to buy additional shares in the company at a discounted price within the said period (the cut-off date).However, as existing shareholders of the company, you do not have an obligation to buy additional shares. If you think the company has a flourishing business, you can apply for the rights issue and increase your stake within the company.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of the Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/corporate-actions-this-week-hdfc-bank-hcl-technologies-to-go-ex-dividend-sanginita-chemicals-right-issue-and-more/articleshow/109853410.cms
HDFC,2024-05-04T23:52:00+05:30,Faizan Haidar and Sobia Khan,HDFC Capital exits Total Environment project in Bengaluru,"HDFC Capital, a subsidiary of HDFC Bank and the real estate private equity arm of HDFC Group, has exited a Bengaluru project by Total Environment, yielding a return close to ₹300 crore. Initially investing ₹229 crore in the Whitefield-based Pursuit of a Radical Rhapsody project, HDFC Capital supported the development of one million square feet of residential apartments. ","HDFC Capital, a subsidiary of HDFC Bank and the real estate private equity arm of HDFC Group, has exited a Total Environment project in Bengaluru with a return of close to ₹300 crore. HDFC Capital had invested Rs 229 crore in a residential apartment project located in Whitefield, Bengaluru. The investment supported the development of one million square feet of residential apartments in the Pursuit of a Radical Rhapsody project. The project consisted of 4.4 million sq ft of residential and 500,000 sq ft of commercial development.  This exit is a big milestone for all of our stakeholders, having witnessed significant value creation, and we are looking forward to creating further value for all of our stakeholders through the ongoing investments by HDFC Capital,  said Kamal Sagar, founder, Total Environment.Driven by the post-Covid-19 increase in demand for projects by reputed developers, the Bengaluru-based developer generated returns of ₹527 crore to provide an exit to HDFC Capital. In addition, Total Environment has returned ₹250 crore against other investments by HDFC Capital in 2023-24. The successful exit of the equity investment highlights our strategy of partnering with top-rated developers with a good track record of development and delivery with a focus on high-quality homes in India,  said Kunal Wadhwani, principal-investments, HDFC Capital. Since its founding in 1996, Total Environment has delivered 5.5 million sq ft of residential and commercial space, and it currently has 14 million sq ft under construction.HDFC Capital is the investment manager for four category II alternative investment funds registered with the Securities and Exchange Board of India. These funds combine to create a $3 billion platform targeting the development of affordable and mid-income housing in India.",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/property-/-cstruction/hdfc-capital-exits-total-environment-project-in-bengaluru/articleshow/109845886.cms
HDFC,2024-05-04T16:27:00+05:30,Faizan Haidar and Sobia Khan,HDFC Capital exits with Rs 298 crore return from Total Environment project in Bangalore,"HDFC Capital, a subsidiary of HDFC Bank Ltd, exited a Total Environment project in Bangalore, yielding a return of close to Rs 300 crore. The investment of Rs 229 crore was for a residential apartment project in Whitefield called  Pursuit of a Radical Rhapsody . Total Environment, founded in 1996, boasts a track record of delivering 5.5 million sft of residential and commercial space, with 14 million sft currently under construction. The successful exit reflects HDFC Capital's strategy of partnering with reputable developers to focus on high-quality homes in India.","HDFC Capital, a subsidiary of HDFC Bank Ltd and the real estate private equity arm of HDFC Group, has exited from a Total Environment project in Bangalore with a return of close to Rs 300 crore.HDFC Capital had invested Rs 229 crore in a residential apartment project located in Whitefield, Bangalore. The Investment was against development of 1mn sf of residential apartments in the project named “Pursuit of a Radical Rhapsody”. The project comprised of 4.4mn sf of residential and 500,000 sf of commercial development.  This exit is a big milestone for all ourstakeholders, having witnessed significant value creation, and we’re looking forward to creating further value for all our stakeholders through the ongoing investments by HDFC Capital,” said Kamal Sagar, Founder, Total Environment.Driven by the post-pandemic rise in demand for projects by reputed developers, the Bangalore based developer generated returns of Rs 527 crore to provide an exit to HDFC Capital. In addition to the above, Total Environment has returned Rs 250 crore against other investments by HDFC Capital in FY 2023-24.“The successful exit of the equity investment highlights our strategy of partnering with top rated developers with a good track record of development and delivery with focus on high quality homes in India,” said Kunal Wadhwani, Principal Investments, HDFC Capital. Total Environment was founded in 1996 and has delivered 5.5 million sft. of residential and commercial space and a total of 14 million sft under construction currently.HDFC Capital is the investment manager to four SEBI-registeredCategory II Alternative Investment Funds. These funds combine to create a US$ 3 billion platform targeting the development of affordable and mid-income housing in India.",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/property-/-cstruction/hdfc-capital-exits-with-rs-298-crore-return-from-total-environment-project-in-bangalore/articleshow/109839812.cms
HDFC,2024-05-03T19:15:00+05:30,ET Online,RBI approves reappointment of Atanu Chakraborty as part-time chairman of HDFC Bank for 3 years,"Atanu Chakraborty has been reappointed as the part-time chairman of HDFC Bank by the Reserve Bank of India for a three-year term from May 5, 2024, to May 4, 2027. With a 35-year tenure in the Indian Administrative Service (IAS) in the Gujarat cadre, Chakraborty has extensive experience in finance, economic policy, infrastructure, and petroleum and natural gas sectors. He held key positions in the Union Government, including Secretary in the Ministry of Finance-Department of Economic Affairs, where he oversaw economic policy-making and budget formulation. ","The Reserve Bank of India on Friday approved the reappointment of Atanu Chakraborty as part time chairman of HDFC Bank for a period of three years w.e.f. May 05, 2024 to May 04, 2027.Chakraborty served the Government of India for 35 years as a member of the Indian Administrative Service (IAS) in the Gujarat cadre. His focus areas included finance and economic policy, infrastructure, and petroleum and natural gas. In the Union Government, he held various positions, including Secretary to the Government of India in the Ministry of Finance-Department of Economic Affairs (DEA) during the fiscal year 2019-20. In this role, he coordinated economic policy-making for all ministries/departments and managed the entire process of formulating the Union budget, including its passage in Parliament.He has also served as Secretary to the Union Government for Disinvestment (Department of Investment and Public Asset Management) wherein he was responsible for both policy as well as execution of the process of disinvestment of Government of India’s stake in state owned enterprises. During the period 2002-07, he served as Director and subsequently as Joint Secretary, Ministry of Finance (Department of Expenditure). During this period, he appraised projects in the Infrastructure sector as well as looked after subsidies of Government of India. He had also updated and modernized the Government’s Financial and Procurement rules. Mr. Chakraborty has also discharged varied roles in the Gujarat State Government including heading the Finance Department as its Secretary. Chakraborty has also served on the Board of World Bank as alternate Governor as well as on the Central Board of Directors of the Reserve Bank of India. He was also the Chairman of National Infrastructure Investment Fund (NIIF) as also on the Board of many listed companies. Mr. Chakraborty was the CEO/MD of the Gujarat State Petroleum Corporation Limited group of companies as well as Gujarat State Fertilizers and Chemicals Limited. Mr. Chakraborty had published articles in reputed journals in the areas of public finance, risk sharing in Infrastructure projects and gas infrastructure.",https://economictimes.indiatimes.com/markets/stocks/news//industry/banking/finance/banking/rbi-approves-reappointment-of-atanu-chakraborty-as-part-time-chairman-of-hdfc-bank-for-3-years/articleshow/109821313.cms
HDFC,2024-05-02T16:30:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 43.36 points  up  at 22648.2,"NEW DELHI: REC(Rs. 4536.81 crore), Kotak Bank(Rs. 4187.78 crore), ICICI Bank(Rs. 2869.67 crore), Power Finance Corp.(Rs. 2600.82 crore), HDFC Bank(Rs. 2563.50 crore), RIL(Rs. 2134.26 crore), SBI(Rs. 1656.17 crore), BHEL(Rs. 1536.10 crore), Infosys(Rs. 1428.31 crore) and Axis Bank(Rs. 1423.08 crore) were among the most traded securities on the National Stock Exchange in Thursday's session.   The NSE Nifty index ended the session 43.36 points up at 22648.2, while BSE Sensex rose 128.33 points to 74611.11.   In the Nifty index, Bharat Petroleum Corporation Ltd.(up 4.50 per cent), Power Grid Corporation of India Ltd.(up 3.90 per cent), Asian Paints Ltd.(up 3.46 per cent), Bajaj Auto Ltd.(up 2.33 per cent) and Tata Motors Ltd.(up 1.98 per cent) stood among the top gainers.   On the other hand, Kotak Mahindra Bank Ltd.(down 2.98 per cent), Tata Consumer Products Ltd.(down 1.56 per cent), Bharti Airtel Ltd.(down 1.39 per cent), Axis Bank Ltd.(down 1.38 per cent) and HDFC Life Insurance Company Ltd.(down 1.26 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/109786003.cms
HDFC,2024-05-02T11:20:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 31.36 points  up  at 22636.2,"NEW DELHI: REC(Rs. 2772.05 crore), Kotak Bank(Rs. 2228.12 crore), Power Finance Corp.(Rs. 1752.70 crore), ICICI Bank(Rs. 1216.87 crore), HDFC Bank(Rs. 1208.92 crore), BHEL(Rs. 1159.01 crore), SBI(Rs. 794.51 crore), RIL(Rs. 779.76 crore), Power Grid(Rs. 744.95 crore) and NHPC(Rs. 661.92 crore) were among the most traded securities on the National Stock Exchange at 11:20AM in Thursday's session.   The NSE Nifty index traded 31.36 points up at 22636.2, while BSE Sensex was up 108.65 points at 74591.43 as of 11:20AM(IST)on May 02.   In the Nifty index, Power Grid Corporation of India Ltd.(up 3.70 per cent), Bharat Petroleum Corporation Ltd.(up 3.36 per cent), Bajaj Auto Ltd.(up 2.28 per cent), Tata Motors Ltd.(up 1.84 per cent) and Tata Steel Ltd.(up 1.73 per cent) were among the top gainers.   On the other hand, Kotak Mahindra Bank Ltd.(down 3.67 per cent), Tata Consumer Products Ltd.(down 2.06 per cent), Divi's Laboratories Ltd.(down 1.43 per cent), Wipro Ltd.(down 1.42 per cent) and ICICI Bank Ltd.(down 1.10 per cent) were among the top losers. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109774457.cms
HDFC,2024-04-30T16:56:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 38.56 points  down  at 22604.85,"NEW DELHI: HDFC Bank(Rs. 3996.97 crore), REC(Rs. 3609.81 crore), ICICI Bank(Rs. 3426.34 crore), Kotak Bank(Rs. 2971.90 crore), Power Finance Corp.(Rs. 2319.14 crore), SBI(Rs. 2271.55 crore), Trent(Rs. 2231.79 crore), Axis Bank(Rs. 2213.05 crore), RIL(Rs. 1691.08 crore) and PNB(Rs. 1333.94 crore) were among the most traded securities on the National Stock Exchange in Tuesday's session.   The NSE Nifty index ended the session 38.56 points down at 22604.85, while BSE Sensex fell 188.5 points to 74482.78.   In the Nifty index, Mahindra & Mahindra Ltd.(up 4.58 per cent), Power Grid Corporation of India Ltd.(up 2.78 per cent), Shriram Finance Ltd.(up 2.39 per cent), Hero MotoCorp Ltd.(up 1.92 per cent) and IndusInd Bank Ltd.(up 1.92 per cent) stood among the top gainers.   On the other hand, Tech Mahindra Ltd.(down 1.93 per cent), Bharat Petroleum Corporation Ltd.(down 1.86 per cent), JSW Steel Ltd.(down 1.52 per cent), HCL Technologies Ltd.(down 1.50 per cent) and Dr. Reddy's Laboratories Ltd.(down 1.48 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/109728936.cms
