Company,Date of Publishing,Author,Headline,Description,Article Body,URL
TCS,2024-05-06T19:56:00+05:30,Nishtha Awasthi,"IT stocks' valuation palatable, says Kotak Equities. Check top 4 picks","Infosys, TCS and HCL Tech remain top picks of brokerage firm Kotak Institutional Equities followed by Cyient in the mid-tier segment amid an extended outlook for weak demand and macro uncertainty in the IT sector.","Infosys, TCS and HCL Tech remain top picks of brokerage firm Kotak Institutional Equities followed by Cyient in the mid-tier segment amid an extended outlook for weak demand and macro uncertainty in the IT sector.“Recovery hopes have been pushed back to FY2026. Stock price corrections in the past few months have made valuations more palatable. Infosys is our top pick followed by TCS and HCLT. We like Cyient among mid-tier. Further correction can make other mid-tier IT stocks interesting,” stated the report.Here’s a summary of the target price for the above-mentioned stocks:InfosysThe target price for the stock has been set at Rs 1,750, with a ‘buy’ rating. This indicates an upside potential of 22.7%.TCSKIE recommends a target price of Rs 4,300, signaling a 9.7% upside from the current market price of Rs 3,992.HCL TechnologiesHCL’s target price has been fixed 17.7% higher at Rs 1,600.CyientThe target price for Cyient is placed at Rs 2,275, 28% higher than the current price.The brokerage views that Infosys has a reasonable growth visibility in FY2025 aided by large deal wins in the past few quarters and will stand to benefit disproportionately compared to Tier-1 peers when discretionary spending picks up. Stocks such as LTIM and Persistent have come off from highs but still trade at expensive valuations. Mid-tier grew at an aggregate of 3.5% year-on-year (YoY) compared to 0.1% YoY growth of Tier-1. The difference in growth rates has reduced significantly in the past several quarters although mid-tier continues to outpace Tier-1 on growth.“IT companies outlook leads to a reset of both growth and margin expectations for FY2025. Revenue growth guidance for FY2025 missed expectations for all companies. Modest guidance was driven by a weak discretionary spending environment, continuation of ramp-downs in existing engagements although at a lower pace and slower conversion of pipeline to TCV and revenue. Companies do not expect any improvement in FY2025,” Kotak further added.IT firms indicated working on several gen AI PoCs for clients but have not provided any break-up of revenue from generative AI, unlike Accenture. At the current stage of adoption, it appears that the revenue from generative AI projects is not significant for Indian IT. Scaled-up programs and foundation work required for AI such as the development of appropriate cloud and data infrastructure can drive revenues in case the adoption increases among clients.Also read: Vijay Kedia's Portfolio: 4 stocks surge 25-60% in CY24; do you own any?(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/it-stocks-valuation-palatable-says-kotak-equities-check-top-4-picks/articleshow/109890964.cms
TCS,2024-05-06T15:51:00+05:30,PTI,BSNL to launch 4G services across India in August; to use indigenous technology,"State-owned BSNL will start rolling out 4G services across the country from August, using completely indigenous technology in line with the government's  Atmanirbhar  policy, according to official sources. BSNL officials claimed to have recorded peak speed of 40-45 megabit per second on the 4G network which has been rolled out in the premium spectrum band of 700 megahertz (Mhz) as well as in 2,100 Mhz band during the pilot phase.","State-owned BSNL will start rolling out 4G services across the country from August, using completely indigenous technology in line with the government's  Atmanirbhar  policy, according to official sources. BSNL officials claimed to have recorded peak speed of 40-45 megabit per second on the 4G network which has been rolled out in the premium spectrum band of 700 megahertz (Mhz) as well as in 2,100 Mhz band during the pilot phase.  The company has rolled out 4G services in Punjab using indigenously developed technology by IT company TCS and state-run telecom research organisation C-DoT-led consortium and onboarded around 8 lakh subscribers.   The 4G core developed by C-DoT is performing very well in the BSNL network in Punjab. It was installed in July last year. It takes 12 month to prove the success of such complex technology but the C-DoT core has stabilised within 10 months. BSNL will launch atmanirbhar 4G technology across the country in August,  a senior government official, who did not wish to be named, told PTI.  The core network is a collection of network hardware, devices, and software that provides fundamental services in a telecommunication network. Telecom regulator Trai in a recent paper explained core as part of a network that offers the functionality of aggregation, call control, switching, authentication, charging, gateway functionality, etc.  TCS, Tejas Networks and government-owned ITI have bagged orders worth about Rs 19,000 crore from BSNL for deploying 4G network which is upgradable to 5G.  In a recent earnings call, Tejas Networks Executive Director and chief operating officer Arnob Roy said BSNL's mobile network is getting deployed across zones.  He said that wherever the C-DOT core is not available on the BSNL network, the equipment is getting integrated to the existing core.   When the C-DOT core gets deployed in those circles, in those zones, they will get parented to the C-DOT core as well. Tejas Networks Limited. This is just a temporary situation where the RAN (radio access network) is deployed and in that zone, the core is not available,  Roy said.  BSNL is in the process of deploying 1.12 lakh towers for 4G and 5G services across India.   The company has installed over 9,000 towers for 4G service across the country, out of which more than 6,000 are active in Punjab, Himachal Pradesh, UP West and Haryana circle. BSNL has been selling 4G capable SIM only for the last 4-5 years. Only those customers who have older SIM will need to get new SIM to experience the service,  a BSNL official said.",https://economictimes.indiatimes.com/markets/stocks/news//industry/telecom/telecom-news/bsnl-to-launch-4g-services-across-india-in-august-to-use-indigenous-technology/articleshow/109883938.cms
TCS,2024-05-06T15:49:00+05:30,Navdeep Singh,D-Street ends volatile trade on a muted note as gains in IT offset by selloff in PSBs,"Indian shares ended on a muted note with state-owned banks declining and IT stocks rising on U.S. rate cut expectations. Key indices showed mixed movements, influenced by RBI guidelines and quarterly results. Market experts suggest cautious optimism amid global economic trends.","Indian shares closed flat amidst volatile trading on Monday, with declines in state-owned lenders offsetting gains in information technology stocks fueled by growing expectations of U.S. rate cuts.The 30-share BSE benchmark Sensex inched up by 17 points or 0.02%, settling at 73,895. Meanwhile, the broader NSE Nifty declined by 33 points or 0.15%, concluding at 22,443.Among the constituents of the Sensex, Kotak Bank, TCS, HUL, M&M, and Sun Pharma finished in positive territory, whereas Titan, SBI, NTPC, Power Grid, and Bajaj Finance closed with losses.The Nifty PSU Bank index slid 3.7% after the Reserve Bank of India's draft guidelines on project finance proposed lenders set aside higher provisions for under-construction infrastructure projects. Consequently, PNB, Canara Bank, and Bank of Baroda witnessed declines ranging from 4-6%.On the flip side, Nifty Private Bank closed 0.4% higher, buoyed by a 5% jump in Kotak Mahindra Bank after it beat quarterly profit estimates.Among individual stocks, Paytm shares closed with a 5% lower circuit after Bhavesh Gupta, Chief Operating Officer and President of One 97 Communications (OCL), resigned from the fintech firm.Meanwhile, the market capitalisation of all listed companies on BSE declined by Rs 2.83 lakh crore to Rs 403.41 lakh crore. The market breadth was skewed in the favour of the bears. About 2,629 stocks declined, 1,292 gained, and 172 remained unchanged on the BSE.Experts View The domestic indices traded in a range-bound manner influenced by PSU banks’ underperformance due to the RBI's tighter norms on lending to projects under development. The broader indices also witnessed major selling pressure due to valuation concerns and profit booking. Investors are closely monitoring this week’s FED speakers for insights on future monetary policy,  said Vinod Nair, Head of Research, Geojit Financial Services.Aditya Gaggar, Director of Progressive Shares, said,  The Index has formed a small red candle but on the downside, the zone of 22,330-22,380 will act as a strong support while the higher side seems to be capped at 22,580. Global MarketsWith the UK and Japan on public holidays, markets in mainland China and Europe got off to an upbeat start, with Friday's softer-than-anticipated U.S. jobs report underpinning sentiment by renewing market rate-cut bets.Europe's broadest stock index rose 0.4% while S&P 500 and Nasdaq futures added 0.2% each in a positive sign for the Wall Street open later on.MSCI's broadest index of Asia-Pacific shares outside Japan peaked at its highest level since February 2023 and last gained 0.57%, while China's blue-chip index closed 1.5% higher.Oil ClimbsOil futures climbed on Monday after Saudi Arabia hiked June crude prices for most regions and as the prospect of a Gaza ceasefire deal appeared slim, renewing fears the Israel-Hamas conflict could still widen in the key oil producing region.Brent crude futures gained 73 cents, or 0.9%, to $83.69 a barrel at 0852 GMT, while U.S. West Texas Intermediate crude futures were at $78.95 a barrel, up 84 cents, or 1.1%.Rupee Ends WeakerThe Indian rupee ended lower on Monday as dollar demand from local oil companies and other importers, pressured the local currency even as most of its Asian peers gained.The rupee closed at 83.4875 against the U.S. dollar, weaker than its previous close at 83.4225.(With inputs from agencies)(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/d-street-ends-volatile-trade-on-a-muted-note-as-gains-in-it-offset-by-selloff-in-psbs/articleshow/109883545.cms
TCS,2024-04-29T19:11:00+05:30,PTI,Mcap of BSE-listed companies soar to all-time high of Rs 406.52 lakh cr,​The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. ,"The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. The 30-share BSE Sensex rallied 941.12 points or 1.28 per cent to finish at 74,671.28. During the day, it zoomed 990.99 points or 1.34 per cent to 74,721.15.  The market capitalisation (mcap) of BSE-listed companies reached a record peak of Rs 4,06,52,419.94 crore (USD 4.90 trillion). Investors' wealth climbed by Rs 2,48,043.51 crore on Monday.   Markets witnessed phenomenal buying support as Sensex quickly moved towards the crucial 75K mark after investors cheered strong corporate earnings from select frontline banking and cement companies, indicating their smooth sailing despite the global vagaries.   Optimism prevailed from the start of the trading session as cooling of US bond yields and letdown in the Middle East conflict coupled with a drop in crude oil prices generated a lot of enthusiasm amongst the investors,  Prashanth Tapse, Senior VP (Research) at Mehta Equities Ltd, said.  The two-day Fed's monetary policy meeting starting Tuesday will be closely watched by global investors, although markets don't expect any change in the policy outcome, he added.  From the Sensex basket, ICICI Bank climbed nearly 5 per cent after the company on Saturday said its March quarter consolidated net profit grew 18.5 per cent to Rs 11,672 crore, helped by lower provisions.  State Bank of India, IndusInd Bank, UltraTech Cement, Axis Bank, NTPC, Kotak Mahindra Bank, Tata Consultancy Services, Bajaj Finance, HDFC Bank and Sun Pharma were the other major gainers.  HCL Technologies tanked nearly 6 per cent after the company reported a flat year-on-year growth in net profit in the March quarter at Rs 3,986 crore.  ITC, Wipro and Bajaj Finserv were the other laggards.  In the broader market, the BSE midcap gauge jumped 0.79 per cent and smallcap index advanced 0.07 per cent.   The Indian benchmark indexes rebounded, aided by an upbeat in US tech quarter earnings and a drop in US 10-year yield. Domestically, the Bank Nifty outperformed, driven by its strong performance in the fourth quarter. An ease in the Middle East tensions, coupled with stable earnings, is expected to maintain positive market sentiment,  Vinod Nair, Head of Research at Geojit Financial Services, said.  Indian markets opened in the green following positive Asian markets, said Narendra Solanki, Head Fundamental Research - Investment Services, Anand Rathi Shares and Stock Brokers.  Traders are awaiting the US Fed's policy meeting decision this week post hotter-than-expected inflation print. Traders were seen piling up positions in the banking sector's stocks, Solanki added.  Among the indices, bankex jumped 2.70 per cent, financial services (1.81 per cent), utilities (1.12 per cent), power (0.90 per cent) and energy (0.79 per cent).  Realty and services were the laggards.  A total of 2,015 stocks advanced while 1,894 declined and 179 remained unchanged.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/mcap-of-bse-listed-companies-soar-to-all-time-high-of-rs-406-52-lakh-cr/articleshow/109698878.cms
TCS,2024-04-28T12:51:00+05:30,PTI,"Mcap of 6 most valued firms rise Rs 1.30 trillion; SBI, ICICI Bank top gainers","​The combined market valuation of six of the top-10 most valued firms increased Rs 1,30,734.57 crore last week, with State Bank of India and ICICI Bank emerging as the biggest gainers in line with an overall positive trend in equities.","The combined market valuation of six of the top-10 most valued firms increased Rs 1,30,734.57 crore last week, with State Bank of India and ICICI Bank emerging as the biggest gainers in line with an overall positive trend in equities.Last week, the BSE benchmark advanced 641.83 points or 0.87 per cent.The valuation of the State Bank of India rallied Rs 45,158.54 crore to Rs 7,15,218.40 crore.ICICI Bank's market valuation rose Rs 28,726.33 crore to Rs 7,77,750.22 crore.Bharti Airtel added Rs 20,747.99 crore to Rs 7,51,406.35 crore, and that of ITC jumped Rs 18,914.35 crore to Rs 5,49,265.32 crore.The market capitalisation (mcap) of Life Insurance Corporation of India (LIC) advanced by Rs 9,487.5 crore to Rs 6,24,941.40 crore, and that of Infosys went up by Rs 7,699.86 crore to Rs 5,93,636.31 crore.However, the mcap of Reliance Industries declined by Rs 26,115.56 crore to Rs 19,64,079.96 crore.The valuation of HDFC Bank dipped by Rs 16,371.34 crore to Rs 11,46,943.59 crore.The mcap of Tata Consultancy Services went lower by Rs 5,282.41 crore to Rs 13,79,522.50 crore, and that of Hindustan Unilever Limited diminished by Rs 2,525.81 crore to Rs 5,21,961.70 crore.Reliance Industries remained the most valued firm from the top-10 pack, followed by Tata Consultancy Services, HDFC Bank, ICICI Bank, Bharti Airtel, State Bank of India, LIC, Infosys, ITC and Hindustan Unilever.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/mcap-of-6-most-valued-firms-rise-rs-1-30-trillion-sbi-icici-bank-top-gainers/articleshow/109662539.cms
TCS,2024-04-27T07:17:00+05:30,Ruchita Sonawane,Analysts cheer Tech Mahindra roadmap,"Analysts said that the company's new CEO, Mohit Joshi, unveiled a 3-year turnaround plan to exceed industry-leading revenue growth by FY27.  We believe near-term monitorable for the company's progress towards this goal would be immediate margin improvement in FY25 and steady revenue growth improvement in subsequent years,  said Nomura in a note.","Mumbai: Shares of Tech Mahindra jumped 7.6% as optimism around the company's three-year growth roadmap outshone concerns over near-term profitability as reflected in the fourth-quarter results, which missed analyst estimates. The stock closed at ₹1,280 and emerged as the top gainer in Nifty on Friday, but the average share price targets mostly suggest limited upside or downside. The average analyst price targets on Tech Mahindra after the fourth-quarter results stood at ₹1,261.3, implying a downside of 1.5% over Friday's closing.Analysts said that the company's new CEO, Mohit Joshi, unveiled a 3-year turnaround plan to exceed industry-leading revenue growth by FY27.  We believe near-term monitorable for the company's progress towards this goal would be immediate margin improvement in FY25 and steady revenue growth improvement in subsequent years,  said Nomura in a note.109637899Macquarie said that Tech Mahindra faces a tall task ahead of its FY27 goals and the brokerage prefers peers HCL Tech, TCS and Wipro compared to Tech Mahindra. We appreciate the ambition to grow faster than peer group average by FY27, and the detailed plans that the management has to achieve it, but remain concerned that the 36% exposure to Communications will make it difficult even in FY27,  said the brokerage.Analysts at Axis Capital said that while the company addressed client-specific issues and has a strong pipeline, the macroeconomic uncertainties are expected to lead to delays in decision-making for IT budgets. Margins have bottomed out and may gain in the next couple of quarters. However, the demand scenario remains uncertain and may lead to lower revenue growth momentum in the near term,  said Axis Capital in a note.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/analysts-cheer-tech-mahindra-roadmap/articleshow/109637883.cms
TCS,2024-04-24T17:45:00+05:30,PTI,Four-day market rally makes investors richer by Rs 8.48 lakh cr,Investors' wealth surged Rs 8.48 lakh crore in four days of market rally where the BSE benchmark has climbed nearly 2 per cent amid firm global trends.,"Investors' wealth surged Rs 8.48 lakh crore in four days of market rally where the BSE benchmark has climbed nearly 2 per cent amid firm global trends. The 30-share BSE Sensex climbed 114.49 points or 0.16 per cent to settle at 73,852.94 on Wednesday. During the day, it jumped 383.16 points or 0.51 per cent to 74,121.61.  In the last four days, the BSE benchmark climbed 1,363.95 points or 1.88 per cent.  The market capitalisation of BSE-listed companies jumped by Rs 8,48,328.9 crore to Rs 4,01,37,377.21 crore (USD 4.84 trillion) in four days.   Markets continued its upward momentum backed by positive global cues and investors covering their positions ahead of tomorrow's monthly F&O expiry. There is still a lot of uncertainty about tensions in West Asia, as there are worries any escalation in conflict could fuel a rise in crude prices, buoy inflation and further delay rate cut hopes,  Prashanth Tapse, Senior VP (Research) at Mehta Equities Ltd, said.  From the Sensex basket, JSW Steel, Tata Steel, Power Grid, Kotak Mahindra Bank, UltraTech Cement, NTPC, Bajaj Finance and Axis Bank were the major gainers.  Tech Mahindra, Tata Consultancy Services, Maruti, Reliance Industries and Titan were among the laggards.  In Asian markets, Seoul, Tokyo, Shanghai and Hong Kong settled in the positive territory.  European markets were trading mostly with gains. Wall Street ended with gains on Tuesday.   Global markets turned positive as geopolitical tension in the Middle East eased off and investors now focus on the earning season,  Siddhartha Khemka, Head - Retail Research at Motilal Oswal Financial Services Ltd, said.  Global oil benchmark Brent crude declined 0.51 per cent to USD 87.97 a barrel.   Globally, investor sentiment improved with easing tensions in the Middle East and declining oil prices,  Vinod Nair, Head of Research at Geojit Financial Services, said.  In the broader market, the BSE smallcap gauge climbed 0.79 per cent and midcap index advanced 0.92 per cent.  Among the indices, metal climbed 2.83 per cent, commodities (1.62 per cent), industrials (1.13 per cent) and oil & gas (0.96 per cent) were the major gainers.  IT, telecommunication and teck were the laggards.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/four-day-market-rally-makes-investors-richer-by-rs-8-48-lakh-cr/articleshow/109566477.cms
TCS,2024-04-24T15:51:00+05:30,Navdeep Singh,"Sensex, Nifty rise for 4th day; focus on key earnings this week","The 30-share BSE benchmark Sensex closed 114 points or 0.16% higher at 73,852. The broader NSE Nifty closed 34 points or 0.15% higher at 22,402. Nifty Metal index appreciated 2.7% as global prices rebounded from a fall in the previous session. Heavyweight banking and financials rose 0.5%.","Domestic equity indices extended their winning streak for the fourth straight session on Wednesday, led by gains in heavyweight financials and metals stocks, with investors focusing on earnings from key Nifty50 constituents due this week.The 30-share BSE benchmark Sensex closed 114 points or 0.16% higher at 73,852. The broader NSE Nifty closed 34 points or 0.15% higher at 22,402.From the Sensex pack, JSW Steel and Tata Steel were the top gainers, rising 4% and 2.7%, respectively. Power Grid, Kotak Bank, UltraTech Cement, NTPC, and Bajaj Finance also ended with gains, while TCS, Tech Mahindra, Maruti, and Infosys closed with cuts.Nifty Metal index appreciated 2.7% as global prices rebounded from a fall in the previous session. Heavyweight banking and financials rose 0.5%.Among individual stocks, Tata Consumer Products fell 5.4% after its March quarter consolidated net profit fell 19% year-on-year (YoY) to Rs 217 crore. Tata Elxsi shares also closed 5% lower after the company reported smaller-than-expected fourth-quarter profit as discretionary spending remained low, and weak demand in the media and communications vertical weighed.The market capitalisation of all listed companies on BSE surged by Rs 1.68 lakh crore to Rs 401.32 lakh crore. The market breadth was skewed in the favour of the bulls. About 2,256 stocks gained, 1,562 declined, and 111 remained unchanged on the BSE.Expert Views  Indian markets lagged the Asian peers as Q4 earnings remained largely subdued with weak results from IT and a few index heavyweights results also disappointed. However, buoyed by strong manufacturing and service sectors, the Indian composite PMI hit a multi-year high, reflecting domestic resilience bringing some buoyancy in the broad market,  said Vinod Nair, head of research, Geojit Financial Services.Rahul Ghose, founder & CEO of Hedged.in, said,  Nifty's range for tomorrow is likely to be 22,350-22,550, considering max pain at 22,400 for April monthly expiry. For the May series, the 1st May Fed meet will decide the trajectory as current options writing data shows equal calls and puts being written. Further, there is a resistance for the Nifty Index at 22,650 which is where the current up move should take a pause. Global MarketsWorld stocks rose on Wednesday led by tech names as investors' focus shifts to earnings from US megacap bellwethers this week. MSCI's broadest index of Asia-Pacific shares outside Japan was 1.6% higher, having climbed 1% on Tuesday, as stocks rebounded from last week's steep selloff. Europe's broad STOXX 600 was 0.2% higher. Nasdaq futures were up 0.6%.Crude OilOil prices steadied above $88 a barrel on Wednesday after rallying in the previous session on a surprise fall in US crude stocks and a drop in business activity in the world's largest oil consumer.Brent crude futures fell 24 cents, or 0.27%, to $88.18 a barrel. U.S. West Texas Intermediate crude futures lost 33 cents, or 0.4%, to $83.03 a barrel.Currency WatchThe Indian rupee ended slightly higher on Wednesday as dollar demand from local oil companies and importers ate into the local currency's early gains, while an uptick in the dollar index also weighed.The rupee closed at 83.3225 against the US dollar, moderately higher than its close of 83.3425 in the previous session. The dollar index was up about 0.2% at 105.8, trimming its losses from Tuesday.(With inputs from agencies)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/sensex-nifty-rise-for-4th-day-focus-on-key-earnings-this-week/articleshow/109561883.cms
TCS,2024-04-24T09:28:00+05:30,Navdeep Singh,"HDFC Bank, RIL drive Sensex 200 pts higher; Nifty above 22,400","Benchmark equity indices rose tracking global markets, driven by Reliance Industries and HDFC Bank. BSE Sensex gained 209 points, Nifty50 up 52 points. Leading gainers were HDFC Bank, Axis Bank, TCS, Tata Motors, Nifty Metal, Auto, Pharma, Healthcare, Oil & Gas also increased.","Following the positive trend in global markets, benchmark equity indices opened higher for the fourth consecutive session on Wednesday, led by index heavyweights Reliance Industries and HDFC Bank.The BSE Sensex was trading 209 points or 0.28% higher at 73,935, while the Nifty50 was up 52 points or 0.23% at 22,420 around 9:17 am.HDFC Bank, Axis Bank, Reliance Industries, TCS, and Tata Motors led the gains on the Sensex in early trade. However, Infosys, HUL, IndusInd Bank, and Kotak Bank exerted downward pressure on the index.Tata Consumer shares fell over 4% after the company reported a 19% YoY fall in its consolidated net profit to Rs 217 crore for the quarter ended March 2024.Tata Elxsi shares also plunged over 5% in early trade after the company reported smaller-than-expected fourth-quarter profit as discretionary spending remains low, and weak demand in media and communications vertical weigh.Sector-wise, Nifty Realty rose 1.3%, led by Lodha and Phoenix Mills. Nifty Metal, Auto, Bank, Pharma, Healthcare, and Oil & Gas also opened higher. In the broader market, Nifty Midcap100 and Smallcap100 rose over 0.6% each.Nifty 50 constituents Hindustan Unilever, LTIMindtree, Axis Bank will report results on Wednesday, while Bajaj Finance and Maruti Suzuki are among the top companies that will post earnings this week.Experts View The ability of bull markets to climb all walls of worries is being demonstrated by the ongoing bull market, which has shrugged off all headwinds, be it geopolitical or economic. The scaling down of rate cuts by the Fed from six at the beginning of this year to three or perhaps two or even lower also has not impacted the bull run,  said V K Vijayakumar, Chief Investment Strategist, Geojit Financial Services. The indication from the sharp decline in the volatility index VIX by around 20% to 10.2 is that the downside risk to the market is low. So it makes sense to remain invested in this market and to continue investing by buying the dips,  Vijayakumar said.Deven Mehata, Research Analyst at Choice Broking, said,  Nifty can find support at 22,300 followed by 22,200 and 22,150. On the higher side, 22,450 can be an immediate resistance, followed by 22,500 and 22,550. Global MarketsMSCI's broadest index of Asia-Pacific shares outside Japan gained 1.55%, having climbed 1% on Tuesday, as stocks rebounded from last week's steep selloff. Japan's Nikkei surged 2%.U.S. stocks closed higher on Tuesday as companies such as automaker General Motors reported strong earnings. E-mini futures for the S&P 500 rose 0.27%.FII/DII TrackerForeign portfolio investors (FPI) sold Indian shares worth Rs 3,045 crore, on a net basis, on Tuesday, while domestic institutional investors (DIIs) bought Rs 2,919 crore of stocks, according to provisional data from the NSE.FPIs, who were net buyers in the first half of April, and purchased power and financial services stocks ahead of earnings season, have turned net sellers for the month, shedding Rs 10,539 crore of stocks, according to National Securities Depository data.Crude OilOil prices rose in early trade on Wednesday, adding to gains in the previous session, after industry data showed a surprise drop in U.S. crude stocks last week, a positive sign for demand, and attention shifted away from hostilities in the Middle East.Brent crude futures rose 5 cents, or 0.06%, to $88.47 a barrel and U.S. West Texas Intermediate crude futures gained 8 cents, or 0.1%, to $83.44 a barrel.Currency WatchThe Indian rupee rose 2 paise to 83.29 against the US dollar in early trade. The dollar index, which tracks the movement of the greenback against a basket of six major world currencies, declined 0.01% to 105.66 level.(With inputs from agencies)(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/hdfc-bank-ril-drive-sensex-200-pts-higher-nifty-above-22400/articleshow/109549283.cms
TCS,2024-04-23T06:00:00+05:30,Sameer Ranjan Bakshi,"Europe emerges as hotspot for Indian IT M&As, tops buy chart","Indian IT giants are on a European shopping spree, snapping up companies at a rapid clip. Europe's booming tech sector, outpacing North America, has fueled over a dozen acquisitions since the pandemic.","Indian outsourcing leaders are increasingly acquiring companies in Europe, where the pace of revenue expansion has lately dwarfed growth rates the other side Atlantic seaboard to justify about a dozen M&As in the continent since the pandemic.While last week’s acquisition announcement of in-tech by Infosys is tipped to be the largest in the latter’s history, even Capco’s acquisition by Wipro in 2021 is the largest ever acquisition made by the company.HCLTech has done three major acquisitions overseas in the last two years, all in Europe. Similarly, for Tech Mahindra, acquisition of CTC (Com Tec Co IT Ltd) in 2022, is the second-largest acquisition that the company has made after scam-hit Satyam in April 2010.An email to Infosys didn’t elicit any response until the publication of this report.Out of the total number of acquisitions done by Infosys in the last six years, nearly 40% focused on Europe. In absolute numbers, the IT major made a total of 16 acquisitions since April 2018, and out of that six were done in Europe, followed by five in the US, as per a Kotak analyst note. The latest acquisition being an engineering R&D services provider, in-tech that is focused on the German automotive industry. The cost of the acquisition is pegged at $480 million (450 million euros).Similarly, Wipro’s largest acquisition in its history was in Europe. It acquired London-based global management and tech consultancy firm Capco for a consideration of $1.45 billion in 2021 to boost its presence in banking financial services and insurance (BFSI) vertical. Wipro during the Q4 earnings also revealed that consulting business is seeing green shoots and Capco unit grew 6.6% sequentially, much higher than Wipro’s overall revenue growth at 0.01% QoQ.For the third largest IT major in India, HCLTech – the three major acquisitions that it has made in the last two years were all in Europe. It made its European acquisition last year when it bought German automotive engineering services company ASAP Group for $279 million. The other two acquisitions in 2022 were Starschema, a leading provider of data engineering services, based in Budapest, Hungary and Confinale AG, a Switzerland-based digital banking and wealth management consulting specialist.Fifth largest Indian IT major, Tech Mahindra’s acquisition of Europe-based CTC (Com Tec Co IT Ltd) in 2022 for $310 million, is the second-largest acquisition that the company has made after scam-hit Satyam in April 2010.Pareekh Jain, CEO, EIIRTrend “There is huge headroom for growth in Europe. But IT companies need language capabilities and local presence to penetrate the market. They are augmenting their capabilities across all service lines in Europe. For IT services, the US is the biggest market. But as far as ER&D (engineering and research and development) services is concerned, Europe is the largest amongst all geography.”Europe ER&D market size is $41 billion out of a total global $94 billion, highest in any geography. It is also fastest growing at 10% vs 8.5% globally, added Jain. And that’s one of the strong reasons for the majority of big ER&D M& As in Europe. There were more than 25 ER&D acquisitions in Europe in three years, he added.Peter Bendour Samuel, CEO, Everest Group, said, “Europe is an attractive market for Tech Services. It has grown faster than North America for 10 straight quarters and until the last two quarters it has been the fastest growing market in all the Geographies. Furthermore it is still well behind North America (NA) on digital transformation and is likely to remain an attractive market as European firms spend to catch up with their North American competitors. It also favors tech services firms with a strong domestic presence, hence the Indian companies are very active in looking for and acquiring European assets which will anchor their ongoing expansion in the region.” New Jersey based Cognizant, which has a majority of its employees based in India, acquired Mobica, an eastern European engineering service provider with 900 people, last year.Analysts say that India's largest IT services firm Tata Consultancy Services (TCS) which is generally shy of inorganic route, hasn’t made any significant acquisitions in the last 10 years. But the IT bellwether has been active in acquiring captives of clients and its last major acquisition of client’s captive was its acquisition of 100% of the shares of Postbank Systems AG (PBS) from Deutsche Bank AG.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/europe-emerges-as-hotspot-for-indian-it-mas-tops-buy-chart/articleshow/109515130.cms
