Company,Date and Time of publishing,Author,Headline,Description,Article Body,URL
LT,2024-02-12T08:37:00+05:30,J Abbas Mulla,Big boost to twin cities’ water supply as pipeline is revamped,"Larsen & Toubro (L&T) is revamping the pipeline to boost the water supply in Hubballi-Dharwad. The 30-year-old pipeline is being replaced with a new 864 mm MS transmission main to improve water supply quality and quantity. The project is being implemented by L&T Limited under the KUIDFC project. The revamp will address issues like water leakage and low pressure in the old pipeline, benefiting more than 14 wards initially and eventually 22 wards.","Hubballi: Larsen & Toubro (L&T), which takes care of the water supply in Hubballi-Dharwad , is gradually improving the system of drinking water supply by addressing decades-old issues related to it. It has now replaced the 30-year-old PSC 600 mm diameter water pipeline with an 864 mm MS transmission main. 107612619 To avoid the wastage of water and to improve the water supply quality and quantum, the replacement works of these existing pipelines were taken up by L & T Limited under the KUIDFC project implementation.As the old mains age, they leak frequently, causing traffic disruptions, delays in water supply schedules, and loss of precious treated water. Sunil Saali, AEE, KUIDFC, said that to overcome the water leakage and other issues, the 30-year-old water pipeline was removed and an 864 mm MS pipeline was commissioned. Currently, the pipeline is commissioned from Nrupatunga Betta to Dhobi Ghat. These works were completed following the utmost safety and quality standards and ensured the restoration of the trench and roads on time, he added.""Of the total 2.7 km project of replacing PSC 600 mm diameter water pipeline, we have currently replaced 1.848 km with 864 mm MS pipeline. The work from Railway Golf Ground to Tabibland is pending. Soon, the work will be initiated,"" he added.According to sources, the L&T team has put effort into completing the works as per the timelines by deploying the required resources day and night. Since the works were taken up in the core city of Hubballi having underground utilities like Old PVC water pipelines, Gas mains, Electrical cables, OFC cables, etc, the team has executed the work.Sources also said that the KUIDFC officials have already approached the Railway department for permission to replace the existing water supply pipeline from Golf Ground. Once permission is obtained, the work will be initiated, sources added.An official from L&T who did not wish to be named said that due to frequent leakages in the old pipeline, the water supply suffered from problems such as low pressure. “Now, with the new MS pipeline, water can be supplied with adequate pressure. This will benefit the domestic users of more than 14 wards. Once the pipeline is replaced up to Tabibland, a total of 22 wards will be benefited,"" he said.The areas that fall under 24X7 water supply and others also will get uninterrupted and adequate water supply once the old pipelines are replaced. L&T which was struggling initially to supply water properly, is gradually overcoming all the issues.",https://timesofindia.indiatimes.com/city/hubballi/big-boost-to-twin-cities-water-supply-as-pipeline-is-revamped/articleshow/107612620.cms
LT,2024-01-31T10:05:00+05:30,TOI Business Desk,"Markets bounce back after weak beginning, interim Budget in focus","Markets News: Indian stocks started the day on a downward trend this Wednesday, with Larsen & Toubro reporting lower profits than expected, dragging down the market. This drop mirrored the general weakness seen in Asian markets, with investors keeping an eye on the upcoming US Federal Reserve policy decision and related statements.","NEW DELHI: Indian stocks started the day on a downward trend this Wednesday, with Larsen & Toubro reporting lower profits than expected, dragging down the market. This drop mirrored the general weakness seen in Asian markets, with investors keeping an eye on the upcoming US Federal Reserve policy decision and related statements. However, the market later recovered all the lost ground to trade in the green on buying in Reliance Industries. Investors are focusing on two significant upcoming events: the interim budget and the US Fed interest rate decision, seeking further guidance.The 30-share BSE Sensex dropped 243.07 points to 70,896.83 in early trading. The Nifty also fell 73.25 points to 21,448.85.However, both benchmark equity indices later recovered from their initial losses and entered positive territory. The Sensex rose by 146.33 points to 71,286.23, while the Nifty increased by 58.25 points to 21,580.35.Among the Sensex companies, Larsen & Toubro fell by 5% following its December quarter earnings.Other underperforming stocks included Titan, Kotak Mahindra Bank, ICICI Bank, Infosys, Axis Bank, and State Bank of India.On the other hand, Tata Motors, Reliance Industries, Tata Steel, and Bajaj Finserv were among the gainers.In Asian markets, Seoul, Tokyo, Shanghai, and Hong Kong experienced declines.The US markets closed mostly lower on Tuesday.""The US Fed decision tonight and the interim budget tomorrow will weigh on markets in the near-term. Global markets will be keenly watching the Fed comment on the timeline and quantum of rate cuts,"" said V K Vijayakumar, Chief Investment Strategist, Geojit Financial Services.Global oil benchmark Brent crude declined 0.45 per cent to USD 82.50 a barrel.Foreign Institutional Investors (FIIs) offloaded equities worth Rs 1,970.52 crore on Tuesday, according to exchange data.",https://timesofindia.indiatimes.com/business/markets/sensex/indian-stocks-open-lower-as-larsen-toubro-misses-profit-estimates-amidst-broader-asian-weakness/articleshow/107279382.cms
LT,2024-01-31T04:11:00+05:30,Agencies,"L&T net profit grows 15% to Rs 2,947cr in Q3","India Business News: NEW DELHI: Infrastructure major Larsen and Toubro (L&T) on Tuesday posted a 15% rise in consolidated profit after tax at Rs 2,947 crore in the Dec qua.","NEW DELHI: Infrastructure major Larsen and Toubro (L&T) on Tuesday posted a 15% rise in consolidated profit after tax at Rs 2,947 crore in the Dec quarter on the back of higher income. The company had posted a consolidated PAT of Rs 2,553 crore in the year-ago period.The consolidated income of the company in the Oct-Dec period increased to Rs 55,966 crore from Rs 47,145 crore in the year-ago period, L&T said in an exchange filing.L&T chairman & MD S N Subrahmanyan said the company registered yet another quarter of strong performance despite headwinds from a volatile global environment. Agencies",https://timesofindia.indiatimes.com/business/india-business/lt-net-profit-grows-15-to-2947cr-in-q3/articleshow/107273632.cms
LT,2024-01-23T14:10:00+05:30,TOI Business Desk,Ram Mandir Ayodhya opening: Why these 7 stocks are in focus - from Havells to Larsen & Toubro,"India Business News: Discover why the opening of Ram Mandir Ayodhya is putting these 7 stocks, including Havells and L&T, in the spotlight. The Ayodhya makeover is set to boost tourism and impact sectors like hotels, airlines, hospitality, FMCG, travel ancillaries, and cement. Find out more about the companies involved in the project.","Ram Mandir Ayodhya opening: Ayodhya is undergoing a significant transformation into a global spiritual tourism hub, with the Ram Mandir as its main attraction. The town is projected to attract 5 crore tourists annually once the Rs 85,000 crore makeover is completed. The construction of the new Ram Temple, costing around Rs 1,800 crore, can serve as a model for infrastructure-driven tourism growth.An ET report quoted Jefferies analyst Mahesh Nandurkar as saying that this surge in tourism will benefit various sectors, including hotels, airlines, hospitality, FMCG, travel ancillaries, and cement.Here are 7 Indian companies listed on the stock market that are involved in the Ayodhya and Ram Mandir project:1) L&T: Construction giant Larsen and Toubro (L&T), known for building iconic structures like the Sardar Patel statue in Gujarat, is responsible for the design and construction of the Ram Mandir. The three-storeyed temple, located within a 70-acre complex, is built without the use of corrosive metals like iron or steel. L&T claims that this engineering marvel can last for a thousand years. L&T shares have seen a 3% increase this month.2) Havells India: Havells India has supplied and installed exquisite indoor lighting products to enhance the aesthetic appeal and spiritual ambiance of the sacred temple. The electrical goods manufacturer has meticulously designed these products with customized form factors, optics, materials, and exclusive finishes to accentuate the architecture. Havells shares have experienced a 2% decline in January. 1070672093) Pakka: The Shri Ram Janmabhoomi Teerth Kshetra Trust has partnered with Pakka to use compostable plates, bowls, and spoons within the temple premises. The Ayodhya Development Authority has also mandated the use of eco-friendly tableware in all tent cities in the town. The stock of Pakka has seen a remarkable 45% surge this month.4) SIS: Private security group SIS Ltd has signed an agreement with the Ram Mandir Trust to deploy its personnel at the temple complex in Ayodhya. Their role is to assist devotees and support the security forces deployed in the area. SIS shares have rallied by 11% this month.5) Allied Digital Services: Mumbai-based Allied Digital Services has been selected as the Master System Integrator (MSI) for the integration of CCTV surveillance with the existing ITMS Control Room for the Ayodhya Smart City Project. ADSL will establish a multi-location CCTV surveillance system, install new cameras, and integrate the current CCTV network into a unified system connected to the existing ITMS control room. The stock of Allied Digital Services has witnessed a growth of 44% in January.6) Genesys International: Genesys International, a provider of mapping technology solutions, has been chosen to create the official map for Ayodhya city. Their New India map platform offers state-of-the-art 2D navigation and a 3D digital representation of the entire city, providing users with an immersive experience. The stock of Genesys International has seen an increase of around 8% this month. 1070497527) Apollo Sindoori Hotels: Chennai-based Apollo Sindoori Hotels, known for its hospitality service management and support services, is constructing a multi-level parking facility in Ayodhya's Tedhi Bazar to accommodate visitor vehicles. The structure spans over 3,000 square meters and includes a rooftop area exclusively for restaurants, capable of serving more than 1,000 devotees at a time. The stock of Apollo Sindoori Hotels has surged by approximately 48% in January.",https://timesofindia.indiatimes.com/business/india-business/ram-mandir-ayodhya-opening-7-stocks-in-focus-havells-larsen-toubro-sis-pakka-genesys-allied-digital/articleshow/107075852.cms
LT,2024-01-09T10:00:00+05:30,TOI Business Desk,Markets rebound sharply in early trade on firm global trends,"Markets News: The Indian markets witnessed a strong opening on Tuesday, driven by Bajaj Auto's approval of a share buyback.","The Indian markets witnessed a strong opening on Tuesday, driven by Bajaj Auto's approval of a share buyback. Additionally, the information technology sector rebounded following a dip in the previous session.In early trade, the Sensex surged by 493.4 points, reaching 71,848.62, while the Nifty climbed 160.65 points to 21,673.65. The positive momentum was notably fueled by Bajaj Auto's strategic move and renewed interest in information technology stocks.All the Sensex firms were trading in the green during the early trade. Wipro, Tech Mahindra, Larsen & Toubro, Infosys, Tata Consultancy Services, Tata Motors, Titan and ICICI Bank were the major gainers.In Asian markets, Seoul, Tokyo, Shanghai and Hong Kong were trading higher.The US markets ended with significant gains on Monday.The BSE benchmark tanked 670.93 points or 0.93 per cent to settle at 71,355.22 on Monday. The Nifty declined 197.80 points or 0.91 per cent to 21,513. ",https://timesofindia.indiatimes.com/business/markets/sensex/markets-rebound-sharply-in-early-trade-on-firm-global-trends/articleshow/106654048.cms
LT,2023-12-30T22:14:00+05:30,Suchith Kidiyoor,KRIDE awards contract for 46 km Heelalige - Rajankunte suburban rail corridor,"BENGALURU: After a long delay, the Rail Infrastructure Development Company - Karnataka (KRIDE) has finally awarded a tender for the civil works of Cor.","BENGALURU: After a long delay, the Rail Infrastructure Development Company - Karnataka (KRIDE) has finally awarded a tender for the civil works of Corridor 4 (Kanaka Line). Larsen and Toubro will construct the 46 km rail line connecting Heelalige, located in the southern part of the city near Electronic City and Bommasandra Industrial area, to Rajankunte, a suburban area in the northern part of the city.On Saturday, the KRIDE issued a letter of acceptance to the contractor for design and construction of elevated line for length of 8.960 km and at grade length of 37.920 km. However, the contract does not cover construction of the 19 railway stations proposed on this corridor. The project cost is Rs 1040 crore. The contractor will also build a double -decker alignment of 1.2 km that will accomodate Majestic – Devanahalli and Heelalige-Rajankunte line near Yelahanka. At Benniganahalli, the proposed suburban rail for a length of 500 meter will be built below the Namma Metro line. The KRIDE claims that shared alignment (common right of way) at Benniganahalli is the first of its kind project in the country.Earlier, the KRIDE had awarded a tender for the same contractor for building Corridor 2 from Byappanahalli to Chikkabanavara for a length of 25 km.The officials maintain that tender for other two corridors Majestic to Devanahalli like Kempegowda International Airport and Kengeri to Whitefield will be invited shortly. Recently, the KRIDE signed a loan agreement with German Development Bank, KfW for Euro 500 million and in March, 2024 an agreement will be signed to raise Euro 300 million from European Investment Bank (EIB). This loan agreement will help the KRIDE to fund upcoming projects. While sanctioning the project in 2020, the Central Government had set a six years deadline to complete 148 km of rail network for the city. No consensus on allotment of railway landMeanwhile, the tussle over handing over of railway land required for the Corridor -4 has continued. The KRIDE had approached the South Western Railway (SWR) seeking transfer 46 km line. The SWR had earlier maintained that KRIDE is asking for the excess of land than initially estimated for the project and it will go by the directions of the Railway Ministry. Non-availability of the land delayed the awarding of the tender for months. However, the KRIDE hopes that transfer of required land would happen at the earliest. The agency needs 115 acres of land to build the new rail line. Caption : Illustration for suburban rail story First photo: 1. At Benniganahalli, the proposed suburban rail for a length of 500 meter will be built below the Namma Metro line. The KRIDE claims that shared alignment (common right of way) at Benniganahalli is the first of its kind project in the country. 2. The contractor will also build a double -decker alignment of 1.2 km that will accomodate Majestic – Devanahalli and Heelalige-Rajankunte line near Yelahanka.",https://timesofindia.indiatimes.com/city/bengaluru/kride-awards-contract-for-46-km-heelalige-rajankunte-suburban-rail-corridor/articleshow/106407918.cms
LT,2023-12-20T09:32:00+05:30,Keshav Agarwal,Pilibhit man returns home to hero's welcome after Silkyara rescue mission,"PILIBHIT: Harjinder Singh Aulakh, a 34-year-old lifting foreman at Larsen & Toubro, hailing from Raipur village under Kalinagar tehsil circle of Pilib.","PILIBHIT: Harjinder Singh Aulakh, a 34-year-old lifting foreman at Larsen & Toubro, hailing from Raipur village under Kalinagar tehsil circle of Pilibhit, played a crucial role in the safe rescue of 41 workers trapped inside a section of the 4.5-kilometer-long Silkyara-Barkot tunnel in Uttarakhand on November 12. When he returned home on Monday, government officials and locals warmly felicitated Aulakh, expressing their gratitude for his Herculean efforts.According to BK Sharma, the section officer at L&T’s Lakhwar project in Dehradun, Aulakh was part of the technical team called to assist in the evacuation operation. During a tense moment when the initial augur machine failed to cut through the debris, Aulakh contributed heroically by laying a six-inch-wide pipeline through the debris on November 20 under the supervision of both foreign and indigenous experts. This pipeline enabled the supply of food and essential items to the trapped workers, Sharma said.Aulakh, belonging to a farming family in Pilibhit district, attributed his courageous contribution to God and his elder brother, Manvir Singh. He credited his brother for instilling in him the determination not to give up until the final goal was achieved.Ashutosh Gupta, the sub-divisional magistrate of Kalinagar circle, visited Aulakh's farmhouse on Monday evening with an official team to felicitate him. Commending Aulakh's role, Gupta praised him for setting an exemplary display of duty, diligence, and passion, likening his efforts to that of a soldier.Manvir Singh, Aulakh's brother, described Harjinder as someone who was less inclined toward academics but highly skilled in technical work. He said, “Aulakh discontinued formal education after tenth grade and pursued mechanical work instead. He started working overseas at the age of 22, moving between companies in Qatar, Bahrain, Dubai, and Muscat. Eventually, he returned to India and joined L&T in Dehradun as a lifting foreman four months ago, fulfilling our family's desire for him to come back to our homeland.”",https://timesofindia.indiatimes.com/city/dehradun/pilibhit-man-returns-home-to-heros-welcome-after-silkyara-rescue-mission/articleshow/106141287.cms
LT,2023-12-10T08:33:00+05:30,Faryal Rumi,Construction of tunnel betweenmuseums to begin from Dec 20,Patna: The stage is set for the construction of a world-class heritage tunnel or subway to connect the old Patna Museum with the new Bihar Museum.,"Patna: The stage is set for the construction of a world-class heritage tunnel or subway to connect the old Patna Museum with the new Bihar Museum. Larsen and Toubro (L&T) has been finalised as the agency that will take up the tunnelling work of the ambitious project, which will exhibit the art, culture, and heritage of Bihar.The work on the 1.5-km-long tunnel that will pass through Patna Museum, Vidyapati Marg, Planetarium crossing, Income Tax roundabout, Patna Women's College, and Bihar Museum, will begin on December 20 this year. The officials of Delhi Metro Rail Corporation, the nodal agency for the project, say that the lowering of the diaphragm wall (D-wall), the concrete structure to demarcate the tunnel area, in the shaft will commence by the end of January 2024.“The tender was awarded to L&T about a week ago to construct a unique heritage tunnel between two city museums and the preliminary work will start from December 20. Two shafts will be constructed, each at the Patna Museum and the new Bihar Museum. In these shafts, the D-wall will be lowered following which the tunnel boring machine (TBM) will be put into use,” the officials told TOI on Saturday.TBM is an integral part of the project as it bores the earth, builds tunnels, and helps in creating the underground network for the subway. The tunnel will be built using the latest technology and will ensure the safety of the visitors. The width of the tunnel will be 8 meters and TBM will be used at the depth of 16.5 meters.The officials said that the subway tunnel will run about 15 to 20 meters below the ground level and the Patna metro rail tunnel will pass at a depth of 29 meters at the crossing point. There will be a vertical clearance of about 6.5 meters between the subway tunnel and the Patna metro rail tunnel at the crossing point below Bailey Road. There is also provision for combined ticketing and unencumbered transition from the metro system.The entry and exit points will have a G+1 structure with three-level basements along with the security checks. The tunnel will be fully air-conditioned and laced with two lifts on both ends, stairs, and a pedestrian walkway, for those willing to walk the distance. There is also provision for battery-operated golf carts to aid easy and eco-friendly movement of the visitors. The other facilities in the tunnel include fire safety measures, CCTV cameras, lights, LED screens, and drainage systems.As per the detailed project report, the tunnel itself will be an art gallery and people will get a glimpse of the state’s culture through artwork such as murals and paintings (including Madhubani painting) among other artifacts, which will adorn the walls of the tunnel.The project is expected to complete within three years by utilising the funds to the tune of Rs 542 crore. It was conceptualised in August 2019 following directions from chief minister Nitish Kumar.",https://timesofindia.indiatimes.com/city/patna/construction-of-tunnel-betweenmuseums-to-begin-from-dec-20/articleshow/105872017.cms
LT,2023-12-01T11:22:00+05:30,TIMESOFINDIA.COM,"Nifty 50 hits all-time high on GDP boost, exit poll predictions",India Business News: Indian equity indices continue upward trend on positive macroeconomic indicators and foreign fund inflows. BSE Sensex and Nifty reach all-time highs. ,"NEW DELHI: Both equity indices in India continued their upward trend for the fourth consecutive day on Friday, with the Nifty 50 reaching a new all-time high in the morning session. This surge was fueled by positive macroeconomic indicators and ongoing inflows from foreign funds.In the early trading hours, the BSE Sensex rose by 308.52 points, reaching 67,296.96, while the Nifty increased by 96.1 points to 20,229.25, later achieving a record peak of 20,245.20.India's economy grew by 7.6% in the September quarter, surpassing both the 6.8% prediction from a Reuters poll of economists and the Reserve Bank of India's estimate of 6.5%, with manufacturing being a key growth driver.""India's growth outlook remains positive, with various capex initiatives of the government likely to trigger consumption at the bottom of the pyramid,"" Pramod Gubbi, founder of Marcellus Investment Management, told Reuters.In November 2023, India's Nifty and Sensex recorded their best performance for the year, supported by the resurgence of foreign portfolio investor (FPI) inflows.FPIs ended a two-month selling trend in November, purchasing stocks valued at 90 billion rupees ($1.1 billion).Leading the gains among the Sensex companies were Larsen & Toubro, NTPC, Asian Paints, Maruti, Sun Pharma, ITC, IndusInd Bank, and State Bank of India. On the other hand, Wipro, HCL Tech, Infosys, Tech Mahindra, Titan, and Mahindra & Mahindra experienced declines.V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services, said, ""The market momentum which pushed the Nifty up by 6 per cent in November is likely to be sustained since the incoming data and news are positive. First, the Q2 FY24 GDP growth rate at 7.6 per cent has surpassed expectations. Second, the exit polls results indicate a high possibility of political stability after the general elections. The market will appreciate this.""Most exit polls released on Thursday predicted the BJP leading in Madhya Pradesh and having an advantage in Rajasthan, while the Congress seemed to have the upper hand in Telangana and Chhattisgarh.In other Asian markets, Seoul, Tokyo, Shanghai, and Hong Kong saw declines.In the US, Wall Street's equity indexes experienced an overnight rise, with the Dow Jones Industrial Average having its best month since October 2022. This was influenced by consumer spending data that indicated a slowdown in demand, which in turn improved the rate outlook.(With inputs from agencies)",https://timesofindia.indiatimes.com/business/india-business/bse-sensex-surges-nifty-50-hits-all-time-high-on-gdp-boost/articleshow/105645657.cms
LT,2023-11-08T16:21:00+05:30,PTI,"Sensex, Nifty edge higher in volatile trade amid weak global cues",Markets News: MUMBAI: Benchmark equity indices Sensex and Nifty edged higher on Wednesday after a volatile trade amid weak cues from Asian and European markets alon.,"MUMBAI: Benchmark equity indices Sensex and Nifty edged higher on Wednesday after a volatile trade amid weak cues from Asian and European markets along with unabated foreign fund outflows.The 30-share BSE Sensex advanced by 33.21 points or 0.05 per cent to settle at 64,975.61. During the day, it hit a high of 65,124 and a low of 64,851.06.The broader Nifty went up by 36.80 points or 0.19 per cent to close at 19,443.50 with 29 of its components closing in green and the rest 21 in red.Among the Sensex firms, Asian Paints, Titan, Larsen & Toubro, JSW Steel, ITC, Hindustan Unilever, Maruti and Reliance Industries were the major gainers.ICICI Bank, NTPC, Infosys, Tech Mahindra, Tata Steel and Bajaj Finance were among the laggards.In Asian markets, Seoul, Tokyo, Shanghai and Hong Kong settled lower.European markets were trading in the negative territory. The US markets ended in positive territory on Tuesday.Global oil benchmark Brent crude climbed 0.15 per cent to USD 81.73 a barrel.Foreign Institutional Investors (FIIs) offloaded equities worth Rs 497.21 crore on Tuesday, according to exchange data.""The domestic market traded rangebound with a positive bias. And further confidence may be derived from the global market cues post the FED chair speech. Oil prices continued to fall, which will provide respite to the domestic economy and navigate a downward trajectory to inflation & fiscal,"" said Vinod Nair, Head of Research at Geojit Financial Services.The BSE benchmark dipped 16.29 points or 0.03 per cent to settle at 64,942.40 on Tuesday. The Nifty slipped 5.05 points or 0.03 per cent to 19,406.70. ",https://timesofindia.indiatimes.com/business/markets/sensex/sensex-nifty-edge-higher-in-volatile-trade-amid-weak-global-cues/articleshow/105067779.cms
