Company,Date of Publishing,Author,Headline,Description,Article Body,URL
sbi,2023-02-14T10:08:00+05:30,etimes.in,"'Sataracha Salman': Shivani Surve, Suyog Gorhe and Sayali Sanjeev starrer is all set to hit screens on March 3, 2023","Actor-director Hemant Dhome's much-awaited Marathi film 'Sataracha Salman' starring Shivani Surve, Suyog Gorhe and Sayali Sanjeev has already created .","Actor-director Hemant Dhome's much-awaited Marathi film 'Sataracha Salman' starring Shivani Surve, Suyog Gorhe and Sayali Sanjeev has already created a buzz on social media. Recently, the makers released a new poster from the film to announce a new release date for the film. The film is all set to hit screens on March 3, 2023.Check out the post below:The film 'Sataracha Salman' revolves around the story of a boy (played by Suyog) and his chasing dreams. Going through the teaser, the film has a tagline which says ""Before your dreams can come true, you have to have those dreams"". The story of the film is written by Hemant Dhome and he is also a director of the movie. It also stars Akshay Tanksale, Makarand Deshpande and Anand Ingle in pivotal roles. ",https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/sataracha-salman-shivani-surve-suyog-gorhe-and-sayali-sanjeev-starrer-is-all-set-to-hit-screens-on-march-3-2023/articleshow/97902076.cms
sbi,2023-02-07T18:16:00+05:30,PTI,"Sensex, Nifty decline for 2nd day on selling in FMCG, steel stocks","Markets News: The 30-share BSE barometer declined further by 220.86 points or 0.37 per cent to close at 60,286.04, as 22 of its constituents ended in the red. The i","MUMBAI: Benchmark equity indices sensex and Nifty closed lower for a second straight day on Tuesday due to selling in FMCG, metal and auto shares ahead of the RBI monetary policy.The 30-share BSE barometer declined further by 220.86 points or 0.37 per cent to close at 60,286.04, as 22 of its constituents ended in the red. The index opened flat amid mixed global trends. It moved in a range of 60,655.14 to 60,063.49 in the day.The broader Nifty of the National Stock Exchange fell by 43.10 points or 0.24 per cent to settle at 17,721.50, with 31 of its scrips ending in the red. The index touched a high of 17,811.15 and a low of 17,652.55 during the session.Profit-taking in the FMCG and auto majors was weighing on the sentiment while buying in select heavyweights in banking and financials capped the fall, analysts said.""Sentiments in the domestic market were hammered by bears that dominated the US market post the release of strong jobs data. Global markets are currently driven by central bank policies and the surge in bond yields in expectation of more rate actions,"" said Vinod Nair, Head of Research at Geojit Financial Services.A recovery was seen in the second half of the day as US futures inched higher as investors await US Fed Chief Jerome Powell's speech, Nair added.Among sensex stocks, Tata Steel fell the most by 5.23 per cent after posting weak financial results for the December quarter. The steel maker slipped into the red in the third quarter due to a drop in revenue and higher cost.ITC, Sun Pharma, Maruti, M&M, Tata Motors, HCL Tech, Wipro, Infosys, HUL, Bharti Airtel and Reliance were among the major losers.Banking stocks gained ahead of the RBI monetary policy announcement on Wednesday.Kotak Bank rose the most by 1.59 per cent, followed by IndusInd Bank (1.22 per cent), SBI (0.32 per cent) and HDFC Bank (0.10 per cent).Bajaj Finance, Bajaj Finserv, L&T, SBI, TCS and HDFC Bank also closed higher. ""Participants are closely eyeing the outcome of the RBI meet for cues. However, indications are pointing toward prevailing choppiness to continue until Nifty decisively breaks the range of 17,550-17,900 levels,"" Ajit Mishra, VP - Technical Research, Religare Broking Ltd said.Adani group stocks, which have been hammered following the Hindenburg Research report alleging stock manipulation and accounting fraud by the Gautam Adani-led group, ended their decline.Adani group flagship Adani Enterprises rose by 14.63 per cent after hitting the upper circuit during the day. The stock was the lead gainer among Nifty50 stocks.Adani Ports and Special Economic Zones (APSEZ) advanced 1.33 per cent despite a decline in profit for the December quarter.APSEZ CEO and whole-time director Karan Adani said the company is considering a total loan repayment and prepayment of around Rs 5,000 crore, which will significantly improve the net debt to EBITDA ratio.Adani Wilmar gained 4.99 per cent, ACC rose 1.32 per cent and Ambuja Cement increased 1.12 per cent.Adani Green Energy, which posted two-fold growth in Q3 profit, declined by 5 per cent. Adani Transmission, Adani Total Gas and Adani Power also dropped.In the broader market, BSE Midcap edged up 0.02 per cent while Smallcap index declined by 0.16 per cent.Among sectoral indices, the BSE metal index fell the most by 1.89 per cent, followed by telecom (1.31 per cent), Utilities 1.15 per cent, FMCG (1.13 per cent) and Auto (0.92 per cent).BSE Bankex gained 0.29 per cent, Capital goods rose by 0.49 per cent and Realty by 0.77 per cent.Global stock markets were mixed as investors looked ahead to a speech by the Federal Reserve chief for clues to interest rate plans.In Asia, the Nikkei 225 in Tokyo declined 0.1 per cent, while Shanghai Composite Index rose 0.3 per cent, and the Hang Seng in Hong Kong advanced 0.6 per cent. In Europe, the FTSE 100 in London gained 0.3 per cent, while Frankfurt's DAX fell 0.4 per cent, and the CAC 40 in Paris lost 0.3 per cent.Foreign portfolio investors were net sellers on Monday, offloading shares worth Rs 1,218.14 crore, according to data available with the BSE.The international Brent crude futures rose 0.79 per cent to $81.78 per barrel. ",https://timesofindia.indiatimes.com/business/markets/sensex/sensex-nifty-decline-for-2nd-day-on-selling-in-fmcg-steel-stocks/articleshow/97699466.cms
sbi,2019-11-21T15:59:00+05:30,PTI,"Sensex ends 76 points lower; Nifty below 12,000","India Business News: Market benchmark sensex settled 76 points lower on Thursday, tracking weak cues from global equities as US-China impasse continued to weigh on investo","MUMBAI: Market benchmark sensex settled 76 points lower on Thursday, tracking weak cues from global equities as US-China impasse continued to weigh on investor sentiment.After trading on a choppy note through the day, the 30-share index ended 76.47 points, or 0.19 per cent, lower at 40,575.17. It hit an intra-day low of 40,534.12 and a high of 40,744.85.Similarly, the broader NSE Nifty closed 30.70 points, or 0.26 per cent, down at 11,968.40.Tata Steel was the top loser in the sensex pack, dropping 3.35 per cent, followed by Bharti Airtel down 2.52 per cent, Yes Bank 2.43 per cent, ONGC 1.98 per cent and ITC 1.96 per cent.On the other hand, HUL gained 1.15 per cent, L&T 0.89 per cent, Bajaj Auto 0.82 per cent and SBI 0.81 per cent.Elsewhere in Asia, bourses in Shanghai, Hong Kong, Tokyo and Seoul settled in the red amid reports that the US-China trade deal was unlikely to be signed this year.Further, the US Senate passed legislation supporting Hong Kong protestors, potentially complicating the trade negotiations with China, experts said.European equities were also trading on a negative note in their respective early deals.Meanwhile, the Indian rupee appreciated marginally to 71.78 against the US dollar in intra-day trade.Brent crude futures, the global oil benchmark, fell 0.51 per cent to $62.08 per barrel. ",https://timesofindia.indiatimes.com/business/india-business/sensex-ends-76-pts-lower-nifty-below-12k/articleshow/72163938.cms
sbi,2019-11-21T17:09:00+05:30,PTI,Stocks slip as divestment drive fails to offset global woes; Tata Steel drops 3.35 pc,"India Business News: Mumbai, Nov 21 () Equity indices slipped into the red on Thursday as the government's latest reforms push failed to stem profit-booking amid the protr.","Mumbai, Nov 21 () Equity indices slipped into the red on Thursday as the government's latest reforms push failed to stem profit-booking amid the protracted US-China tensions.  After a choppy session, the 30-share BSE Sensex ended 76.47 points, or 0.19 per cent, lower at 40,575.17. Similarly, the broader NSE Nifty closed 30.70 points, or 0.26 per cent, down at 11,968.40.  Kicking off the country's biggest privatisation drive, the Union Cabinet on Wednesday approved sale of the government's stake in five PSUs. The Centre also doled out a Rs 42,000 crore relief to debt-laden telecom companies after it agreed not to take any payments for spectrum they use for the next two years.  However, trading sentiment remained risk-averse after the US-China trade negotiations were further complicated by a US legislation supporting Hong Kong protestors.  Majority of the sectoral indices also succumbed to profit booking amid elevated valuations, traders said.  Tata Steel was the top loser in the Sensex pack, dropping 3.35 per cent, followed by Bharti Airtel down 2.52 per cent, Yes Bank 2.43 per cent, ONGC 1.98 per cent and ITC 1.96 per cent.  On the other hand, HUL gained 1.15 per cent, L&T 0.89 per cent, Bajaj Auto 0.82 per cent and SBI 0.81 per cent.  ""Concerns over delay in US-China trade deal and Fed minutes fuelled negativity in markets across the globe. While domestic blue chips are finding it difficult to maintain positivity due to excessive valuation.  ""Focus will be on next week's Q2 GDP data which is expected to be below the 5 per cent reported in Q1. At the same time, Nifty50 is trading at one year forward P/E of 19x and 26x on 12 month trailing basis which does not provide much leeway to perform in the short-term,"" said Vinod Nair, Head of Research, Geojit Financial Services.  Sectorally, BSE metal, oil and gas, telecom, energy, basic materials, consumer durables and auto indices tumbled up to 2.23 per cent.  Realty, capital goods, finance, IT and teck notched up gains of up to 0.45 per cent.  Broader BSE midcap and smallcap indices slipped up to 0.73 per cent.  Elsewhere in Asia, bourses in Shanghai, Hong Kong, Tokyo and Seoul settled in the red amid reports that the US-China trade deal was unlikely to be signed this year.  European equities were also trading on a negative note in their respective early deals.  Meanwhile, the Indian rupee appreciated marginally to 71.78 against the US dollar in intra-day trade.  Brent crude futures, the global oil benchmark, slipped 0.51 per cent to USD 62.08 per barrel. ANS ABM ABM",https://timesofindia.indiatimes.com/business/india-business/stocks-slip-as-divestment-drive-fails-to-offset-global-woes-tata-steel-drops-3-35-pc/articleshow/72167371.cms
sbi,2018-06-21T12:12:00+05:30,PTI,Sensex pares initial gains in choppy trade,"India Business News: Mumbai, Jun 21 () The BSE Sensex surrendered its initial gains to trade flat in late morning trade today amid buying in energy, realty, IT and consume","Mumbai, Jun 21 () The BSE Sensex surrendered its initial gains to trade flat in late morning trade today amid buying in energy, realty, IT and consumer durables counters.  Lack of definite domestic cues and a mixed trend at other Asian markets affected momentum. Profit-booking was seen in telecom, utilities, power, energy, healthcare, auto and FMCG sectors. The 30-share index was trading at 35,553.16, showing a marginal gain of 5.83 points, or 0.02 per cent at 1055 hrs.  The broader Nifty-50 index was trading at 10,775.25, up 3.20 points, or 0.03 per cent. Major gainers were ICICI Bank 1.64 per cent, Adani Ports 1.48 per cent, Reliance 1.07 per cent, Vedanta 0.61 per cent and Infosys 0.45 per cent. Losers included PowerGrid 2.03 per cent, ONGC 1.66 per cent, SBI 0.82 per cent, M&M 0.75 per cent and SunPharma 0.74 per cent. Meanwhile, foreign portfolio investors (FPIs) sold shares worth Rs 2,442.61 crore on net basis, while domestic institutional investors (DIIs) bought equities to the tune of Rs 1,473.65 crore yesterday, provisional data showed. Overseas, Asian markets were mixed, driven by uncertainty surrounding trade relations between the US and China. In the US, the Dow Jones Industrial Average posted its seventh consecutive daily decline yesterday. PAK ABM ABM",https://timesofindia.indiatimes.com/business/india-business/sensex-pares-initial-gains-in-choppy-trade/articleshow/64678297.cms
sbi,2018-03-13T17:52:00+05:30,PTI,Bank of India shares jump 7.5%,"India Business News: New Delhi, Mar 13 () Shares of Bank of India jumped 7.5 per cent today after the company recovered Rs 7,000 crore worth Standby Letters of Credit in t","New Delhi, Mar 13 () Shares of Bank of India jumped 7.5 per cent today after the company recovered Rs 7,000 crore worth Standby Letters of Credit in the last two months and the balance of Rs 2,000 crore would be recovered in another two months. The stock soared 7.47 per cent to end at Rs 102.20 on BSE. Intra-day, it zoomed 14.98 per cent to Rs 109.35. At NSE, shares of the company surged 7.41 per cent to close at Rs 102.15. The company's market valuation rose by Rs 841.06 crore to Rs 12,106.06 crore. In terms of equity volume, 66.43 lakh shares of the company were traded on BSE and over 6 crore shares changed hands at NSE during the day. This recovery will substantially improve the bank's balance sheet, Bank of India Executive Director N Damodharan said yesterday in Coimbatore. The bank is aiming to bring down its net NPA ratio substantially, to below six per cent, he said. Meanwhile, buying was also seen in other bank stocks, with Oriental Bank of Commerce surging 7.07 per cent, Bank of Baroda 6.92 per cent, Union Bank of India 6.85 per cent, Syndicate Bank 5.87 per cent, Allahabad Bank 5.86 per cent, Canara Bank 5.70 per cent, PNB 3.59 per cent and SBI 0.81 per cent on BSE. Standby Letters of Credit is a document issued by a bank, which serves as a guarantee. SUM ADI ADI",https://timesofindia.indiatimes.com/business/india-business/bank-of-india-shares-jump-7-5/articleshow/63286409.cms
sbi,2019-02-07T19:14:00+05:30,PTI,Rate-sensitive stocks end mixed post RBI policy,"India Business News: New Delhi, Feb 7 () Rate-sensitive auto, bank and realty stocks swung between gains and losses Thursday after the RBI's rate-cut announcement. Among t","New Delhi, Feb 7 () Rate-sensitive auto, bank and realty stocks swung between gains and losses Thursday after the RBI's rate-cut announcement. Among the BSE auto pack, Ashok Leyland surged 6.18 per cent, Apollo Tyres 4.27 per cent, Eicher Motors 3.35 per cent, Motherson Sumi Systems 3.09 per cent, Bajaj Auto 3.03 per cent, TVS Motor Company 2.83 per cent and Tata Motors 2.64 per cent. Also, shares of Bharat Forge gained 2.47 per cent, Hero MotoCorp 2.01 per cent, Maruti Suzuki India 1.30 per cent and Mahindra & Mahindra 1.01 per cent. The auto index ended 1.77 per cent higher at 19,603.69. From bank index, Indusind Bank fell by 0.82 per cent, HDFC Bank 0.28 per cent, SBI 0.21 per cent, Bank of Baroda 0.18 per cent and ICICI Bank 0.04 per cent. On the other hand, shares of City Union Bank gained 1.99 per cent, Federal Bank 0.82 per cent, AXIS Bank 0.75 per cent, Kotak Mahindra Bank 0.34 per cent and Yes Bank 0.26 per cent. The bank index settled at 30,718.18, up 0.04 per cent. The BSE realty shares also depicted a mixed trend, with Sunteck Realty rising 1.17 per cent, Mahindra Lifespace Developers 0.95 per cent, Phoenix Mills Ltd 0.63 per cent, Godrej Properties Ltd 0.57 per cent, Prestige Estates Projects Ltd 0.13 per cent and Oberoi Realty Ltd 0.01 per cent. In contrast, Indiabulls Real Estate Ltd fell by 3.66 per cent, Sobha Limited 0.81 per cent and Omaxe Ltd 0.14 per cent. The BSE realty index slipped 0.02 per cent to close at 1,749.88. ""This rate cut means a lot for the market as it is announced post budget. Though it primarily aims to keep inflation in a tab and boost growth, this is a much-needed breather for market and specifically interest rate sensitive sectors like housing, automobile,"" said Mustafa Nadeem, CEO, Epic Research. In the first interest rate cut in 18 months, the RBI Thursday shed its hawkish stance to reduce policy rates in the maiden policy meeting under new Governor Shaktikanta Das, a move that may make home and other loans cheaper. The Reserve Bank of India's monetary policy committee (MPC) cut the repo rate by 25 basis points to 6.25 per cent as inflation continues to remain benign. Benchmark equity indices gave up gains to end almost flat on Thursday.    SUM BAL",https://timesofindia.indiatimes.com/business/india-business/rate-sensitive-stocks-end-mixed-post-rbi-policy/articleshow/67886800.cms
sbi,2017-10-04T19:02:00+05:30,PTI,Rate sensitive stocks end with up to 4% gains post RBI policy,"India Business News: New Delhi, Oct 4 () Interest rate sensitive stocks of banking, realty and auto sectors gained up to 4.2 per cent today after the Reserve Bank decided ","New Delhi, Oct 4 () Interest rate sensitive stocks of banking, realty and auto sectors gained up to 4.2 per cent today after the Reserve Bank decided to hold rates as the move was in line with market expectations. RBI reduced the Statutory Liquidity Ratio (SLR), the portion of deposits held by banks in government securities, by 0.5 per cent to 19.5 per cent, freeing over Rs 57,000 crore to bank funds for lending. As a result, shares of Kotak Mahindra Bank rose by 2.16 per cent, Yes Bank - 1.55 pc, SBI - 0.82 pc, Federal Bank - 0.80 pc, PNB - 0.39 pc and Bank of Baroda - 0.22 pc. The BSE bank index settled at 27,126.98, up 0.17 per cent. In its fourth bi-monthly monetary policy review, the Reserve Bank kept interest rate unchanged as was widely expected in view of upward trend in inflation. Among realty stocks, Godrej Properties rose by 4.22 per cent, Phoenix Mills - 1.95 pc, Prestige Estates Projects - 1.61 pc and Oberoi Realty 0.96 pc on BSE. The BSE realty index rose by 0.56 per cent to end at 2,085.65. ""Domestic indices edged higher buoyed by PSUs after RBI decided to maintain status quo on repo despite a cut in the growth forecast,"" said Anand James, Chief Market Strategist, Geojit Financial Services Ltd. From the auto pack, M&M jumped 1.89 per cent, Tata Motors (1.68 pc), Bajaj Auto (0.48 pc) and Ashok Leyland (0.25 pc). The BSE auto index went up by 0.30 per cent to close at 24,451.68. The 30-share index surged 174.33 points to end at 31,671.71. SUM SA",https://timesofindia.indiatimes.com/business/india-business/rate-sensitive-stocks-end-with-up-to-4-gains-post-rbi-policy/articleshow/60941551.cms
sbi,2018-03-12T20:32:00+05:30,PTI,"Nifty above 10,400-mark on global rally","India Business News: Mumbai, Mar 12 () The benchmark Nifty reclaimed the key 10,400 mark today by surging 194.55 points to settle at 10,421.40 on a broad-based rally mirro"," Mumbai, Mar 12 () The benchmark Nifty reclaimed the key 10,400 mark today by surging 194.55 points to settle at 10,421.40 on a broad-based rally mirroring robust global cues. The key indices opened gap-up and traded firm through-out the session triggered by the relief rally in Asian markets after the latest US jobs report eased fears of inflation and faster rate hike. Stocks of public sector banks declined, while of private sector banks advanced. Overseas, Asian and European equities edged higher as trade-war concerns took a backseat to economic optimism following a stronger-than-expected jobs report in the US. The broad-based NSE Nifty closed above the key 10,400- level at 10,421.40, showing a gain of 194.55 points or 1.90 per cent after shuttling between 10,433.65 and 10,295.45. This was its biggest single day gain since March 1, 2016 when it jumped 235.25 points. It saw an intra-day movement of about 138.20 points. Sector-wise, FMCG rose 2.62 per cent, energy 2.20 per cent, metal 2.14 per cent, Pvt Bank 1.89 per cent, Nifty Bank 1.51 per cent, Finance 1.50 per cent and auto 1.45 per cent, while PSU Bank fell by 0.47 per cent. Major index gainers were Bharti Airtel 4.82 per cent, Vedanta 4.36 per cent, ITC 4.19 per cent, NTPC 4.11 per cent and IOC 3.93 per cent. Coal India fell 2.10 per cent while other notable losers were Auro Pharma 1.62 per cent and SBI 0.16 per cent. A total of 984 scrips advanced and 832 declined, while 57 remained unchanged. As many as 256 securities hit their price bands. Turnover in the cash segment rose to Rs 27,068.13 crore, from Rs 25,974.78 crore last Friday. The market capitalisation of listed firms on the NSE stood at Rs 1,42,64,537 crore. RD MR MR",https://timesofindia.indiatimes.com/business/india-business/nifty-above-10400-mark-on-global-rally/articleshow/63273001.cms
sbi,2016-10-27T04:00:00+05:30,TNN,"Investors in Tata stocks lose Rs 23,300cr in 2 days","India Business News: Mumbai: As things between Tata Group and Cyrus Mistry gets messier by the day, Tata Group shareholders continue to see their wealth erode at a fast cl.","Mumbai: As things between Tata Group and Cyrus Mistry gets messier by the day, Tata Group shareholders continue to see their wealth erode at a fast clip. From Monday evening, when Mistry was removed by the Tata Sons board, and Wednesday’s close of trading on the BSE, market cap of Tata Group companies were down over Rs 23,300 crore to Rs 8.3 lakh crore. Of the total wealth erosion, Rs 8,546 crore was in Tata Motors while in TCS it was Rs 6,089 crore.In the day’s weak trading session that saw the sensex close almost 1%, or 255 points, lower at 27,837, Tata Motors lost 4.3% to Rs 530 while Tata Steel was down 4% at Rs 399. Both the stocks were among the top sensex laggards of the day. Outside of the benchmark index, Tata Metaliks closed 3.8% lower while Indian Hotels was down 3.4% and Voltas 3.2% down. Among the major Tata Group companies, only Titan closed marginally 0.6% higher at Rs 375.In the broader market, banking and financial services stocks were hammered after Axis Bank and IDBI Bank, the two of the major banks, on Tuesday reported sharp rise in bad loans. Axis Bank stock crashed over 8% to Rs 487, while IDBI Bank closed flat at Rs 75. Among the other major banks, ICICI Bank lost 3.7%, while PNB lost 1.4% and SBI 0.9%. Kotak Bank, which announced a relatively better result on Tuesday, closed 3.3% higher.",https://timesofindia.indiatimes.com/business/india-business/investors-in-tata-stocks-lose-rs-23300cr-in-2-days/articleshow/55080970.cms
