Company,Date of Publishing,Author,Headline,Description,Article Body,URL
hdfc,2024-04-21T14:14:00+05:30,Deeksha Somani,"Xiaomi 14 smartphone available for Rs 30,899 only; check out the deal on Amazon","MOBILES & TABLETS News: Xiaomi 14, high-spec variant, discounted on Amazon. Offers on HDFC, SBI, ICICI Bank cards. Specs include 90W HyperCharge, Leica cameras, 32MP selfie c","The Xiaomi 14, launched alongside the Xiaomi 14 Ultra last month, is now available at significant discounts on Amazon. Originally priced at Rs 79,999 for the 12GB RAM + 512GB internal storage variant, the current offers on Amazon have substantially reduced the price.This Xiaomi smartphone has undergone substantial price reductions on the e-commerce platform, offering multiple purchasing options and benefits for potential buyers. With attractive offers available, the effective price of the Xiaomi 14 smartphone can now be as low as Rs 30,899. Act quickly, as this is a limited-time offer—be sure to check the details before the offer expires!Xiaomi 14 Offer DetailsThe Xiaomi 14 smartphone with 12GB RAM and 512GB internal storage is currently priced at Rs 79,999 on Amazon. With a 13% discount applied on the e-commerce platform, the price is reduced to Rs 69,999. Additionally, customers can benefit from up to Rs 34,100 off by exchanging their old smartphones in good condition, further reducing the effective price of the Xiaomi phone to Rs 35,899.Moreover, customers using HDFC Bank, SBI Bank, or ICICI Bank cards can enjoy an additional discount of up to Rs 5,000, bringing the final price of the phone down to only Rs 30,899. Take advantage of these offers before they expire!Xiaomi 14 Smartphone: Discount on SBI Card, ICICI Card and HDFC Card ExplainedHDFC Bank Offer on Xiaomi 14HDFC Credit Cards: Receive an instant discount of Rs 5,000 on HDFC Bank credit card transactions with a minimum purchase value of Rs 30,000.HDFC Credit Cards EMI: Enjoy a flat Rs 5,000 discount on EMI plans of 3, 6, 9, 12, 18, and 24 months when you use an HDFC credit card for transactions of Rs 30,000 or more.HDFC Bank Cards - EMI: Get a flat Rs 5,000 instant discount on HDFC Bank debit card EMI transactions for purchases of Rs 30,000 or more.SBI Bank Offer on Xiaomi 14SBI Credit Card: Receive a flat Rs 5,000 instant discount on transactions made with an SBI credit card, with a minimum purchase value of Rs 30,000.SBI Credit Card - EMI: Enjoy a flat Rs 5,000 discount on EMI plans of 3, 6, 9, 12, 18, and 24 months when using an SBI credit card for transactions of Rs 30,000 or more.ICICI Bank Offer on Xiaomi 14ICICI Credit Card: Get a flat Rs 5,000 instant discount on transactions made with an ICICI Bank credit card (excluding Amazon Pay ICICI credit card), with a minimum purchase value of Rs 30,000.ICICI Bank Credit Card - EMI: Enjoy a flat Rs 5,000 discount on EMI plans of 3, 6, 9, 12, 18, and 24 months when using an ICICI Bank Credit Card (excluding Amazon Pay ICICI credit card) for transactions of Rs 30,000 or more.Xiaomi 14 SpecificationsEquipped with a 6.36-inch LTPO AMOLED display, the Xiaomi 14 offers a smooth experience with up to 120 Hz refresh rate, a 20:9 aspect ratio, and 1.5K resolution. This Pro HDR display supports HDR 10, HDR 10+, and Dolby Vision, delivering vibrant visuals.In terms of photography, the Xiaomi 14 features a versatile triple camera setup comprising a 50-megapixel primary camera with wide-angle lens, a 50-megapixel telephoto camera, and a 50-megapixel ultra-wide camera. The camera system supports two distinct photographic styles: Leica Authentic and Leica Vibrant. For selfies, there's a 32-megapixel in-display camera.Battery and ChargingThe smartphone is powered by a 4,610 mAh battery, supporting 90W HyperCharge and 50W wireless Hypercharge for swift and efficient charging capabilities.Connectivity and AudioThe Xiaomi 14 offers robust connectivity options including dual-SIM support (two physical 5G SIMs or one physical and one eSIM), WiFi-7, and Bluetooth 5.4. Audio features include stereo speakers, Dolby Atmos, and a 4-MIC array for enhanced sound quality.SoftwareRunning on HyperOS based on Android 14 out-of-the-box, the Xiaomi 14 combines powerful hardware with optimised software to deliver a seamless user experience.Also read | Elon Musk Educational Qualification: All that you need to know",https://timesofindia.indiatimes.com/technology/mobiles-tabs/xiaomi-14-smartphone-available-for-rs-30899-only-check-out-the-deal-on-amazon/articleshow/109474478.cms
hdfc,2024-04-20T15:19:00+05:30,TOI Business Desk,"HDFC Bank Q4 Results: Net profit increases marginally to Rs 16,511 crore; miss analysts' forecast","India Business News: NEW DELHI: HDFC Bank posted smaller-than-expected quarterly (Q4) profit of Rs 16,511 crore for the January-March quarter (Q4) of the financial year 20.","NEW DELHI: HDFC Bank posted smaller-than-expected quarterly (Q4) profit of Rs 16,511 crore for the January-March quarter (Q4) of the financial year 2023-24 (FY24) on Saturday. This marks a 0.84 per cent jump when compared to Rs 16,373 crore clocked in the previous quarter.However, the quarterly profit of the largest private lender is below analysts' forecast of Rs 17,315, according to LSEG data. Its net interest income (NII) increased to Rs 29,080 crore from Rs 28,470 core in the previous quarter, while the other income stood at Rs 18,170 crore.HDFC Bank has reported its core net interest margin of 3.44% on total assets while the gross non-performing assets (NPA) ratio came at 1.24%. The results cannot be compared on a year-over-year basis as HDFC Bank merged with its parent company, Housing Development Finance Corp, in the month of July. The shares of HDFC Bank settled 2.5% higher prior to the announcement of the results on Friday.",https://timesofindia.indiatimes.com/business/india-business/hdfc-bank-q4-results-net-profit-increases-marginally-to-rs-16511-crore-miss-analysts-forecast/articleshow/109456718.cms
hdfc,2024-04-23T02:43:00+05:30,Deeksha Somani,"OnePlus 11 is available for Rs 19,149 only on Amazon; know more about discount and bank offer","MOBILES & TABLETS News: The OnePlus 11 smartphone, known for its Snapdragon 8 Gen 2 processor, is currently available at a discounted price on Amazon. With impressive camera ","The OnePlus 11 continues to attract users looking for a smartphone with exceptional performance and camera features. Released in February last year, it gained attention for being one of the most affordable smartphones equipped with the Snapdragon 8 Gen 2 processor. If you've been considering buying the OnePlus 11, now is a great opportunity. The phone is currently offered at a special discount on Amazon, priced at under Rs 20,000. Keep reading to learn more about this attractive deal.OnePlus 11 Amazon deal detailsWhen searching for the OnePlus 11 (8GB RAM, 128GB Storage) on Amazon, originally priced at Rs 56,999, you will notice a direct discount of 12 percent, lowering its price to Rs 49,999. Additionally, HDFC Bank debit cards EMI transactions are eligible for a flat discount of Rs 3,250, with a minimum purchase value requirement of Rs 48,449.Moreover, there's a substantial exchange offer of up to Rs 27,600 for your old mobile phone, significantly reducing the overall price. However, the exchange value varies depending on your old phone's age and condition. As a result, this reduces the price of the OnePlus 11 (8GB RAM, 128GB Storage) to Rs 19,149.OnePlus 11 Specifications and FeaturesOnePlus 11 processorA standout feature of the OnePlus 11 is its exceptional performance powered by the Snapdragon 8 Gen 2 chipset. Despite being a year old, this chipset delivers robust performance, effortlessly handling popular games like Call of Duty (COD) or Battlegrounds Mobile India (BGMI), multitasking, and other demanding tasks.OnePlus 11 battery and OSOnePlus devices are renowned for offering a clean software experience with the latest Android OS out of the box. Additionally, users can enjoy a range of customizable options to personalise the software experience according to their preferences. The phone features a sturdy 5,000mAh battery with support for 100W fast charging technology, enabling quick charging from 0 to 100 percent in around 30 minutes.OnePlus 11 camera capabilitiesIn terms of its camera capabilities, the OnePlus 11 5G is equipped with a triple-lens rear camera system that includes a 50-megapixel main sensor, a 48-megapixel ultra-wide sensor, and a 32-megapixel telephoto sensor. Capable of capturing stunning photos in favourable lighting conditions and recording 4K videos at up to 60fps, the device promises to deliver a compelling camera experience.OnePlus 11 Colour optionsThe OnePlus 11 is available in two appealing colour choices - Eternal Green and Titan Black.Also read | iPhone 15 available for Rs 29,499 on Flipkart; here's how you can grab the massive discount",https://timesofindia.indiatimes.com/technology/mobiles-tabs/oneplus-11-is-available-for-rs-19149-only-on-amazon-know-more-about-discount-and-bank-offer/articleshow/109511397.cms
hdfc,2024-04-29T05:32:00+05:30,TNN,"Private banking doyen, Abhay Aima, dies","India Business News: Mumbai: Abhay Aima, the original doyen of private banking in India, has passed away at the age of 63.","Mumbai: Abhay Aima, the original doyen of private banking in India, has passed away at the age of 63. He was with HDFC Bank for 25 years and used to head its private banking and equities businesses. His sudden demise happened at his residence in Bandra at 4.20 pm on Saturday, according to a statement. His last rites will be performed at the Santacruz crematorium today, the statement added.Before joining HDFC Bank in Jan 1995, he was with Citibank. But banking was not his first career love. A pass out from the National Defence Academy and elementary flying school–Bidar, he wanted to be a fighter pilot in the Indian Air Force. But eventually settled into a banking career.Close friend and former J&K finance minister Haseeb Drabu posted on X: “Aima Saeba, not done! Childhood friend and chief protagonist in bedtime stories narrated to my son leaves me shattered. And alone. Five decades of association in Srinagar & Mumbai ends in a minute. Not fair... RIP.”",https://timesofindia.indiatimes.com/business/india-business/pvt-banking-doyen-abhay-aima-dies/articleshow/109675191.cms
hdfc,2024-04-18T00:15:00+05:30,TOI Tech Desk,"Paytm accelerates user migration to PSP Banks -- Axis Bank, HDFC, SBI and YES Bank -- after NPCI approval: What this change means","TECH NEWS : OCL, parent of Paytm, approved by NPCI to transition users to new banks for UPI transactions. Migration to Axis Bank, HDFC Bank, SBI, YES Bank. Users'","Paytm's parent company, One 97 Communications (OCL), has received approval from the National Payments Corporation of India (NPCI) to move users to new banks for UPI transactions. This news comes after NPCI gave OCL the green light in March to operate as a Third-Party Application Provider (TPAP) under a multi-bank model.""One 97 Communications Limited (OCL) that owns the brand Paytm, India's leading payments and financial services company and the pioneer of QR, soundbox and mobile payments, has received go ahead, yesterday from the National Payment Corporation of India (NPCI) to start the user migration to new Payment System Provider (PSP) bank handles immediately,"" the release said.What's Changing for PaytmPaytm will be migrating users from its own Paytm Payments Bank to accounts with four major banks: Axis Bank, HDFC Bank, State Bank of India (SBI), and YES Bank. This transition aims to ensure uninterrupted UPI payments for both users and merchants. Users with ""@paytm"" handles will be the first to be migrated. Why the ChangeNPCI's approval allows Paytm to continue offering UPI services through these partner banks. This new arrangement is necessary following previous restrictions placed on Paytm Payments Bank.What this transition means for Paytm usersPaytm assures users of a seamless transition with continued access to UPI payments and AutoPay mandates. The company leverages the robust infrastructure of its new banking partners to ensure secure UPI transactions. Once a Paytm user has been migrated to another partner payment service provider bank, then the present UPI ID with ‘@paytm’ of these users will change to a new UPI ID with any of the four IDs: @ptsbi, @pthdfc, @ptaxis and @ptyes.",https://timesofindia.indiatimes.com/technology/tech-news/paytm-accelerates-user-migration-to-psp-banks-axis-bank-hdfc-sbi-and-yes-bank-after-npci-approval-what-this-change-means/articleshow/109382350.cms
hdfc,2024-04-18T00:47:00+05:30,TOI Tech Desk,Paytm starts user migration to new UPI IDs; here is what it means for you,"TECH NEWS : Paytm authorized to migrate users to Axis Bank, HDFC Bank, SBI, YES Bank for UPI payments, ensuring seamless transition with new UPI IDs for uninterru","Paytm's parent company, One 97 Communications (OCL), has been authorized by the National Payments Corporation of India (NPCI) to migrate users to new banks for UPI payments. This follows NPCI's approval in March for OCL to operate as a Third-Party Application Provider (TPAP) under a multi-bank model.NPCI's approval allows Paytm to continue offering UPI services through these partner banks. This new arrangement is necessary due to previous restrictions imposed on Paytm Payments Bank. The company plans to leverage its new banking partners' strong infrastructure to guarantee secure UPI transactions.“Following NPCI's approval on March 14, 2024, to onboard OCL as a Third-Party Application Provider (TPAP) on the Multi Payment Service Provider API Model, Paytm has expedited the integration with Axis Bank, HDFC Bank, State Bank of India (SBI), and YES Bank. All four banks are now operational on the TPAP, streamlining the process for Paytm to shift user accounts to these PSP banks,"" the company said in a stock exchange filing.Which are the banks Paytm can migrate its customers toPaytm will be migrating users from its own Paytm Payments Bank to accounts with four major banks: Axis Bank, HDFC Bank, State Bank of India (SBI), and YES Bank. What this transition means for Paytm usersPaytm assures users of a seamless transition with continued access to UPI payments and AutoPay mandates. The company leverages the robust infrastructure of its new banking partners to ensure secure UPI transactions. Once a Paytm user has been migrated to another partner payment service provider bank, then the present UPI ID with ‘@paytm’ of these users will change to a new UPI ID with any of the four IDs: @ptsbi, @pthdfc, @ptaxis and @ptyes.This transition is aimed to ensure uninterrupted UPI transactions for both users and merchants. Users with ""@paytm"" handles will be the first ones migrated.",https://timesofindia.indiatimes.com/technology/tech-news/paytm-starts-user-migration-to-new-upi-ids-here-is-what-it-means-for-you/articleshow/109382599.cms
hdfc,2024-03-20T14:15:00+05:30,Shaurya Shubham,"Paytm UPI: How to set up SBI, ICICI, HDFC and other third-party bank accounts to send and receive payments","TECH TIPS News: Paytm stopped UPI, bill payments due to RBI. Now, users can add another bank account in the app to use UPI. Follow steps to set up SBI, HDFC, ICICI, o","Paytm Payments Bank stopped offering some services such as UPI and bill payments on the Paytm app after Reserve Bank of India’s (RBI) directives. However, after ceasing these services on March 15, the One97 Communication-owned platform was allowed to facilitate transactions and deposits via other banks.Paytm has been granted permission by the National Payments Corporation of India (NPCI) to continue offering UPI services on its platform by acting as a Third-Party Application Provider (TPAP) under the multi-bank model. Four banks (Axis Bank, HDFC Bank, State Bank of India, YES Bank) will act as PSP (Payment System Provider) banks to OCL to offer its services.Now that the Paytm Payments Banks services are no longer available, users can set up another bank account within the app and use it as the default UPI account. Things to notePaytm has always allowed users to set up another bank account within the app and use it to make transactions. In case you were using Paytm Payments Bank to make financial transactions, you’ll have to set up another bank account from scratch.If you already have another bank account linked to the Paytm app, then, you need to change the default bank account for UPI.Before following the steps, make sure that your phone has the same SIM card that’s linked to your bank account. Why it is importantAs mentioned, Paytm Payments Bank can no longer facilitate financial services as per RBI’s orders. And, if you want to continue using the Paytm app and make and receive payments as you used to, setting up another bank account is the only way out to make and receive payments on the Paytm app.Steps to set up SBI, HDFC, ICICI or other bank accounts in PaytmUpdate your Paytm app and open itTap on your profile icon -- top left cornerHead to ‘UPI & Payment Settings’Tap ‘Add Bank Account’ Select the Bank -- SBI, HDFC, PNB, ICICI or some other bankVerify your account -- it’s an automatic processOnce done, you’ll get your updated UPI account details, QR code, etc.After the process is complete, you can start making and receiving payments via the Paytm app you used. The only difference will be the amount will be deposited to your default UPI account (in case you have multiple accounts linked to the Paytm app).If you want to change the default bank account on Paytm -- Paytm app → Profile icon → UPI & Payment Settings → Tap on Bank account → Set as Default.",https://timesofindia.indiatimes.com/technology/tech-tips/paytm-upi-how-to-set-up-sbi-icici-hdfc-and-other-third-party-bank-accounts-to-send-and-receive-payments/articleshow/108643514.cms
hdfc,2024-03-18T17:02:00+05:30,TOI Tech Desk,"How to set SBI, HDFC, ICICI and other banks as default for UPI services on Paytm","TECH TIPS News: Paytm stops services, moves to new bank under RBI guidelines. NPCI permits OCL for UPI. OCL partners with Axis, HDFC, SBI, YES Bank. YES Bank backs UP","Paytm Payments Bank has stopped offering services to its customers, as per Reserve Bank of India’s guidelines and already started the migration process to another bank account. For payments and other financial solutions, Paytm has allowed users to switch to another bank to continue using the services on their payment app, including UPI.That said, the National Payments Corporation of India (NPCI) has already allowed One97 Communications Limited (OCL) to participate in UPI as a Third-Party Application Provider (TPAP) under the multi-bank model. To offer its services, four banks (Axis Bank, HDFC Bank, State Bank of India, YES Bank) will act as PSP (Payment System Provider) banks to OCL. Also, YES Bank will act as merchant acquiring bank for existing and new UPI merchants for OCL. That said, users can now update their bank details within the Paytm app and also update their default bank account for receiving and sending payments via UPI. Wondering how to change your default bank account on Paytm, follow our step-by-step guide:But, before this make sure to add a third-party bank account in the Paytm app. Open Paytm app on your smartphoneTap on ‘Profile menu’ and tap on ‘UPI & Payments Settings’Select Bank account optionChoose the bank account you need to set as the default Bank account on the appTap on ‘Set as default’ optionConfirm the selection by tapping on ‘Yes’ when promoted.That’s it! Paytm app can now continue receiving and sending UPI payments via the selected default bank account instead of Paytm Payments Bank.",https://timesofindia.indiatimes.com/technology/tech-tips/how-to-set-sbi-hdfc-icici-and-other-banks-as-default-for-upi-services-on-paytm/articleshow/108589407.cms
hdfc,2024-04-21T19:34:00+05:30,ANI,"HDFC Bank approves Rs 60,000 crore fund raise via debt instruments","India Business News: NEW DELHI: HDFC Bank has announced plans to raise Rs 60,000 crore through various debt instruments.","NEW DELHI: HDFC Bank has announced plans to raise Rs 60,000 crore through various debt instruments. The decision was approved during the Board of Directors meeting on Saturday, where key approvals were granted for the annual renewal of the issuance.The Bank's board approved the ""annual renewal of issuance of Long-Term Bonds (Financing of Infrastructure and Affordable Housing), Perpetual Debt Instruments (part of Additional Tier I capital) and Tier II Capital Bonds up to total amount of Rs. 60,000 crore over the period of next twelve months through private placement mode.""This fund raising is, however, subject to the approval of the shareholders of the Bank and any other regulatory approvals as may be applicable.HDFC Bank reported a net profit of Rs 16,511 crore for the January-March quarter of 2023-24, with a 0.84 per cent jump compared to Rs 16,373 crore clocked in the previous quarter.The bank's year-on-year financial results cannot be compared due to the merger with the parent entity HDFC Ltd during the just-concluded financial year.According to a report by S&P Global Market Intelligence, three Indian lenders made it to the list of top 50 banks by assets in the Asia-Pacific region in 2023, up from two in 2022. These Indian banks are the State Bank of India, HDFC Bank, and ICICI Bank.According to the financial information and analytics firm, Indian banks have been among the best-performing lenders among peers in Asia. Improvement in financial metrics, coupled with high credit growth in a robust economic environment, has boosted banks' assets in recent years. HDFC Bank's assets jumped 51.3 per cent to USD 466.35 billion after the merger, propelling the bank up 13 places to 33 in the top 50 ranking.",https://timesofindia.indiatimes.com/business/india-business/hdfc-bank-approves-rs-60000-crore-fund-raise-via-debt-instruments/articleshow/109479384.cms
hdfc,2024-04-01T12:10:00+05:30,TOI Business Desk,"HDFC Bank customers take note! NEFT facility for money transfer may not be available on April 1, 2024 - here’s why","India Business News: HDFC Bank has notified customers of possible NEFT service unavailability on April 1, 2024, during year-end financial operations. The bank has advised ","Important update for HDFC Bank customers: HDFC Bank has informed its customers that the National Electronic Funds Transfer (NEFT) transactions may not be available on April 1, 2024, due to year-end financial procedures. In case NEFT is accessible for some HDFC Bank clients, there might be delays.Therefore, individuals planning money transfers should avoid NEFT on Monday, that is April 1, 2024. If you are expecting salary or other payments through NEFT on April 1, 2024, anticipate delays for the same reason, states an ET report. HDFC Bank has suggested using alternative transaction methods like Immediate Payment Service (IMPS), Real Time Gross Settlement (RTGS), and Unified Payments Interface (UPI) for money transfers on that day. The bank stated, “Please note, outward NEFT transactions may get delayed/ may not be available on 1st April 2024 due to financial year-end procedures. We request you to please complete your transaction using IMPS, RTGS, or UPI during this period. We regret any inconvenience this may cause.”For any assistance with money transfers on April 1, customers can reach out to the bank's customer support team at 18001600 /1800 2600.Also Read |Bank holidays April 2024: Banks are closed for 14 days in April 2024; check full list hereBanks in several states will be closed on April 1, 2024, due to year-end accounts closing as per RBI guidelines. Most places will observe bank closures except for Mizoram, Chandigarh, Sikkim, Bengal, Himachal Pradesh, and Meghalaya. It is advisable to check the list of bank holidays before visiting your bank branch on Monday. Meanwhile, the Reserve Bank of India (RBI) has announced that the exchange and deposit of Rs 2,000 notes will not be available on April 1, 2024. RBI has mentioned that the exchange/deposit of Rs 2000 banknotes will not be facilitated on April 01, 2024, at the 19 Issue Offices of the Reserve Bank of India due to the Annual Closing of Accounts. The service will resume on April 02, 2024.",https://timesofindia.indiatimes.com/business/india-business/hdfc-bank-customers-take-note-neft-facility-for-money-transfer-may-not-be-available-on-april-1-2024-heres-why/articleshow/108934765.cms
