Company,Date of Publishing,Author,Headline,Description,Article Body,URL
LT,2024-05-07T12:32:00+05:30,ETMarkets.com,LTIMindtree shares  down  0.69% as Nifty  falls ,The stock quoted a 52-week high price of Rs 6442.65 and low of Rs 4488.5.,"Shares of LTIMindtree Ltd. rose 0.69 per cent to Rs 4669.5 in Tuesday's trade. It hit an intraday high of Rs 4726.15 and low of Rs 4654.0, respectively, during the day.   The stock quoted a 52-week high price of Rs 6442.65 and low of Rs 4488.5.   As of 12:33PM (IST), the counter saw total traded volume of 3,746 shares with a traded value of Rs 1.75 crore, according to NSE.   The stock had closed at Rs 4702.35 in the previous session.   The scrip has declined -5.21 per cent in the past one month till date, while the benchmark BSE Sensex has slipped -0.93 per cent during the same period.   According to exchange data, the stock traded at a price-to-earnings (P/E) multiple of 29.97 while price-to-book ratio stood at 7.3. A higher P/E ratio shows that investors are willing to pay a higher price for per rupee earnings given by the stock because of better future growth expectations. The price-to-book value indicates the inherent value of a company and it reflects the price investors are ready to pay even for no growth in a business.   The stock belongs to the IT Consulting & Software - Mid Cap industry.    Promoter/FII Holding  Promoters held 68.6 per cent stake in the company as of 31-Mar-2024, while FII and MF ownership in the firm stood at 7.86 per cent and 6.22 per cent, respectively.    Key Financials  The company reported consolidated sales of Rs 9100.5 crore for the quarter ended 31-Mar-2024, down 1.47 per cent from the previous quarter's Rs 9236.1 crore and down 3.92 per cent from the year-ago quarter's Rs 8757.4 crore. Its net profit for the latest quarter stood at Rs 1099.9 crore, down 1.24 per cent from the same quarter a year ago.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/ltimindtree-shares-down-0-69-as-nifty-falls/articleshow/109909713.cms
LT,2024-05-07T12:07:00+05:30,Akash Podishetty,L&T Q4 Results Preview: Profit may rise 11% year-on-year; revenue growth seen healthy,"L&T Q4 Results Preview: L&T set to show strong growth in Q4 2024, with revenue expected to increase by up to 17% YoY and net profit by up to 11% YoY. Key factors include domestic tender pipeline and margin performance.","Infrastructure major Larsen and Toubro (L&T) is expected to report healthy growth in revenues for the quarter ended March 2024, led by strong improvement in E&C segment.Revenue from operations are likely to grow up to 17% year-on-year, according to an average estimate of four brokerages. Meanwhile, net profit for the same period is seen rising up to 11% year-on-year.Key monitorables for investors in the report card include domestic tender pipeline, margin performance as well as working capital cycle. Analysts would also look out for an execution ramp-up in Saudi projects and an expected pipeline in the Middle East.In the preceding December quarter, the company saw 15% year-on-year (year-on-year) growth in consolidated net profit at Rs 2,947 crore and revenue from operations rose nearly 19% to Rs 55,128 crore.Here's what to expect from L&T's Q4:Kotak EquitiesWe expect 18% year-on-year improvement in core EPC revenues as we bake in improved construction activity across projects during the first two months and a weak March.We expect core E&C business EBITDA margin at 9.9%, up 70 bps year-on-year on low base (flat on a two-year basis).NuvamaWhile govt capex and ME hydrocarbon ordering shows strong momentum, private capex is yet to show its best. FY26's strategic plan is to focus on making subsidiaries self-sustainable, strong presence into green energy (hydrogen, battery storage etc.) and non-core exits. With robust order inflow growth, execution completion of legacy projects, refinancing of Hyderabad metro etc., margins may see ramping up but at a slower pace.Pickup in core E&C OPMs remains key to L&T. New orders momentum remains robust on international hydrocarbon, mobility and power T&D side.Motilal OswalExpect consolidated revenue growth of 11% year-on-year, led by 12% year-on-year core E&C revenue growth. We expect Core E&C EBITDA margin of 9%, up 50 bps year-on-year, as legacy orders are near the completion.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/earnings/lt-q4-preview-profit-may-rise-11-year-on-year-revenue-growth-seen-healthy/articleshow/109908803.cms
LT,2024-05-07T11:36:00+05:30,ETMarkets.com,Jubilant Food shares  up  0.34% as Sensex  falls ,"A total of 66,402 shares changed hands on the counter till 11:36AM (IST)","Shares of Jubilant Foodworks Ltd. gained 0.34 per cent to Rs 474.25 in Tuesday's session as of 11:36AM (IST) even as the equity benchmark Sensex traded 539.17 points lower at 73356.37.   Earlier in the day, the stock witnessed a gap up start to the session. The stock quoted a 52-week high price of Rs 586.35 and a 52-week low of Rs 420.85 on NSE. Around 66402 shares changed hands on the counter till 11:36AM (IST).   The stock opened at Rs 475.15 and has touched an intraday high and low of Rs 478.05 and Rs 471.6 during the session so far. The scrip quoted a price-to-earnings (PE) ratio of 131.46, earnings per share (EPS) of Rs 3.34 and price to book value (PB) of 14.26, while the return on equity (ROE) stood at Rs 17.33.    Promoter/ FII Holding The promoters held 41.94 per cent stake in the company as of May 07, while FII and MF ownerships stood at 23.24 per cent and 19.98 per cent, respectively.    Key Financials   With a market capitalisation of Rs 31184.28 crore, the company operates in the Restaurant & QSR industry. For the quarter ended 31-Dec-2023, the company reported consolidated sales of Rs 1382.27 crore, up 0.48 per cent from the previous quarter?s Rs 1375.69 crore and up 3.05 per cent from the same quarter a year ago. The company reported net profit of Rs 65.71 crore for the latest quarter, down 18.24 per cent from the corresponding quarter last year.    Technical Indicators  The relative strength index (RSI) of the stock stands at 62.75. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold condition when it is below 30. Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a  buy  or  sell  recommendation using a single valuation ratio.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/jubilant-food-shares-up-0-34-as-sensex-falls/articleshow/109907407.cms
LT,2024-05-07T00:43:00+05:30,Twesh Mishra and Shilpa Samant,Norms eased to draw in more suppliers for power equipment,"India's primary planning and advisory body for the power sector has loosened a significant condition for power equipment supplies in public sector projects, aiming to enable utilities to issue tenders that facilitate greater involvement from private vendors, sources familiar with the matter revealed.","India's apex planning and advisory body for the power sector has eased a key condition for power equipment supplies for public sector projects, a move that is expected to let utilities to issue tenders allowing larger private vendor participation, people familiar with the development said. This change was advised after some recent tenders from companies such as NTPC and Damodar Valley Corporation to build thermal projects under engineering-procurement-construction (EPC) contracts received muted response. Some of these projects saw single bids. The Central Electricity Authority (CEA) has relaxed the pre-qualification requirements, allowing companies with experience in erection of 'sub-critical' units to participate in 'supercritical' projects to encourage competition. Public sector undertaking Bharat Heavy Electricals Ltd and Larsen & Toubro are said to have been among the few qualified under the earlier regime. It is now expected that Thermax, GE Power as well as some other companies will also qualify for the tenders under the relaxed qualifications.  A decision to make this change was made in April,  a senior official aware of the move told ET.109894917 The previous condition of experience of establishing supercritical units was limiting vendors from participation, according to two officials. The tender for NTPC's 1,600 MW Singrauli-III thermal power station saw just one bid and the quoted price was  high , said another official. There was also only one bidder for Damodar Valley Corporation's Raghunathpur Phase-II project and the company is likely to go for a rebid. Retendering for the Damodar Valley project is expected to be made under the amended condition. Power generators can decide on the mode of tendering - split, single EPC or package wise.Utilities may explore addition of consortium routes with limited joint and several responsibilities for the tenders, the person said.The power ministry had held meetings with stakeholders to discuss factors leading to lukewarm response by vendors, a person familiar with the matter said.",https://economictimes.indiatimes.com/markets/stocks/news//industry/energy/power/norms-eased-to-draw-in-more-suppliers-for-power-equipment/articleshow/109894871.cms
LT,2024-05-06T10:10:00+05:30,ETMarkets.com,LTIMindtree shares  rise  0.97 per cent in Monday's trading session,The Relative Strength Index of the stock stood at 39.93 on Monday.,"Shares of LTIMindtree Ltd. rose 0.97 per cent to Rs 4700.0 in Monday's trade as of 10:10AM (IST) even as the benchmark Nifty ruled at 22442.9, down 32.95 points.   The scrip had closed at Rs 4654.45 in the previous session. The stock quoted a 52-week low of Rs 4466.4 and a high of Rs 6442.65. The company quoted a market-cap of Rs 137847.76 crore on the BSE.   On BSE, 8,932 shares have changed hands on the counter so far. At its prevailing price, the stock traded at 29.97 times its trailing 12-month EPS of Rs 154.72 per share and 7.3 times its book value. The return on equity (ROE) stood at Rs 22.89.    Key Financials   For the quarter ended 31-Mar-2024, LTIMindtree Ltd. reported consolidated sales of Rs 9100.5 crore, down 3.92 per cent from the same quarter a year ago. The company reported 1.24 per cent YoY de-growth in net profit at Rs 1099.9 crore for the latest quarter.    Technical indicators  The relative strength index (RSI) of the stock stood at Monday. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold when it is below 30.   Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a  buy  or  sell  recommendation using a single valuation ratio.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/ltimindtree-shares-rise-0-97-per-cent-in-mondays-trading-session/articleshow/109872370.cms
LT,2024-05-05T10:39:00+05:30,Navdeep Singh,"Q4 results this week: SBI, Tata Motors, L&T, Asian Paints, TVS Motor and PB Fintech","Various widely tracked companies like Tata Motors, SBI, Asian Paints, BPCL, Larsen & Toubro, Tata Power, Canara Bank, TVS Motor, Hero MotoCorp, Godrej Consumer Products, JSW Energy, Dr. Reddy's Laboratories, PB Fintech, and Bank of Baroda will be releasing their March quarter report cards this week. Heres a list:","Various widely tracked companies like Tata Motors, SBI, Asian Paints, BPCL, Larsen & Toubro, Tata Power, Canara Bank, TVS Motor, Hero MotoCorp, Godrej Consumer Products, JSW Energy, Dr. Reddy's Laboratories, PB Fintech, and Bank of Baroda will be releasing their March quarter report cards this week. Here’s a list:May 6Godrej Consumer Products, CG Power and Industrial Solutions, Lupin, Indian Bank, Marico, Gujarat Fluorochemicals, Grindwell Norton, DCM Shriram, Happiest Minds Technologies, Route Mobile, Arvind, GHCL, Muthoot Microfin, Bombay Dyeing & Manufacturing Company, CarTrade Tech, Suven Life Sciences, Aeroflex Industries, Kamdhenu.May 7Pidilite Industries, JSW Energy, Dr. Reddy's Laboratories, SRF, PB Fintech, United Breweries, Voltas, IRB Infrastructure Developers, Max Financial Services, Indraprastha Gas, CreditAccess Grameen, Century Textiles & Industries, KEC International, IDFC, Sonata Software, Kajaria Ceramics, Jindal Saw, Navin Fluorine International, Jupiter Wagons, Chambal Fertilisers & Chemicals, Graphite India, Latent View Analytics, Elantas Beck India, Delta Corp, Suraj Estate Developers, InfoBeans Technologies, Kamat Hotels (India).May 8Larsen & Toubro, Tata Power Company, Canara Bank, TVS Motor Company, Hero MotoCorp, Bharat Forge, BSE, SKF India, Piramal Enterprises, Kalpataru Projects International, Capri Global Capital, Gujarat State Petronet, Kirloskar Oil Engines, Westlife Foodworld, Godrej Agrovet, Home First Finance Company India, HG Infra Engineering, Vijaya Diagnostic Centre, Balaji Amines, Sterlite Technologies, Sula Vineyards, Bajaj Consumer Care, Greaves Cotton, ESAF Small Finance Bank, HT Media.May 9State Bank of India (SBI), Asian Paints, Bharat Petroleum Corporation, Indian Overseas Bank, Hindustan Petroleum Corporation, Abbott India, Escorts Kubota, Timken India, Relaxo Footwears, Alembic Pharmaceuticals, Nexus Select Trust REIT, TVS Holdings, Computer Age Management Services, Intellect Design Arena, Mahanagar Gas, Vardhman Textiles, Alkyl Amines Chemicals, Quess Corp, Rain Industries, Orient Electric, Venus Pipes & Tubes, Gopal Snacks, CARE Ratings, Navneet Education, VST Tillers Tractors, Ajmera Realty & Infra India, Vakrangee, Suryoday Small Finance Bank.May 10Tata Motors, Bank of Baroda, ABB India, Union Bank of India, Cipla, Polycab India, Bank of India, Thermax, Kalyan Jewellers India, Punjab & Sind Bank, Waaree Renewable Technologies, Aarti Industries, Cholamandalam Financial Holdings, Piramal Pharma, Great Eastern Shipping Company, Fine Organic Industries, Neuland Laboratories, Sapphire Foods India, Jupiter Life Line Hospitals, Dilip Buildcon, Bajaj Hindusthan Sugar, Ami Organics, TCI Express, Sundaram-Clayton, Sharda Cropchem, Venky's (India).May 11Meghmani Organics, D-Link (India), Panchmahal Steel, Vishwaraj Sugar Industries, Gujarat Containers, Ras Resorts & Apart Hotels.May 12JK Cement.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/q4-results-this-week-sbi-tata-motors-lt-asian-paints-tvs-motor-and-pb-fintech/articleshow/109852640.cms
LT,2024-05-03T12:23:00+05:30,ETMarkets.com,Jubilant Food shares  rise  0.04 per cent in Friday's trading session,The Relative Strength Index of the stock stood at 54.45 on Friday.,"Shares of Jubilant Foodworks Ltd. rose 0.04 per cent to Rs 457.85 in Friday's trade as of 12:22PM (IST) even as the benchmark Nifty ruled at 22499.4, down 148.8 points.   The scrip had closed at Rs 457.65 in the previous session. The stock quoted a 52-week low of Rs 420.85 and a high of Rs 586.35. The company quoted a market-cap of Rs 30197.82 crore on the BSE.   On BSE, 66,399 shares have changed hands on the counter so far. At its prevailing price, the stock traded at 131.46 times its trailing 12-month EPS of Rs 3.34 per share and 14.26 times its book value. The return on equity (ROE) stood at Rs 17.33.    Key Financials   For the quarter ended 31-Dec-2023, Jubilant Foodworks Ltd. reported consolidated sales of Rs 1382.27 crore, up 3.05 per cent from the same quarter a year ago. The company reported 18.24 per cent YoY de-growth in net profit at Rs 65.71 crore for the latest quarter.    Technical indicators  The relative strength index (RSI) of the stock stood at Friday. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold when it is below 30.   Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a  buy  or  sell  recommendation using a single valuation ratio.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/jubilant-food-shares-rise-0-04-per-cent-in-fridays-trading-session/articleshow/109807650.cms
LT,2024-05-02T12:02:00+05:30,ETMarkets.com,Share price of Jubilant Food  falls  as Sensex  gains  261.84 points,"A total of 48,234 shares changed hands on the counter till 12:02PM (IST)","Share price of Jubilant Foodworks Ltd. dropped 1.84 per cent to Rs 454.35 at 12:02PM (IST) in Thursday's trade. The counter hit a high of Rs 469.55 and low of Rs 454.15 so far during the session. The stock had closed at Rs 462.9 in the previous session.   The counter had a total traded volume of 12:02PM shares so far with a turnover of Rs 2.23 crore on BSE. The stock traded at a price-to-earnings multiple of 131.46 and a price-to-book ratio of 14.26.   A higher price-to-earnings ratio shows investors are willing to pay a higher price for per rupee earnings given by the stock because of better future growth expectations.   The price-to-book value indicates the inherent value of a company and is the measure of the price that investors are ready to pay even for no growth in the business.   Jubilant Foodworks Ltd. belongs to the Restaurant & QSR industry.    Promotor/FII Holding  Promoters held 41.94 per cent stake in the company as of 31-Mar-2024, while overseas investors and domestic institutional investors ownership stood at 23.24 per cent and 25.82 per cent, respectively.    Key Financials  The firm reported consolidated net sales of Rs 1382.27 crore for the quarter ended 31-Dec-2023, up 0.48 per cent from the previous quarter's Rs 1375.69 crore and up 3.05 per cent from the year-ago quarter's Rs 1341.38 crore.   Its profit for the latest quarter stood at Rs 65.71 crore, down 18.24 per cent from the same quarter a year ago.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-price-of-jubilant-food-falls-as-sensex-gains-261-84-points/articleshow/109775800.cms
LT,2024-04-30T21:58:00+05:30,ANI,SC dismisses L&T plea over Sharavathi tendering process,"Larsen & Toubro challenged the order of the Division Bench comprising Chief Justice NV Anjaria and Justice Krishna S Dixit of the Karnataka High Court in the Supreme Court, which dismissed its appeal. The tender for the Sharavathi pumped storage project, which is currently being run by KPCL, has been bagged by the Megha Engineering & Infrastructures Ltd group, which quoted a lower price.","The Supreme Court on Monday rejected Infrastructure Company Larsen & Toubro's Special Leave Petition (SLP) challenging the tendering process for the prestigious Sharavathi Pumped Storage project.  We are not inclined to entertain the Special Leave Petition under Article 136 of the Constitution of India,  the top court said. The Special Leave Petition is accordingly dismissed,  a bench headed by Chief Justice of India DY Chandrachud said and dismissed the petition by the company L&T.Larsen & Toubro challenged the order of the Division Bench comprising Chief Justice NV Anjaria and Justice Krishna S Dixit of the Karnataka High Court in the Supreme Court, which dismissed its appeal.The tender for the Sharavathi pumped storage project, which is currently being run by KPCL, has been bagged by the Megha Engineering & Infrastructures Ltd group, which quoted a lower price.The Sharavathi river is a vital source of hydroelectric power in the state of Karnataka. (ANI)",https://economictimes.indiatimes.com/markets/stocks/news//industry/energy/power/sc-dismisses-lt-plea-over-sharavathi-tendering-process/articleshow/109735766.cms
LT,2024-04-30T12:37:00+05:30,ETMarkets.com,Share price of LTIMindtree  rises  as Nifty  strengthens ,"A total of 19,639 shares changed hands on the counter till 12:37PM (IST).","Shares of LTIMindtree Ltd. gained 0.02 per cent to Rs 4749.5 in Tuesday's trade as of 12:37PM (IST). The stock hit a high price of Rs 4778.0 and low of Rs 4735.0 during the session.   The return on equity (ROE) for the stock stood at 22.89 per cent. Traded volume on the counter stood at 12:37PM shares and turnover at Rs 9.32 crore around that time. The stock of LTIMindtree Ltd. quoted a 52-week high price of Rs 6442.65 and 52-week low prices of Rs 4418.0, respectively.   The stock's Beta value, which measures its volatility in relation to the broader market, stood at 0.59.   Promotor/FII Holding  Promoters held 68.6 per cent stake in the company as of 31-Mar-2024, while overseas investors held 7.86 per cent and domestic institutional investors had 6.22 per cent.   Key Financials   The company reported consolidated sales of Rs 9100.5 crore for the quarter ended 31-Mar-2024, down 1.47 per cent from previous quarter's Rs 9236.1 crore and down 3.92 per cent from the year-ago quarter's Rs 8757.4 crore. Net profit after tax for the latest quarter stood at Rs 1099.9 crore, down 1.24 per cent from the same quarter a year ago.   Technicals The MACD signalled a bullish bias on the counter. The MACD is known for signalling trend reversals in traded securities or indices.  It is the difference between the 26-day and 12-day exponential moving averages. A nine-day exponential moving average, called the signal line, is plotted on topof the MACD to reflect  buy  or  sell  opportunities. When the MACD crosses below the signal line, it gives a bearish signal, indicating that the price of the security may see a downward movement and vice versa.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-price-of-ltimindtree-rises-as-nifty-strengthens/articleshow/109718578.cms
