Company,Date of Publishing,Author,Headline,Description,Article Body,URL
tcs,2024-04-27T17:59:00+05:30,TOI Tech Desk,"HCLTech plans to hire over 10,000 freshers in 2024-25","TECH NEWS : HCLTech reported Rs 3,986 crore net profit in Q4 earnings. They plan to hire over 10,000 freshers in 2025. The hirings will be based on demand across ","HCLTech recently announced its Q4 earnings, reporting a net profit of Rs 3,986 crore. At the earnings call, the company discussed its plans on hiring freshers in this financial year. Recently, Tata Consultancy Services (TCS) reportedly hired about 10,000 freshers from engineering colleges.The India’s third largest IT services company plans to hire over 10,000 freshers in the fiscal year 2025, said Ramachandran Sundararajan, chief people officer, during the company’s fourth-quarter earnings conference.“For FY25, our go in position is about 10,000. So the off-campus cycle we did in the last quarter, we have more than 10% of the plan coming from that. From the campus cycle for this quarter, we have already released the offers which covers another 15% of that plan, and the next cycle too is on,” Sundararajan said. “So if you look at the readiness to meet the numbers for this year, we are quite prepared for that. So the go-in position is we look at 10,000 plus for FY25,” he added.As per the executive, the hirings will spread across the quarters and additions will be taken up each quarter depending on the demand.HCLTech hired over 2,700 employees in Q4HCLTech added 2,725 employees in the fourth quarter ended March 31, and the net fresher addition in Q4 stood at 3,096 freshers. HCLTech added 12,141 freshers in the full year.“In FY24, we started with a target of hiring about 15,000 odd freshers...that was the go-in plan for the year, and we finished with adding more than 12,000. Given the volatility that we had through the year, we had to recalibrate our fresher hiring,” said Sundararajan.",https://timesofindia.indiatimes.com/technology/tech-news/hcltech-plans-to-hire-over-10000-freshers-in-2024-25/articleshow/109649629.cms
tcs,2024-04-24T14:33:00+05:30,TOI Business Desk,"Rs 15,000 crore 4G deal: TCS setting up four large BSNL data centres in ‘most complex deployment’","India Business News: N Ganapathy Subramaniam, the Chief Operating Officer of Tata Consultancy Services (TCS), has announced that the company is setting up sizable data cen","Tata Consultancy Services (TCS) is establishing large data centres across the four regions of India as part of its Rs 15,000-crore agreement with state-owned telecommunications company Bharat Sanchar Nigam Ltd (BSNL), according to COO N Ganapathy Subramaniam. TCS, in collaboration with the government's Centre for Development of Telematics (C-DOT), will make a total of 38 deployments of varying capacities in BSNL premises across all telecom circles of the company as part of its 4G network deployment, making it the first indigenous network solutions provider.N Ganapathy Subramaniam told ET, ""This is going to be the most complex deployment with two large data centres in each of the four zones—PR (for primary server) and DR (for disaster recovery server)."" He further added, ""Beyond this, in each telecom circle, we will deploy 30 data centres depending on load requirements of that circle. So, it's 38 deployments in total and we are working with hardware supply partners to complete the implementation by June.""In May 2022, TCS informed the exchanges that it had, along with ITI Ltd, secured an advance purchase order of Rs 19,000 crore from BSNL to set up 100,000 4G sites. ITI is responsible for fulfilling nearly 20% of this order, while TCS handles the larger portion. The TCS-led consortium, which includes C-DOT and indigenous telecom equipment-maker Tejas Networks, is responsible for the comprehensive planning, design, installation, commissioning, and optimization of the mobile network. Tata Sons, the parent company of TCS, holds a majority stake in Tejas Networks, which is based in Bengaluru.This project signifies TCS' entry into the modern 4G and 5G communications infrastructure segment, competing against global players such as Ericsson, Nokia, and Huawei. The deal was secured after nearly a year of negotiations. In terms of business, this is the largest deal win for TCS in 2023, following a $723-million deal from UK-based Phoenix Group and another one from British retailer Marks and Spencer (M&S), which is reportedly worth $1 billion.",https://timesofindia.indiatimes.com/business/india-business/rs-15000-crore-4g-deal-tcs-setting-up-four-large-bsnl-data-centres-in-most-complex-deployment/articleshow/109559025.cms
tcs,2024-04-21T10:24:00+05:30,PTI,"Six of top 10 valued firms take Rs 1.40 lakh cr hit in mcap; TCS, Infosys biggest laggards","India Business News: Top firms like TCS, Infosys suffered valuation erosion. BSE index down 1.55%. Reliance, HDFC, Bharti Airtel, LIC gained. Infosys disappointed with rev","NEW DELHI: The combined market valuation of six of the top 10 valued firms eroded by Rs 1,40,478.38 crore in a holiday-shortened week, with IT majors Tata Consultancy Services (TCS) and Infosys taking the maximum hit. Last week, the BSE benchmark declined 1,156.57 points or 1.55 per cent. Stock markets were closed on Wednesday on account of Ram Navami.  While Reliance Industries, HDFC Bank, Bharti Airtel and Life Insurance Corporation of India (LIC) were the gainers from the top-10 pack, TCS, ICICI Bank, State Bank of India, Infosys, ITC and Hindustan Unilever suffered erosion in their valuation.  The market valuation of TCS tanked by Rs 62,538.64 crore to Rs 13,84,804.91 crore, the most among the top 10 firms.  Infosys faced an erosion of Rs 30,488.12 crore from its valuation which stood at Rs 5,85,936.45 crore.  Shares of Infosys on Friday ended nearly 1 per cent lower after the company's revenue growth guidance for FY25 failed to meet market expectations.  The market capitalisation (mcap) of ICICI Bank diminished by Rs 26,423.74 crore to Rs 7,49,023.89 crore and that of State Bank of India declined by Rs 14,234.76 crore to Rs 6,70,059.86 crore.  The valuation of ITC slumped Rs 6,616.9 crore to Rs 5,30,350.97 crore and that of Hindustan Unilever went lower by Rs 176.22 crore to Rs 5,24,487.51 crore.  However, Bharti Airtel's mcap zoomed Rs 37,797.09 crore to Rs 7,30,658.36 crore and that of HDFC Bank climbed Rs 9,420.17 crore to Rs 11,63,314.93 crore.  Reliance Industries added Rs 4,397.82 crore taking its valuation to Rs 19,90,195.52 crore and the mcap of LIC advanced Rs 1,201.75 crore to Rs 6,15,453.90 crore.  In the ranking of top-10 firms, Reliance Industries remained the most valued company followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, State Bank of India, LIC, Infosys, ITC and Hindustan Unilever.",https://timesofindia.indiatimes.com/business/india-business/six-of-top-10-valued-firms-take-rs-1-40-lakh-cr-hit-in-mcaptcs-infosys-biggest-laggards/articleshow/109471073.cms
tcs,2024-04-21T08:01:00+05:30,TOI Tech Desk,"Google sacks employees for protests over Israel project, government’s new CCTV rules, new launches from Vivo, Motorola, and other top news of the week","TECH NEWS : Google fires 28 protesting employees over Israeli contract. Layoffs reported, roles moving to hubs. Meta launches Llama 3 AI. Paytm authorized by NPCI","Google this week sacked 28 employees for protests over its project with the Israeli government. In an email, CEO Sundar Pichai said that the workplace is not a place for politics. The company is also cutting some jobs and moving some of those roles to countries including India. Meta has launched Meta AI for its apps and consumer hardware products. Nothing has launched two earphones, Vivo and Motorola unveiled smartphones. All this and other tech news of the week. Google sacks 28 employees for protests over 'Israel contract' at its buildingsGoogle fired 28 employees who participated in sit-in protests at company offices. The employees were protesting against Project Nimbus, a $1.2 billion joint contract with Amazon.com Inc to provide the Israeli government with AI and cloud services. The protests were led by the No Tech for Apartheid organisation and reportedly took place across Google offices in New York City, Seattle, and Sunnyvale, California. Click here to read more.Google lays off more employees, moving some job roles to India Google is reportedly cutting more jobs. The company is said to be laying off an unspecified number of employees. According to a report in Business Insider, Google is letting go of more employees and restructuring some teams. A small percentage of the impacted roles will reportedly move to hubs that Google is said to be investing in, including India, Chicago, Atlanta and Dublin. Click here to read more.Meta Al rolling out to WhatsApp, Instagram, Facebook and MessengerMeta has ramped up AI competition by launching Llama 3 to challenge OpenAI. The AI assistant will be integrated into various platforms, including WhatsApp, Instagram, Facebook and Messenger, offering sophisticated features like text and image generation. The company aims to lead in the generative AI market expansion worldwide. Click here to read more.Paytm starts user migration to new UPI IDsPaytm's parent company, One 97 Communications (OCL), has been authorised by the National Payments Corporation of India (NPCI) to migrate users to new banks for UPI payments. This follows NPCI's approval in March for OCL to operate as a Third-Party Application Provider (TPAP) under a multi-bank model. NPCI's approval allows Paytm to continue offering UPI services through these partner banks. Click here to read more.TCS CEO K Krithivasan's ‘thanks letter’ to employees and COO NG SubramaniamTata Consultancy Services CEO K Krithivasan is set to complete almost an year at top. CEO K Krithivasan took over as the company's CEO in June last year. As the new financial year starts, Krithivasan sent an email to the company's over 6-lakh strong workforce. In the email, a copy of which ET has seen, Krithivasan talked about a range of things including thanking TCSers for the company's impressive performance in the fourth quarter of the fiscal year 2024. Click here to know more.Vivo T3x 5G launched in India: Price, specifications and moreVivo has expanded its smartphone portfolio with the launch of T3x 5G smartphone in India. The smartphone is said to offer a faster performance and multitasking experience to users. Vivo has launched the T3x 5G in three variants. The T3x 5G price starts at Rs 13,499 for the 4GB+128GB variant, Rs 14,999 for the 6GB+128GB variant and Rs 16,499 for the 8GB+128GB variant. The smartphone will go on sale starting April 24 across Flipkart, vivo India e-store and all partner retail stores. The handset is available in two colour options -- Crimson Bliss and Celestial Green. Click here to know more.Motorola Edge 50 Ultra with 16GB RAM, Snapdragon 8s Gen 3 chipset launchedMotorola Edge 50 Ultra is now official. Lenovo-owned Motorola has expanded its smartphone lineup with the launch of its flagship smartphone - Motorola Edge 50 Ultra in global markets. The smartphone houses a 1.5K OLED display and is powered by a Qualcomm chipset. The smartphone sports a 50MP front camera and it is backed by a 4500 mAh battery. Click here to know more.Nothing Ear, Nothing Ear (a) true wireless earbuds with ChatGPT launchedConsumer technology brand Nothing has expanded its audio product lineup in India with the launch of two new earbuds in India. The company has launched the Nothing Ear and Ear (a) true wireless earbuds in the country. The Nothing Ear is the successor of the Nothing Ear (2) and it features a new 11mm driver unit which promises to deliver an improved bass experience. Click here to know more.Government mandates new rules for CCTV cameras: Here's what the order saysThe Ministry of Electronics and Information Technology (MeitY) has taken a strong step to improve CCTV security in government establishments. This comes after an internal advisory issued in March regarding potential cyberattacks and data tampering. Weak CCTV security can lead to unauthorised access, compromising privacy and potentially granting control of cameras to attackers. Click here to know more.Toshiba is cutting around 5,000 jobsToshiba Corporation is reportedly planning to cut around 5,000 jobs in Japan.According to a report in Nikkei, this represents roughly 10% of the company's domestic workforce. The job cuts are part of Toshiba's restructuring efforts to streamline operations and focus on core businesses like infrastructure and digital technology. The company will reportedly incur a one-time cost of 100 billion yen ($650 million) as a result. Click here to know more.",https://timesofindia.indiatimes.com/technology/tech-news/google-sacks-employees-for-protests-over-israel-project-governments-new-cctv-rules-new-launches-from-vivo-motorola-and-other-top-news-of-the-week/articleshow/109465415.cms
tcs,2024-04-13T08:40:00+05:30,TOI Business Desk,TCS announces salary hikes from April! High performers to get double-digit increments; here’s the average range,"India Business News: Tata Consultancy Services (TCS), India's largest IT firm, witnessed a decrease in hiring during FY24. The company's workforce reduced by 1,759 employe","TCS increments alert: Tata Consultancy Services (TCS), India’s largest IT services company, on Friday said it will roll out double digit hikes for high performers, starting April. Milind Lakkad, Chief HR Officer said, “We are pleased to announce the annual increments for our workforce, as we have done consistently every year, with top performers receiving double digit hikes.”According to Lakkad, salary increments will range from 4.5% to 7% based on performance, with high-performers receiving double-digit hikes. The company aims to hire around 40,000 freshers this year, with most already on-boarded from previous cycles, states an ET report.TCS saw a decrease in hiring during the last quarter of the fiscal year. The company's headcount dropped by 1,759 employees, bringing the total to 601,546 at the end of the year. This follows a previous decline of 5,680 employees in the third quarter. Despite this, TCS ended the fiscal year with 13,249 fewer employees compared to the previous year, while registering a 3.5% growth in revenue.Also Read | TCS Q4 results: Tata Consultancy Services reports PAT of Rs 12,434 crore; beats estimates“The reduced attrition at 12.5%, enthusiastic response to our campus hiring, increased customer visits and employees returning to the office have resulted in great vibrancy in our delivery centres and elevated morale of our associates,” Lakkad said.TCS is actively recruiting from priority campuses and conducting national qualifier tests to bring in a significant number of new hires, according to Lakkad.Additionally, TCS said that its chief operating officer, N. Ganapathy Subramaniam will be retiring, after 40 years of service. His responsibilities will be redistributed among senior colleagues as TCS does not plan an immediate replacement for the COO role.Similar to its industry counterparts, TCS has observed a consistent decrease in headcount over recent quarters, with a significant drop of 6,333 in the second quarter of the fiscal year. K Krithivasan, TCS's chief executive, highlighted that revenue growth and headcount are not directly correlated, emphasizing the company's focus on efficiency and optimized deployment of associates. Krithivasan noted that the company's ongoing training process for new hires typically takes six to nine months before deployment.As per Teamlease Digital, the IT sector is likely to witness a flat or negative net addition in the current fiscal year, aligning with the trend seen across major IT companies.TCS Workforce FY 2023-24 Highlights:Employee Headcount: 601,546Diversity: 152 nationalities; 35.6% womenIT Services Attrition (LTM): 12.5%",https://timesofindia.indiatimes.com/business/india-business/tcs-announces-salary-hikes-from-april-high-performers-to-get-double-digit-increments-heres-the-average-range/articleshow/109251278.cms
tcs,2024-04-12T15:54:00+05:30,TOI Business Desk,"TCS Q4 results: Tata Consultancy Services reports PAT of Rs 12,434 crore; beats estimates - check key highlights","India Business News: TCS Q4 results: The company reported a revenue of Rs 61,237 crore, which is a 3.5% year-on-year growth. According to the TCS press release, the growth","TCS Q4 results: Tata Consultancy Services, India’s largest IT services company, on Friday reported a Profit After Tax (PAT) of Rs 12,434 crore for the fourth quarter of the financial year ending March 2024. This is a 9.1% year-on-year increase. The company reported a revenue of Rs 61,237 crore, which is a 3.5% year-on-year growth. According to the TCS press release, the growth was led by India (+37.9%), UK (+6.2%), and Manufacturing (+9.7%). While the net income beat analyst expectations according to an ET report, the revenue came in below expectations said Reuters.The Board proposed a final dividend of Rs 28 per share. TCS recorded a 2.2% revenue growth in constant currency terms. The company closed the quarter with record deals worth $13.2 billion, and the total contract value for the fiscal year 2024 stood at a record $42.7 billion. TCS shares have seen an approximately 6% increase year-to-date, contrasting with a 1.4% decline in the broader IT index. Meanwhile, the blue-chip Nifty 50 index has recorded a 3.6% gain.TCS Q4 results: HighlightsRevenue at Rs 61,237 crore, +3.5% YoY (CC: 2.2%)Growth led by India (+37.9%), UK (+6.2%), and Manufacturing (+9.7%)Operating Margin: 26.0%; YoY expansion of 150 bpsNet Margin: 20.3%; YoY expansion of 100 bpsNet Income: Rs 12,434 crore, +9.1% YoYStrong Cash conversion: Operating Cash Flow 100.4% of Net IncomeFinal Dividend per share (proposed): Rs 28K Krithivasan, Chief Executive Officer and Managing Director said that the company is very pleased to close Q4 and FY24 on a strong note with the highest ever order book and a 26% operating margin. According to K Krithivasan, this validates the robustness of TCS business model and execution excellence. “In an environment of global macro uncertainty, we are staying close to our customers and helping them execute on their core priorities with TCS’ portfolio of offerings, innovation capabilities and thought leadership,” he said.Commenting on the results, N Ganapathy Subramaniam, Chief Operating Officer and Executive Director of TCS said, “Our Q4 performance is robust, with broad based deal wins across industries and geographies. Our products and platforms business sparkled with the mega deal win at Aviva and emerging markets had another stellar growth quarter demonstrating the power of TCS’ diversified portfolio.”",https://timesofindia.indiatimes.com/business/india-business/tcs-q4-results-tata-consultancy-services-earnings-fourth-quarter-fy24-profit-after-tax-revenue-attrition-deals-top-10-points/articleshow/109245698.cms
tcs,2024-04-12T15:52:00+05:30,TOI Tech Desk,"TCS hires 10,000-plus students from engineering colleges, next 'hiring phase' starts soon","TECH NEWS : TCS hires 10,000 freshers, starting second phase. NQT by TCS iON for Ninja, Digital, Prime roles. Tests on April 26 for priority colleges. FY 2024-25 ","Tata Consultancy Services (TCS) has hired 10,000 freshers, and will start the second ‘hiring phase’ later this month, a report has said. The news comes as a respite to colleges and students as the sector has reportedly seen hiring drop from most big IT companies, owing to a weak demand. Citing information from multiple colleges, Moneycontrol reports that freshers are being hired via the National Qualifier Test (NQT). Designed by TCS iON, NQT is a skills assessment platform that evaluates candidates' cognitive abilities and job-specific expertise. It's used by companies for recruitment, not just within the Tata Group (TCS, Titan) but also by external firms.TCS had announced that tests – for which graduates applied till the last day on April 10 – will be held on April 26. While the first phase of recruitment is for the “priority colleges”, the second phase will be held on April 26 for the rest.TCS hiring for three categoriesThe company is hiring for three categories: Ninja, Digital, and Prime. The Ninja category offers a package of Rs 3.36 lakh per annum for various rolesThe Digital category offers an annual package of Rs 7 lakh, andThe Prime category recruits get Rs 9-11.5 lakh annual packageRecruitment process began in January India’s largest IT firm began its recruitment drive last month. TCS previously said that the process to recruit freshers for the financial year 2024-25 had begun and it started visiting campuses in March.“We have commenced our campus hiring process for the next year and see tremendous excitement among freshers to join TCS,” Milind Lakkad, chief HR officer, TCS said during a December earnings call. For FY 2023-24, TCS had a target of hiring 40,000 freshers.",https://timesofindia.indiatimes.com/technology/tech-news/tcs-hires-10000-plus-students-from-engineering-colleges-next-hiring-phase-starts-soon/articleshow/109245912.cms
tcs,2024-04-06T04:46:00+05:30,TNN,Oly champ Valerie is Bengaluru-bound,"Bengaluru: Shot putter Valerie Adams, a four-time World Champion and two-time Olympic medallist, has been named as the International Event Ambassador .","Bengaluru: Shot putter Valerie Adams, a four-time World Champion and two-time Olympic medallist, has been named as the International Event Ambassador for the Tata Consultancy Services World 10K Bengaluru to be held here on April 28.The 39-year-old from New Zealand is one of the most successful athletes of all time. Across her five appearances in the Olympics, she has won two gold medals (in 2008, and 2012), a silver (in 2016) and a bronze medal (in 2020). Adams also boasts an impressive record of four consecutive gold medals in the World Championships, as well as being a four-time world indoor champion and a three-time Commonwealth Games winner.“The power of sports to unite us for a greater purpose is truly remarkable. I am thrilled to participate in the Tata Consultancy Services World 10K Bengaluru, an event that embodies this spirit of unity and community. The increasing enthusiasm for running in India is both motivating and inspiring, and I am excited to witness the boundless energy and passion that participants will bring to the race,” Adams said.Among her other accolades, the New Zealander is only the third woman to win world championships at youth, junior, and senior levels. She is also the first woman to win four consecutive individual titles at the WA World Championships. In 2014, Adams was honoured with the IAAF World Athlete of the Year title.Since retiring from competitive athletics, Adams has taken on the role of a spokesperson for women in sports, addressing various pertinent issues. Currently, she holds the position of Chair of the World Athletes Commission, where she continues to champion the rights and welfare of athletes globally. Additionally, Adams has immersed herself in coaching. She has been closely involved in the Paralympic sphere, collaborating with her sister, Lisa Adams, and other athletes to provide support and guidance.“We are incredibly honoured to welcome Valerie Adams as the International Event Ambassador for the 16th edition of the TCS World 10K Bengaluru. As one of the most accomplished athletes in the world, Valerie embodies determination, perseverance, and excellence. Her remarkable achievements in the field and her commitment to the advancement of sports, particularly for women and para-athletes serve as an inspiration to athletes worldwide. We look forward to together celebrating athleticism and our community spirit at the TCS World 10K Bengaluru,” Vivek Singh, Jt MD, Procam International, said While registrations for the Open 10K and Majja Run are closed, spots for the virtual run are open April 19, or as soon as running places are filled, whichever is earlier. To register visit tcsworld10k.procam.in",https://timesofindia.indiatimes.com/city/bengaluru/oly-champ-valerie-is-bengaluru-bound/articleshow/109077094.cms
tcs,2024-04-04T16:09:00+05:30,TOI Business Desk,"Q4 earnings: Between TCS and Infosys, who will win the IT battle? Here’s what analysts expect","India Business News: TCS (Tata Consultancy Services) and Infosys, two of India's top software exporters, will begin the fourth quarter earnings season this month. It's expected to be a modest quarter for IT firms.","TCS, Infosys Q4 earnings: TCS (Tata Consultancy Services) and Infosys, two of India's top software exporters, will begin the fourth quarter earnings season this month. It's expected to be a modest quarter for IT firms.As per an ET report, TCS will release its fourth quarter results on April 12, while Infosys will announce theirs on April 18.Overall, IT companies are expected to have a subdued performance in the March quarter, with no significant surprises expected. Nuvama predicts industry revenue growth to range between -1.5% and +4.5%, influenced by the gradual return of furloughs and reduced discretionary technology spending.However, the focus is primarily on the guidance for the current fiscal year (FY25), as the weak conclusion to FY24 and an uncertain demand environment may moderate initial forecasts for FY25 among most players.Also Read | Why are foreigners shopping for Indian stocks? Foreign funds’ gross purchases at record high of Rs 4 lakh crore in MarchTCS and Infosys' Q4 earnings expectationsAnalysts expect that TCS will demonstrate industry-leading growth in the March quarter, supported by the BSNL deal. Additionally, the company's constant currency revenue growth is expected to outperform its peers sequentially during the March quarter.Meanwhile, Infosys could begin to witness a recovery in earnings from the first quarter of FY25, driven by expectations of significant ramp-ups in large deals.During the fourth quarter, Kotak Equities has projected a 1.7% quarter-on-quarter constant revenue growth for TCS, whereas Infosys might experience a decline of 1.5% on a sequential basis.The March quarter tends to be seasonally weak for Infosys. The sequential decline is expected due to reduced revenues from third-party software sales and weak discretionary spending.Regarding margins, TCS is expected to outperform its Bengaluru-based peer, with a sequential improvement likely aided by enhanced employee utilization and pyramid management.Kotak forecasts a 40 basis points decline in Infosys' EBIT margins due to the impact of wage revisions and a lack of leverage from growth.Deal wins for the fourth quarter are expected to be around $10 billion for TCS and approximately $3 billion for Infosys. In the December quarter, Infosys secured large deals worth $3.2 billion, while TCS boasted deals valued at $8.1 billion.Indian IT companies, including Infosys, which issue annual revenue growth guidelines, are likely to adopt a cautious approach in their guidance. This caution is due to ongoing macroeconomic uncertainty and the recent forecast cut by Accenture.Nomura anticipates that Infosys will guide for a 2-5% year-on-year revenue growth in constant currency terms, with an EBIT margin band of 20-22% for FY25.Also Read | Top SME IPOs based on returns: Why holding smaller stocks for a longer duration makes senseStock outlook The IT sector has experienced significant volatility in recent months, marked by a strong rally in December and January followed by a sharp correction in March.CLSA India has recently upgraded its rating on a few frontline tech stocks and raised price targets for some of them. However, it expects most companies to offer a conservative outlook due to the uncertain global environment.TCS has been upgraded from ""sell"" to ""underperform,"" with the price target raised to Rs 4,043 from Rs 3,925. Meanwhile, the brokerage has retained its ""outperform"" rating on Infosys but lowered the price target to Rs 1,706 from Rs 1,741.",https://timesofindia.indiatimes.com/business/india-business/q4-earnings-between-tcs-and-infosys-who-will-win-the-it-battle-heres-what-analysts-expect/articleshow/109035560.cms
tcs,2024-03-30T10:07:00+05:30,TOI Tech Desk,TCS hiring: Company has 'good news' for engineering graduates,TECH NEWS : TCS opens applications for 2024 batch roles with varying pay scales. Tests on April 26. Recruitment at VIT Vellore and SRMIST. Infosys and Accenture a,"Tata Consultancy Services (TCS) has more good news on fresher hiring front. India's largest IT company has called applications from BTech, BE, MCA, MSc and MS batch of 2024. The last day to apply is April 10 and tests will be held on April 26, according to the career page of the company's website.First spotted by Money Control, the Tata Group-owned company is hiring for three categories -Ninja, Digital, and Prime. The Ninja category offers a package of Rs 3.36 lakhs per annum for various roles. While the Digital and Prime categories offer Rs 7 lakh and Rs 9-11.5 lakh per annum, respectively.In February this year, TCS is reported to have made offers to the Class of 2024 at some engineering colleges. According to a report in Economic Times, at VIT Vellore, almost 10% of the batch (9,000 students) have secured jobs, courtesy TCS.""TCS, like many other IT services companies, used to come in September-October. We thought it would not visit at all...it is a big relief for our campus that it made its visit and closed recruitment in the first week of February,"" said Dr N Venkata Sastry, director, career centre, at SRM Institute of Science and Technology, had told the publication.Untitled Carousel 108737683 108906267""We expect other companies also to visit now...Infosys process has just started,"" he said. TCS has given 410 offers this year for three profiles - at the top is Prime (₹9 lakh per annum), digital in the middle and Ninja (₹3-4 lakh per annum). Accenture has hired over 150 students so far from SRMIST and its diversity hiring round is currently taking place at the campus, Sastry added.This is reported to be the first time that TCS has offered Prime salary profiles at both SRMIST and VIT Vellore. VIT Vellore has received over 900 offers from TCS including 97 for Prime profiles.TCS chief: No cutting down on hiringEarlier this year, speaking at the 32nd Nasscom Technology Leadership Forum, TCS chief executive K Krithivasan had ruled out cutting down on hiring, saying it has no plans of doing so but it may have to pace hiring according to the evolving demand scenario.""As we are already seeing some green-shoots in the economy we need more people for more work. In fact, we have no plans to reduce our hiring plans and will continue to hire the same way as we have been doing. Probably we will have to change the hiring phase, but no cutting down on our hiring plans, for sure,"" TCS chief executive K Krithivasan said in a Nasscom session here.",https://timesofindia.indiatimes.com/technology/tech-news/tcs-hiring-company-has-good-news-for-engineering-graduates/articleshow/108870632.cms
