Company,Date of Publishing,Author,Headline,Description,Article Body,URL
AIRTEL,2024-05-06T23:49:00+05:30,Himanshi Lohchab,"MNP number shows competition intense as Jio, Airtel fight for Vi users","Telecom companies compete fiercely for market share. Vodafone Idea struggles without 5G. Airtel and Jio focus on service quality and rural expansion. Broadband users increase, with Jio leading the growth.","Telecom companies’ battle for subscriber market share gains is coming to a boil with March month's mobile number portability (MNP) churn continuing to remain high for almost two quarters now.While Vodafone Idea (Vi) is losing new users due to absence of 5G network, Bharti Airtel and Reliance Jio are aggressively competing on service quality and foray into rural regions. But, all three telcos have reported net additions in broadband wireless subscribers in March as the industry added net 6.8 million users, which is higher than past six months’ average 6.2 million subscribers, ICICI Securities said in an analyst report on Monday.“Sector MNP remained elevated, suggesting stiff competition and a focus on market share gains,” said Jefferies. “We expect MNP requests to stay high, partly on VIL users porting out to 5G on Bharti/Jio. Rising MNP could also stem from rising competition between Jio and Bharti for 5G subs and Bharti's rural foray.”According to data published by the telecom regulator, industry wide porting in the month of March 2024 was at 11.4 million and churn rate at 1% which has been consistently high for over a year now.Overall, healthy broadband subscriber additions could relate to traction on affordable Jio Bharat handsets and Airtel’s focus on higher-quality subscribers, according to brokerage firm Jefferies.Reliance Jio added more active subscribers than its rivals, but number two telco Bharti Airtel added higher paying 4G and 5G users in March 2024.Airtel added 3.5 million wireless broadband subscribers compared to Jio’s net addition of 2.1 million, while Vi added 1.1 million subscribers after two consecutive months of net loss, Morgan Stanley wrote.Jefferies termed Vi’s gain as “positive” but cautioned that the trend needs “to be monitored before arriving at any definitive conclusion of stabilization on this front. VIL's recent fund raise could have a bearing on its subscriber additions in the future,” it said.In March 2024, the sector's active subscriber base rose by 5.6 million to a peak of 1,058 million – the highest monthly additions in a year, Jefferies added. Active subscribers are those who have roamed in a particular area that an operator serves.March month’s active user addition was led by Jio (up 3.6 million) after trailing behind Bharti for three months. While this suggests a marginal improvement in Jio’s subscriber base quality, Airtel will continue to lead revenue conversion in absence of tariff hikes, sector analysts said.",https://economictimes.indiatimes.com/markets/stocks/news//industry/telecom/telecom-news/mnp-number-shows-competition-intense-as-jio-airtel-fight-for-vi-users/articleshow/109894455.cms
AIRTEL,2024-05-06T20:48:00+05:30,ET Bureau,"Reliance Jio, Airtel and Vodafone Idea submit applications for upcoming Rs 96,317 crore spectrum auction","India's three private telecom operators, Reliance Jio, Bharti Airtel, and Vodafone Idea, are set to bid for a piece of 5G spectrum worth Rs 96,317.65 crore in the next auction, set to start on June 6. The auction will cover airwaves in various bands, with the government expected to make some selective buying. The auction is expected to be a muted affair, with top telcos having sufficient 5G airwaves for their current needs.","All the three private telecom operators –Reliance Jio, Bharti Airtel and Vodafone Idea - will slug it out to get a piece of 5G spectrum worth Rs 96,317.65 crore to be offered in the next auction, which will start on June 6.The telecom department has received three applications for the auction - from India’s three private telcos - by the deadline for applying, officials told ET. No new company has applied this time. In the last auction held in 2022, an Adani group unit was the surprise bidder.The auction was earlier scheduled to start on May 20, but the date was extended in the wake of general elections.Airwaves in the 800 MHz, 900 MHz, 1800 MHz, 2100 MHz, 2300 MHz, 2500 MHz, 3300 MHz and 26 GHz bands will be put on sale.Industry experts and analysts expect the upcoming spectrum sale to be a muted affair as India’s top telcos have adequate 5G airwaves for their current needs. The auction is likely to only see some selective buying by Bharti Airtel and Vodafone Idea (Vi), who have to renew their airwaves in a few circles.Sunil Mittal-led Airtel needs to renew its airwaves in J&K, Odisha, Bihar, UP (East), West Bengal and Assam. Vodafone Idea needs to renew its spectrum in West Bengal and UP West circles.As per Jefferies’ recent estimates, Airtel and Vi merely need to renew airwaves worth around Rs 4,200 crore and Rs 1,950 crore, respectively, while market leader Reliance Jio does not have any spectrum renewals coming up this year.In the last spectrum sale in July 2022, which was India’s maiden 5G auction, the government had mopped up over Rs 1.5 lakh crore. It had offered over 72 GHz of airwaves for 20 years across 10 5G bands, worth Rs 4.3 lakh crore at reserve prices.The spectrum will be assigned for 20 years and successful bidders will be allowed to make payments in 20 equal annual instalments.The Department of Telecommunications (DoT) has provided an option to surrender the spectrum acquired through the upcoming auction after a minimum period of 10 years.Spectrum bidders are not required to submit any financial bank guarantees (FBG) and performance bank guarantees (PBG).Airwaves bought in the auction won’t attract any spectrum usage charges (SUC) in keeping with the telecom reforms initiated in September 2021.The DoT will publish ownership details of the applicants on May 10.The last date for withdrawal of applications is May 17, and the final list of bidders is scheduled to be declared on May 20.The successful bidders have to deposit the amount to DoT within 10 calendar days from the issuance of demand notice by DoT. The department, on its part, will issue a frequency assignment letter specifying the frequencies to the successful bidder within 30 calendar days from the date of receipt of payment.",https://economictimes.indiatimes.com/markets/stocks/news//industry/telecom/telecom-news/reliance-jio-airtel-and-vodafone-idea-to-participate-in-rs-96317-crore-spectrum-auction/articleshow/109892095.cms
AIRTEL,2024-05-03T18:40:00+05:30,ET Bureau,"Reliance Jio outpaces Airtel in March user adds, Vi cedes more ground: Trai","As per Friday's release Airtel recorded the highest percentage of active subscribers on its network at 99.91%. Active, or visitor location register (VLR), data indicates the number of mobile users regularly using a mobile network.","Telecom company Reliance Jio continued to pip rivals Bharti Airtel and Vodafone Idea (Vi) in net subscriber additions in the month of March 2024, telecom regulator data showed.Jio added 2.14 million users, followed by Airtel which added 1.75 million users. Whereas Vi continued to suffer losses, giving away 684,530 users in March, according to data released by the telecom regulatory authority of India (trai) on Friday.India’s number one telco Reliance Jio has now emerged as the world's largest mobile operator in data traffic consumption, surpassing China Mobile.The total traffic on the Jio network has reached 40.9 Exabytes compared with China Mobile’s 38 Exabytes during the January-March quarter, according to global analytics firm Tefficient.Jio also holds the second largest 5G subscriber base globally at 108 million, with more than 28% of its total wireless data traffic now being consumed by 5G users, the company said in its analyst presentation last month.As per Friday's release Airtel recorded the highest percentage of active subscribers on its network at 99.91%. Active, or visitor location register (VLR), data indicates the number of mobile users regularly using a mobile network.Airtel’s active user base jumped to 385.41 million in December while Jio’s rose to 430.36 million. Vi’s active user base shrank to 193.27 million, as per Trai data.Trai data showed Jio widened its wireless customer market share to 40.30% while Airtel’s rose to 33.10% over the previous month. Vi’s narrowed to 18.86%.In both wireline and wireless category, Jio continued to hold half of all telecom subscriptions.The combination of Airtel and Jio customer gains resulted in India’s mobile user base rising by 0.80% to 924.07 million in end-March.Jio also consolidated its market leadership in the landline segment recording double the number of additions than Airtel. Jio added 3.99 million wireline users, while second-ranked Airtel added a modest 2.06 million, as per current Trai data.",https://economictimes.indiatimes.com/markets/stocks/news//industry/telecom/telecom-news/reliance-jio-outpaces-airtel-in-march-user-adds-vi-cedes-more-ground-trai/articleshow/109820407.cms
AIRTEL,2024-05-03T18:08:00+05:30,Nishtha Awasthi,"BofA hikes target prices of Vodafone Idea, 3 other telecom stocks on tariff hike expectations","The brokerage also increased the target price for other key players in the sector with  Bharti Airtels target at Rs 1,430 and Reliance Industries target price at Rs 3,340, foreseeing an upside of 13.5% and 17.4%, respectively.","“As a pure-play telco, we find VIL offers the highest leverage for tariff hike - a 5% ARPU increase leads to a 12% EPS increase. On the back of its recent fundraise, we expect VIL to improve its 4G network coverage. This should help arrest market share decline and make it competitively better placed,” BofA analysts said in a note.The brokerage also increased the target price for other key players in the sector with Bharti Airtel’s target at Rs 1,430 and Reliance Industries’ target price at Rs 3,340, foreseeing an upside of 13.5% and 17.4%, respectively.“We think Bharti/RIL would likely use improving cash-flows to invest/grow their fiber broadband, enterprise, data center, and digital biz. Most of these are high margin sticky businesses, helping these companies diversify cash-flows from cellular biz and add new growth drivers,” said the report by BofA.Meanwhile, Indus Towers has been priced 17% above, at a target of Rs 410, up from Rs 335 as the brokerage firm views it as an indirect beneficiary of the tariff hikes as VIL’s improving cash flows should aid business in terms of sustained business and better multiple.The Bank of America estimates that the magnitude of the expected tariff hike is likely to be higher at 20-25% vs an earlier expectation of 10-15%, however, improved cash-flows on the back of hikes can be utilized by telcos to grow high margin fiber broadband and enterprise/data-center offerings.In the last 5-6 years, only two tariff hikes have been witnessed despite expectations of tariff hikes every year. However, going ahead, BofA is more optimistic about another round of tariff hikes within 12 months as the companies are looking to monetize 5G & improve cash flows and competition stabilizing with all telcos being well funded, said Sachin Salgaonkar, analyst at Bank of America.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/bofa-hikes-target-prices-of-vodafone-idea-3-other-telecom-stocks-on-tariff-hike-expectations/articleshow/109819866.cms
AIRTEL,2024-05-03T07:22:00+05:30,ET Bureau,"Telecom shares have many tailwinds, could gain 9-16%: BofA","BofA said it expects a tariff hike of 20-25% as against earlier expectation of 10-15%, which could improve cash flows that will be utilised by telecom companies to grow high-margin fiber broadband and enterprise or data-center offerings.","BofA Securities raised share price targets on Indian telecom companies as it expects near-term momentum in the sector. The firm has upgraded its rating on Vodafone Idea from ‘Underperform’ to ‘Neutral’, and sees 9-16% upside in shares of Bharti Airtel, Indus Towers, and Reliance Industries.BofA said it expects a tariff hike of 20-25% as against earlier expectation of 10-15%, which could improve cash flows that will be utilised by telecom companies to grow high-margin fiber broadband and enterprise or data-center offerings.109799835The firm said that Vodafone had the highest chances to leverage the tariff hikes, and is better placed to improve business after its fundraise. Indus Towers, a major mobile tower installation company, is set to indirectly benefit from the cash flows and expansion in Vodafone.Bharti Airtel and Jio are also expected to use the additional cash flows to invest and grow their fiber broadband, enterprise, data center, and digital business post the tariff hike, it said.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/telecom-shares-have-many-tailwinds-could-gain-9-16-bofa/articleshow/109799843.cms
AIRTEL,2024-05-02T07:21:00+05:30,Javed Farooqui,CCI approves Airtel's buyout of Warburg Pincus affiliate's stake in DTH arm,"In October 2023, the telecom company sought the competition watchdogs approval for the transaction that also involved Lion Meadow Investment, an affiliate of Warburg Pincus, acquiring a stake in Bharti Airtel, one of the persons cited above said. The CCI approved the transaction recently.","Mumbai: The Competition Commission of India (CCI) has approved Bharti Airtel’s acquisition of an additional 20% stake in its direct-to-home (DTH) arm Bharti Telemedia from an affiliate of New York-headquartered private equity firm Warburg Pincus, people with knowledge of the matter told ET.The competition watchdog is expected to publish a detailed public order on the transaction soon, one of the sources said.While the transaction dates to 2021, the CCI in August 2023 slapped a fine of Rs 1 crore on Airtel for concluding the deal without informing it.In October 2023, the telecom company sought the competition watchdog’s approval for the transaction that also involved Lion Meadow Investment, an affiliate of Warburg Pincus, acquiring a stake in Bharti Airtel, one of the persons cited above said. The CCI approved the transaction recently, the person added.In its application to the CCI, Airtel said the transaction is an intra-group shareholding consolidation and does not constitute any change in market dynamics, the entry or exit of any player, or a change in the management of the business operations of BTL.The application identified India's upstream market for digital set-top box manufacturing and sale and the downstream market for aggregating and distributing TV channels through DTH services as relevant markets for the CCI’s review.This is the second major deal to be completed in the DTH sector, following Tata Sons’ acquisition of Singaporean investment firm Temasek's 10% holding in Tata Play for $100 million at a $1-billion valuation. Tata Sons now owns a 70% stake in Tata Play, with Walt Disney holding the rest.Bharti Airtel acquired Lion Meadow’s 20% stake in Bharti Telemedia in February 2021 for Rs 3,126 crore through issuance of 36.47 million equity shares of Airtel at Rs 600 per share and up to Rs 1,037.8 crore in cash.The stake acquisition, which will increase Bharti Airtel’s shareholding in Bharti Telemedia to 100% from 80%, valued the DTH firm at Rs 15,630 crore.Bharti Telemedia, which provides DTH services under the Airtel Digital TV brand, had 16.1 million subscribers at the end of December 2023. It is the country’s second-largest DTH operator after Tata Play, which has 21 million subscribers.The Warburg Pincus affiliate exited Bharti Telemedia in less than four years after acquiring a 20% stake in it for Rs 2,258 crore in December 2017, valuing the DTH arm at Rs 11,290 crore.In FY23, Bharti Telemedia slipped into the red with a net loss of Rs 349 crore against a profit of Rs 465 crore in the previous year. The company’s revenue dropped 7% to Rs 2,949 crore.While reaffirming the firm’s credit ratings, Crisil noted that Bharti Telemedia has made provision of around Rs 2,980 crore towards potential DTH licence fee liabilities, which are currently sub-judice.The rating agency also noted that Bharti Telemedia’s liquidity remains strong, with cash and liquid investment at over Rs 250 crore as of March 31, 2023. It expects net cash accrual from operations to remain healthy at Rs 1,500–2,000 crore per annum over the medium term.",https://economictimes.indiatimes.com/markets/stocks/news//industry/media/entertainment/media/cci-approves-airtels-buyout-of-warburg-pincus-affiliates-stake-in-dth-arm/articleshow/109768002.cms
AIRTEL,2024-04-30T09:29:00+05:30,Navdeep Singh,"Positive global cues, auto stocks drive Sensex 300 points higher; Nifty above 22,700","Indian equities, led by Reliance Industries, showed gains. Various sectors surged, with expectations of steady Fed rates in May 2024. Trent rises over 6% post solid Q4 results.","Following gains from global peers, Indian equity indices opened marginally higher on Tuesday, with index heavyweight Reliance Industries leading the gains alongside financial and auto stocks.The BSE Sensex was up by 304 points at 74,975, while the Nifty50 traded at 22,745, marking a rise of 102 points around 10:05 am.In the Sensex pack, M&M, Maruti, Tata Motors, UltraTech Cement, and Bajaj Finserv opened with gains, while Bharti Airtel, Tech Mahindra, Infosys, and SBI started the day with declines.Among individual stocks, Trent rose 6.4% in early trade after the company posted a rise in quarterly profit as it opened more lower-priced Zudio brand of stores.Smallcap firm KFin Technologies shares also surged over 8% after the company reported a 31% increase in PAT at Rs 74.5 crore for Q4 FY24, driven by growth across business verticals.Sector-wise, all sectoral indices showed gains. Nifty Auto rose by 2.2%, Nifty Media increased by 0.8%, and Nifty Realty surged 0.8% as well.Markets are pricing in a 97.3% chance of the Fed keeping rates unchanged in May 2024, according to the CME FedWatch tool, compared with a 90.7% chance at the end of March.Experts View This bull market is remaining resilient despite headwinds, and is slowly gathering momentum despite high valuations. A significant feature of the ongoing bull run is that the FIIs are consistently being outsmarted by the DIIs and retail investors,  said V K Vijayakumar, Chief Investment Strategist, Geojit Financial Services. A significant development in the market yesterday was the huge delivery volume in the banking stocks like ICICI, HDFC, Axis, SBI and Kotak. This segment will remain resilient and may appreciate further,  Vijayakumar said.Deepak Jasani, Head of Retail Research at HDFC Securities, said,  The next upside levels to be watched are around 22726-22775 band for the near term. Immediate support is at 22447. Global MarketsAsian stocks inched higher on Tuesday as investors awaited a slew of economic data, corporate earnings and the U.S. Federal Reserve's policy meeting, while the yen was slightly weaker a day after suspected intervention rescued it from 34-year lows.MSCI's broadest index of Asia-Pacific shares outside Japan was 0.36% higher, set to clock in a nearly 1% gain for the month, its third straight month of gains. Nikkei rose 1% as Japan reopened after a holiday on Monday.Overnight, U.S. stocks ended higher, led by sharp gains in Tesla shares after the electric vehicle maker made progress in securing regulatory approval to launch its advanced driver-assistance program in China.FII/DII TrackerForeign institutional investors (FIIs) net bought Rs 169.09 crore shares, while domestic institutional investors (DIIs) pumped in Rs 692.05 crore on April 29, provisional data from the NSE showed.Crude OilU.S. crude fell 0.18% to $82.48 per barrel, and Brent was at $88.31, down 0.1% on the day.Currency WatchThe Indian rupee fell 4 paise to 83.49 against the US dollar in early trade. The dollar index, which tracks the movement of the greenback against a basket of six major world currencies, increased 0.24% to 105.83 level.(With inputs from agencies)(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/auto-stocks-drive-sensex-100-points-higher-tracking-global-peers-nifty-above-22650/articleshow/109711439.cms
AIRTEL,2024-04-29T23:41:00+05:30,Kiran Rathee,"In top gear: Telecom parts output crosses Rs 45,000-crore milestone","Telecom equipment manufacturing and exports have become a significant success story, aided by the government's PLI scheme. FY24 saw telecom equipment production crossing ₹45,000 crore, with exports around ₹10,500 crore and over 19,500 direct jobs created. India has shifted from being a telecom gear importer to a manufacturer, driven by Make-in-India and the PLI scheme. ","Telecom equipment manufacturing and exports is emerging as a new success story after smartphone exports.Telecom equipment production for FY24 crossed the Rs 45,000 crore milestone with exports of around Rs 10,500 crore, backed by the Centre’s production linked incentive (PLI) scheme. The scheme has also led to creation of over 19,500 direct jobs, according to government data shared exclusively with ET.“Telecom equipment manufacturing was a dream for our country and the Make-in-India and PLI programme have really succeeded,” telecom minister Ashwini Vaishnaw told ET. He said India has been a telecom gear importer for decades which changed after the Make-in-India and PLI scheme, driving production of equipment worth more than Rs 45,000 crore in the country.Telecom equipment comprises complex products such as radios, routers, network equipment, among others. Further, the government has allowed companies to claim benefits for making 5G fixed wireless access (FWA) equipment. Leading telcos Reliance Jio and Bharti Airtel are betting big on FWA to monetise 5G and all products are made locally. As per government data, of the total Rs 45,988.54 crore worth of sales till February, global firms contributed Rs 36,537.68 crore with domestic firms accounting for Rs 6,768.74 crore and MSMEs at Rs 2682.12 crore. In terms of employment, domestic companies created 14,525 jobs, followed by MSMEs (2984 jobs) and global firms at 2041 jobs.India-made telecom equipment is currently being exported to North America and Europe with top telecom companies globally as customers. “Lots of our Indian manufacturers are getting design inputs into the products. Products are designed in India, made in India and then exported, and the quality of products is good,” the minister said.Department of Telecommunications (DoT) had notified the PLI scheme for telecom and networking products in February 2021 with an outlay of Rs 12,195 crore over five years. A total of 31 companies got approval on October 14, 2021, for the scheme, which offers incentives of 4% to 7% for different categories and years. For MSMEs, a 1% higher incentive is proposed in year 1, year 2 and year 3.The scheme was amended in April 2022 to facilitate design-led manufacturing with an additional incentive rate of 1%, setting aside a sum of Rs 4,000 crore from the total allocation. The scheme was also extended by a year as most selected firms failed to achieve production targets due to Covid-related supply chain disruptions.A total of 42 firms, including 28 MSMEs were selected under the revised scheme. These companies had committed to invest a total Rs 4,115 crore and were expected to generate additional sales of Rs 2.45 lakh crore and create additional employment of more than 44,000 over the scheme period.Some of the prominent firms in telecom PLI scheme include Samsung, Dixon Technologies, HFCL, Jabil, Flextronics, Sanmina, Rising Star, Nokia, Tejas, etc. Nokia and Ericsson have utilised the majority of India-made radios for rolling out 5G networks of Reliance Jio and Bharti Airtel. In FY23, over 20 companies met the targets, including Nokia, Jabil, Sanmina, HFCL, VVDN, Coral and Tejas Networks. However, in FY24, the number of firms meeting the targets would rise, said officials.To boost equipment manufacturing, the Centre had tightened rules around custom duty payments by gear importers to plug leakages. This helped local manufacturing of routers, modems and set top boxes among others, said experts.",https://economictimes.indiatimes.com/markets/stocks/news//industry/telecom/telecom-news/in-top-gear-telecom-parts-output-crosses-rs-45000-crore-milestone/articleshow/109703492.cms
AIRTEL,2024-04-29T22:26:00+05:30,PTI,Bharti Airtel issues shares worth Rs 246 crore to FCCB holders,Following allotment of equity against the foreign currency convertible bond (FCCB) the outstanding principal value of FCCBs at Singapore Exchange has reduced to USD 204.690 million.,"New Delhi: Bharti Airtel has allotted equity shares worth about Rs 246 crore to its foreign debt bond holders that are due for maturity in February 2025, according to a regulatory filing. The company had issued USD 1,000 million 1.50% convertible bonds due 2025 in January 2020 that were convertible into the company's fully paid up equity shares.   We wish to submit that upon receipt of notices for conversion of FCCBs of principal value of USD 34,281,000 from certain FCCBs holder(s), the Special Committee of Directors for Fund Raising has, today i.e. on April 29, 2024, approved the allotment of 4,766,663 fully paid-up equity shares of face value Rs 5 each at a conversion price of Rs 518 per equity share to such holder(s) of FCCBs,  Airtel said in the regulatory filing.  Following allotment of equity against the foreign currency convertible bond (FCCB) the outstanding principal value of FCCBs at Singapore Exchange has reduced to USD 204.690 million.   Paid-up equity share capital of the company stands increased to Rs 28,858,453,702.50 divided into 5,673,618,825 fully paid-up equity shares of Rs 5 each and 392,287,662 partly paid-up equity shares of Rs 5 each, paid-up value Rs 1.25 each,  the filing said.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/bharti-airtel-issues-shares-worth-rs-246-crore-to-fccb-holders/articleshow/109702527.cms
AIRTEL,2024-04-29T09:14:00+05:30,Bloomberg,Top Indian fund bullish on telecom stocks amid tariff hike bet,"Mukesh Ambanis Jio disrupted the market in 2016 with cheap 4G data services, sparking a price war that reshaped the sector into a near-duopoly dominated by Jio and Bharti. Average revenue per user plunged, burdening telecom operators with massive debts.","A recovery is in the offing in India’s telecommunications sector, with potential tariffs hikes and a shift to high-speed networks set to bolster revenue, according to a top-performing fund manager.“We are likely headed for a large hike in tariffs,” said Niket Shah, chief investment officer at Motilal Oswal Asset Management Co. He estimates that one such increase can boost the industry’s Ebitda by more than 500 billion rupees, and add up to 7 trillion rupees ($84 billion) in combined market value.The likely tariff increase will help inject new life into a sector that has grappled with cut-throat competition and aggressive policy actions in recent years, said Shah. America’s top wireless carrier AT&T Inc.’s average revenue per user is $55, while the measure is as low as $2 in India, he said.The optimism was palpable last week as Vodafone Idea Ltd., the smallest of the three players in India, raised $2.2 billion in a share sale that was oversubscribed more than six times. Nuvama Institutional Equities said this fundraise may mark a turning point for the sector, providing the company the much-needed capital to compete with larger rivals Reliance Jio Infocomm Ltd. and Bharti Airtel Ltd.109677779“It’s clear that the government doesn’t want to see telecom become a duopoly, so we can expect policy support,” said Shah, who oversees $3.2 billion across five equity funds. Motilal Oswal’s flagship fund has returned about 58% in the past year, beating over 90% of peers.Shah held Bharti Airtel and tower operator Indus Towers Ltd. in his portfolios at the end of March, data compiled by Bloomberg show.Mukesh Ambani’s Jio disrupted the market in 2016 with cheap 4G data services, sparking a price war that reshaped the sector into a near-duopoly dominated by Jio and Bharti. Average revenue per user plunged, burdening telecom operators with massive debts.In 2022, Vodafone Idea converted the dues it couldn’t pay to the government into a 32% equity stake.The industry is now showing signs of stabilizing, driven with investments into newer technology and efforts by companies to clean up balance sheets. Antique Stock Broking Ltd. estimates a 15% to 17% tariff increase for the sector — the first hike since 2021 — after India’s on-going elections conclude.109677801The shift in sentiment means that some shares are expensive relative to history. Bharti Airtel trades at nearly 37 times its forward earnings, versus the two-year average of 31. Also, Vodafone Idea continues to lose subscribers to competitors. Analysts caution that the fundraise may not be sufficient to stem this decline. Mobile operators are urging the government to discontinue 2G services, aiming to cut network-related expenses and transition over 200 million users to higher data plans. Motilal Oswal’s Shah expects a full migration of all customers to 4G or 5G within the next two to three years.These price hikes, alongside the migration and lower interest burden, will drive profits in the coming years, he said.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/top-indian-fund-bullish-on-telecom-stocks-amid-tariff-hike-bet/articleshow/109677722.cms
