Company,Date of Publishing,Author,Headline,Description,Article Body,URL
ICICI,2024-05-07T16:01:00+05:30,Navdeep Singh,"Rs 5 lakh crore wiped off! Poll jitters, banking & auto woes weigh on indices","The 30-share BSE benchmark Sensex declined 384 points or 0.52% to settle at 73,512. The broader NSE Nifty dropped 140 points or 0.62% to end at 22,302. Oil steadied on Tuesday as weakness in the physical market countered concern about conflict in the Middle East as Israel stepped up attacks in southern Gaza and a ceasefire deal between Hamas and Israel hung in the balance.","Amid nervousness in the market during voting for the third phase of the Lok Sabha election, Indian benchmark equity indices closed lower on Tuesday, dragged by index heavyweight Reliance Industries, banking and auto stocks.The 30-share BSE benchmark Sensex declined 384 points or 0.52% to settle at 73,512. The broader NSE Nifty dropped 140 points or 0.62% to end at 22,302.The market capitalisation of all listed companies on the BSE declined by Rs 5 lakh crore to Rs 398.4 lakh crore.HDFC Bank, Reliance Industries, ICICI Bank, Power Grid, Tata Motors, and Axis Bank exerted downward pressure on the Sensex, while TCS, Infosys, Tech Mahindra, Nestle India, and HUL contributed positively to the index.Nifty FMCG rose over 2%, driven by nearly 10% gains in top gainer Marico after it forecasted revenue growth to outpace volume growth in fiscal 2025.A bigger fourth-quarter profit also boosted Godrej Consumer Products by 5.4%, while consumer major Hindustan Unilever, biscuits maker Britannia and cigarette maker ITC were up between 1.3-5.5%.Titagarh Rail Systems shares closed nearly 5% higher after Morgan Stanley initiated an 'Overweight' rating on the stock with a target price of Rs 1,285.Nifty Bank, Auto, Media, Pharma, Realty, Healthcare, and Oil & Gas sectors closed 1% to 3.5% lower.Experts View Despite positive global cues, the domestic market continued to consolidate. The domestic market is witnessing profit booking due to various factors, including a low turnout in the ongoing election and premium valuations,  said Vinod Nair, Head of Research, Geojit Financial Services.However, FMCG remained the biggest sectoral gainer in Tyesday’s trading session, driven by expectations of improving volume growth from rural areas aided by favourable monsoon expectations, Nair said.Aditya Gaggar, Director of Progressive Shares, said,  The Index has made yet another bearish candle on the daily chart indicating upper hand of the Bears. The previous bullish gap zone of 22,160-22,200 will be considered support while 22,400 is an immediate hurdle.Global MarketsGlobal shares traded around one-month highs on Tuesday, boosted by renewed confidence in US interest rate cuts.On Tuesday, US futures pointed to a steady start later on, while stocks in Europe caught a bid from the banks, where UBS and Unicredit beat expectations, sending the STOXX 600 up 0.6%. MSCI's All-World index was up 0.1%, around its highest since April 10.Crude OilOil steadied on Tuesday as weakness in the physical market countered concern about conflict in the Middle East as Israel stepped up attacks in southern Gaza and a ceasefire deal between Hamas and Israel hung in the balance.Brent crude futures were down 7 cents to $83.26 a barrel, while U.S. West Texas Intermediate (WTI) crude futures were unchanged at $78.48.Rupee Ends FlatThe Indian rupee closed barely changed on Tuesday as dollar sales from state-run banks supported the currency even as most of its Asian peers weakened.The rupee closed at 83.5075 against the U.S. dollar, against 83.4875 in the previous session. It hovered in a tight band of 83.4775 and 83.5175 during the session.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/rs-5-lakh-crore-wiped-off-poll-jitters-banking-auto-woes-weigh-on-indices/articleshow/109917899.cms
ICICI,2024-05-02T16:30:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 43.36 points  up  at 22648.2,"NEW DELHI: REC(Rs. 4536.81 crore), Kotak Bank(Rs. 4187.78 crore), ICICI Bank(Rs. 2869.67 crore), Power Finance Corp.(Rs. 2600.82 crore), HDFC Bank(Rs. 2563.50 crore), RIL(Rs. 2134.26 crore), SBI(Rs. 1656.17 crore), BHEL(Rs. 1536.10 crore), Infosys(Rs. 1428.31 crore) and Axis Bank(Rs. 1423.08 crore) were among the most traded securities on the National Stock Exchange in Thursday's session.   The NSE Nifty index ended the session 43.36 points up at 22648.2, while BSE Sensex rose 128.33 points to 74611.11.   In the Nifty index, Bharat Petroleum Corporation Ltd.(up 4.50 per cent), Power Grid Corporation of India Ltd.(up 3.90 per cent), Asian Paints Ltd.(up 3.46 per cent), Bajaj Auto Ltd.(up 2.33 per cent) and Tata Motors Ltd.(up 1.98 per cent) stood among the top gainers.   On the other hand, Kotak Mahindra Bank Ltd.(down 2.98 per cent), Tata Consumer Products Ltd.(down 1.56 per cent), Bharti Airtel Ltd.(down 1.39 per cent), Axis Bank Ltd.(down 1.38 per cent) and HDFC Life Insurance Company Ltd.(down 1.26 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/109786003.cms
ICICI,2024-05-02T11:20:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 31.36 points  up  at 22636.2,"NEW DELHI: REC(Rs. 2772.05 crore), Kotak Bank(Rs. 2228.12 crore), Power Finance Corp.(Rs. 1752.70 crore), ICICI Bank(Rs. 1216.87 crore), HDFC Bank(Rs. 1208.92 crore), BHEL(Rs. 1159.01 crore), SBI(Rs. 794.51 crore), RIL(Rs. 779.76 crore), Power Grid(Rs. 744.95 crore) and NHPC(Rs. 661.92 crore) were among the most traded securities on the National Stock Exchange at 11:20AM in Thursday's session.   The NSE Nifty index traded 31.36 points up at 22636.2, while BSE Sensex was up 108.65 points at 74591.43 as of 11:20AM(IST)on May 02.   In the Nifty index, Power Grid Corporation of India Ltd.(up 3.70 per cent), Bharat Petroleum Corporation Ltd.(up 3.36 per cent), Bajaj Auto Ltd.(up 2.28 per cent), Tata Motors Ltd.(up 1.84 per cent) and Tata Steel Ltd.(up 1.73 per cent) were among the top gainers.   On the other hand, Kotak Mahindra Bank Ltd.(down 3.67 per cent), Tata Consumer Products Ltd.(down 2.06 per cent), Divi's Laboratories Ltd.(down 1.43 per cent), Wipro Ltd.(down 1.42 per cent) and ICICI Bank Ltd.(down 1.10 per cent) were among the top losers. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109774457.cms
ICICI,2024-05-02T09:35:00+05:30,ET Online,"'Baseless, misleading': ICICI Bank issues clarification over MD Sandeep Bakhshi's exit",ICICI Bank on Thursday issued clarification over an article stating that the bank's Managing Director (MD) Sandeep Bakshi is willing to leave his position.,"ICICI Bank on Thursday issued clarification over an article stating that the bank's Managing Director (MD) Sandeep Bakhshi is willing to leave his position. The bank denied information regarding Bakhshi's exit published in The Morning Context, a news portal, in an exchange filing.  We would like to categorically deny the information published in the article regarding ICICI Bank’s MD allegedly expressing willingness to leave his position due to personal reasons. This information is figment of imagination and therefore, completely baseless and misleading,  the bank said.  It appears that this rumour is being spread with an ulterior motive and malicious intent in order to harm the Bank and its stakeholders,  it said.The shares of ICICI Bank dipped after opening in green and were trading at Rs 1,146.75 as of 9:53 am (Thursday).The Morning Context article, citing sources, stated that Bakhshi had indicated the will to be relieved as managing director and CEO of ICICI Bank. He has some personal emergency. That is why he wants to step down. The central bank suggested that he work remotely if the need arises, and requested him not to step down,  The Morning Context quoted sources familiar with the matter as saying. Bakhshi's midas touchSandeep Bakhshi's appointment as the leader of ICICI Bank in the summer of 2018 marked a significant shift in the bank's trajectory. Rather than turning to a stern, authoritarian figure to address the turmoil engulfing the institution, the board opted for Bakhshi, a seasoned professional known for his compassionate leadership style.Bakhshi's approach focused on transforming ICICI Bank into a customer-centric organization, prioritising service over mere revenue generation. He aimed to rebuild trust in the bank, shifting away from a bureaucratic culture that hindered efficiency and innovation. One of his key initiatives was to eliminate the pervasive 'eat what you kill' mentality prevalent in banking, fostering a more collaborative and ethical environment.Under Bakhshi's stewardship, ICICI Bank underwent a remarkable turnaround. Despite facing its worst asset quality in a decade in 2018, with soaring bad loans and declining return ratios, the bank made significant strides in improving its financial health. Bakhshi's strategic pivot towards granular retail lending, as opposed to relying solely on bulk corporate loans, paid off. By fiscal 2022, the bank had achieved a seven-year low in gross bad loans and a doubling of return on assets (RoA) to over 2%.The results of Bakhshi's leadership were not only reflected in the bank's financial performance but also in its market standing.ICICI Bank emerged as the second most valuable bank, with its valuation ranking among the best in the industry. The overwhelming 'buy' ratings from analysts further underscored the confidence in Bakhshi's leadership and the bank's prospects under his guidance.RBI approves re-appointmentSandeep Bakhshi's re-appointment as the managing director of ICICI Bank by the Reserve Bank of India in September 2023 underscored his significant role within the institution. His tenure, which began in October 2018 amidst a challenging period for the bank, has evidently been deemed successful, given his re-appointment for another three years.Bakhshi has a long-standing association with the ICICI Group, spanning 37 years since he joined in 1986. His journey from being a wholetime director and chief operating officer to holding the MD post in the company marks his steady progression. Notably, Bakhshi's leadership became pivotal in 2018 when he took charge following the resignation of his predecessor, Chanda Kochhar, amid allegations of financial irregularities. Having held key positions within the ICICI Group, including heading ICICI Lombard General Insurance and ICICI Prudential Life Insurance, Bakhshi brought a wealth of experience to his role as MD of ICICI Bank. His educational background from XLRI Jamshedpur further complemented his extensive professional journey, adding to his qualifications.",https://economictimes.indiatimes.com/markets/stocks/news//industry/banking/finance/banking/icici-bank-clarifies-on-article-stating-the-banks-md-willing-to-leave-position/articleshow/109771263.cms
ICICI,2024-04-30T16:56:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 38.56 points  down  at 22604.85,"NEW DELHI: HDFC Bank(Rs. 3996.97 crore), REC(Rs. 3609.81 crore), ICICI Bank(Rs. 3426.34 crore), Kotak Bank(Rs. 2971.90 crore), Power Finance Corp.(Rs. 2319.14 crore), SBI(Rs. 2271.55 crore), Trent(Rs. 2231.79 crore), Axis Bank(Rs. 2213.05 crore), RIL(Rs. 1691.08 crore) and PNB(Rs. 1333.94 crore) were among the most traded securities on the National Stock Exchange in Tuesday's session.   The NSE Nifty index ended the session 38.56 points down at 22604.85, while BSE Sensex fell 188.5 points to 74482.78.   In the Nifty index, Mahindra & Mahindra Ltd.(up 4.58 per cent), Power Grid Corporation of India Ltd.(up 2.78 per cent), Shriram Finance Ltd.(up 2.39 per cent), Hero MotoCorp Ltd.(up 1.92 per cent) and IndusInd Bank Ltd.(up 1.92 per cent) stood among the top gainers.   On the other hand, Tech Mahindra Ltd.(down 1.93 per cent), Bharat Petroleum Corporation Ltd.(down 1.86 per cent), JSW Steel Ltd.(down 1.52 per cent), HCL Technologies Ltd.(down 1.50 per cent) and Dr. Reddy's Laboratories Ltd.(down 1.48 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/109728936.cms
ICICI,2024-04-30T10:59:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 101.8 points  up  at 22745.2,"NEW DELHI: Trent(Rs. 1472.52 crore), HDFC Bank(Rs. 949.19 crore), ICICI Bank(Rs. 863.48 crore), REC(Rs. 653.47 crore), SBFC Finance(Rs. 627.04 crore), RIL(Rs. 606.18 crore), Power Finance Corp.(Rs. 592.45 crore), SBI(Rs. 574.33 crore), Axis Bank(Rs. 551.52 crore) and Vodafone Idea(Rs. 515.80 crore) were among the most traded securities on the National Stock Exchange at 11:00AM in Tuesday's session.   The NSE Nifty index traded 101.8 points up at 22745.2, while BSE Sensex was up 318.46 points at 74989.74 as of 11:00AM(IST)on April 30.   In the Nifty index, Mahindra & Mahindra Ltd.(up 4.46 per cent), Hero MotoCorp Ltd.(up 2.70 per cent), HDFC Life Insurance Company Ltd.(up 1.97 per cent), Bajaj Auto Ltd.(up 1.87 per cent) and Divi's Laboratories Ltd.(up 1.53 per cent) were among the top gainers.   On the other hand, Tech Mahindra Ltd.(down 1.14 per cent), Tata Steel Ltd.(down 0.93 per cent), NTPC Ltd.(down 0.83 per cent), JSW Steel Ltd.(down 0.72 per cent) and HCL Technologies Ltd.(down 0.65 per cent) were among the top losers. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109714385.cms
ICICI,2024-04-30T09:31:00+05:30,Kailash Babar,DP World picks up 1.5 lakh sq ft office space in Navi Mumbai to set up GCC,"DP World leases 150,000 sq ft office space in Navi Mumbai's Aurum Q Parc tower for its global capability centre. The deal involves 5% annual rental escalation, totaling Rs 65 crore. Key tenants include ICICI Bank, Mizuho Bank, Lloyds Register, and Axis Securities.","Multinational logistics company DP World has picked up 150,000 sq ft office space spread across three floors of a commercial tower in Navi Mumbai through a long-term lease, said persons with direct knowledge of the development.The commercial tower Q2 is in Aurum Q Parc mixed-use development located in Ghansoli locality.The agreement spans five years with a three-year lock-in period, signalling the company's commitment to the region. The company is planning to set up its global capability centre (GCC) here. This will be DP World’s fourth GCC facility in India, which underscores its strategic expansion plans in the country.The Dubai-headquartered company has already opened technology centres in Hyderabad, Bengaluru and Gurgaon.ICICI Bank, Mizuho Bank, Lloyds Register and Axis Securities are other key tenants in the project developed by Aurum Real Estate.“The agreement includes a provision for 5% rental escalation every 12 months and the company is expected to pay total rent worth Rs 65 crore over the tenure of the lease. The deal was executed and registered a few days ago,” said one of the persons mentioned above.This investment reflects DP World's confidence in India's burgeoning logistics sector and its potential for sustained growth. The company with $18 billion annual revenue is currently in the process of expanding its port business in India.ET’s email query to DP World and Aurum Real Estate, the project’s developer, remained unanswered, while transaction advisor Cushman & Wakefield declined to comment.DP World has set its capital expenditure budget at around $2 billion for this year alone. This will be invested mainly in Jebel Ali port in the UAE, multipurpose port and terminal London Gateway United Kingdom, Inland logistics operations in India, Dakar container in Senegal, and operations in Indonesia, Peru and Saudi Arabia’s Jeddah.The Indian office market continues its positive trajectory, recording a 44% on-year growth in net absorption of 11.5 million sq ft across top eight cities during the first quarter of 2024, showed data from Cushman & Wakefield. This is the third-highest level recorded in the last five years, demonstrating a robust appetite for office space among businesses.The growth of GCCs in India has been a notable trend in recent years, reflecting the country's emergence as a preferred destination for multinational corporations seeking to establish offshore operations.With a skilled workforce, favourable business environment and robust infrastructure, India offers significant advantages for companies looking to enhance their global capabilities while optimising costs.As a result, the demand for office space by GCCs has surged, with major cities like Bengaluru, Hyderabad and Pune witnessing substantial uptake. As GCCs continue to proliferate across India, the office space take-up is expected to further accelerate, underscoring the country's pivotal role in the global outsourcing landscape. ",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/property-/-cstruction/dp-world-picks-up-1-5-lakh-sq-ft-office-space-in-navi-mumbai-to-set-up-gcc/articleshow/109711549.cms
ICICI,2024-04-30T06:17:00+05:30,ET Bureau,Bulls score big on the rebound; indices jump 1%,"The NSE Nifty rose 223.45 points, or 1%, to close at 22,643.4 on Monday. The BSE Sensex rose 941.12 points, or 1.28%, to end at 74,671.28.  We think that the market is looking healthy,  said Sandeep Raina, executive vice president, research, Nuvama Professional Clients Group.  The direction will be determined by the (corporate) results in the next 20-30 days. ","Mumbai: India's stock benchmarks jumped over 1% on Monday, led by gains in bank shares after ICICI Bank's better-than-expected fourth-quarter results. Analysts said the market may be on course to scale records though the spike in the Volatility Index or VIX, a fear gauge, shows that traders see risks to equities at current levels. The outcome of the US Federal Reserve's rate-setting meeting on Wednesday is expected to determine the direction of equities in the foreseeable future.The NSE Nifty rose 223.45 points, or 1%, to close at 22,643.4 on Monday. The BSE Sensex rose 941.12 points, or 1.28%, to end at 74,671.28.  We think that the market is looking healthy,  said Sandeep Raina, executive vice president, research, Nuvama Professional Clients Group.  The direction will be determined by the (corporate) results in the next 20-30 days. 109708463 Broader Market  The Nifty is currently 132 points, or 0.6%, away from its all-time high of 22,775.7. The Sensex is 453 points, or 0.6%, short of its record of 75,124.Analysts said the Nifty is nearing a crucial level, beyond which it could hit a new record. In the coming sessions, a follow-up move above 22,655 might pull the index towards an all-time high,  said Mehul Kothari, deputy vice president, technical research, Anand Rathi Shares and Stock Brokers.  Technically, the sentiment along with price action and placement of oscillators, all remain in the favour of bulls for the time being. Kothari said the only concern over Monday's rally was that it was stock-centric.Bank shares were among top gainers with Bank Nifty shooting up 2.5%. ICICI Bank and IndusInd Bank gained 4.4% and 4%, respectively, while AU Small Finance Bank soared 7.5%. Banks and financials have the highest weight on the Nifty at 34%.Out of 1,200 points gained in the Nifty Bank index, more than 800 were contributed by ICICI Bank, HDFC Bank and State Bank of India (SBI), said Kothari. Out of the 220-point gain in the Nifty, about 150 came from these stocks and Axis Bank, he said. The VIX jumped 12% to 12.24 on Monday, indicating caution among traders. The VIX may have moved up in response to the Fed meeting, which is a major event, along with Bank Nifty expiry on Tuesday, driving up volatility in the market,  said Sneha Poddar, associate vice president, equity research, Motilal Oswal Financial Services.While the Fed is expected to keep interest rates steady at the end of the two-day meeting on Wednesday, the central bank's comments on when it plans to start cutting rates will be of greater interest to the market.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/bulls-score-big-on-the-rebound-indices-jump-1/articleshow/109708452.cms
ICICI,2024-04-30T05:21:00+05:30,Rajesh Mascarenhas,"ICICI Bank m-cap tops Rs 8 lakh crore, cuts its value gap with HDFC to half","Following the merger of HDFC and HDFC Bank on July 24 last year, HDFC Bank's market-cap was 82% higher than ICICI Bank. ICICI Bank was valued at ₹6.94 lakh crore then while HDFC Bank's market- cap stood at ₹12.66 lakh crore. On Monday, this gap was reduced to 41%, with HDFC valued at ₹11.49 lakh crore and ICICI Bank at ₹8.14 lakh crore.","Mumbai: With the market capitalisation of ICICI Bank crossing ₹8 lakh crore for the first time on Monday, the gap in market value between the two major private sector lenders, HDFC and ICICI, has nearly halved since July.Following the merger of HDFC and HDFC Bank on July 24 last year, HDFC Bank's market-cap was 82% higher than ICICI Bank. ICICI Bank was valued at ₹6.94 lakh crore then while HDFC Bank's market- cap stood at ₹12.66 lakh crore. On Monday, this gap was reduced to 41%, with HDFC valued at ₹11.49 lakh crore and ICICI Bank at ₹8.14 lakh crore.HDFC Bank shares have been under pressure of late on account of squeeze in margins after the merger. In contrast, ICICI Bank has been an outperformer on account of stronger growth. ICICI shares rallied by 28% in the past six months, compared to HDFC Bank's 4.52%.Analysts expect ICICI shares' outperformance to continue in the near term though HDFC's valuations have turned cheaper.109708136 While some aspects may be strenuous for the banking sector, ICICI Bank may hold against the tide with steady earnings,  said Prakhar Agarwal, analyst at Elara Securities.  With merger-related uncertainties for HDFC and recent embargo on Kotak Bank, ICICI Bank is a clean play on best-in class-return on assets and should trade at a premium on high-quality earnings. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/icici-bank-m-cap-tops-rs-8-lakh-crore-cuts-its-value-gap-with-hdfc-to-half/articleshow/109708103.cms
ICICI,2024-04-29T19:11:00+05:30,PTI,Mcap of BSE-listed companies soar to all-time high of Rs 406.52 lakh cr,​The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. ,"The market capitalisation of BSE-listed companies soared to an all-time high of Rs 406.52 lakh crore on Monday thanks to a rally in equities where the BSE Sensex climbed over 1 per cent. The 30-share BSE Sensex rallied 941.12 points or 1.28 per cent to finish at 74,671.28. During the day, it zoomed 990.99 points or 1.34 per cent to 74,721.15.  The market capitalisation (mcap) of BSE-listed companies reached a record peak of Rs 4,06,52,419.94 crore (USD 4.90 trillion). Investors' wealth climbed by Rs 2,48,043.51 crore on Monday.   Markets witnessed phenomenal buying support as Sensex quickly moved towards the crucial 75K mark after investors cheered strong corporate earnings from select frontline banking and cement companies, indicating their smooth sailing despite the global vagaries.   Optimism prevailed from the start of the trading session as cooling of US bond yields and letdown in the Middle East conflict coupled with a drop in crude oil prices generated a lot of enthusiasm amongst the investors,  Prashanth Tapse, Senior VP (Research) at Mehta Equities Ltd, said.  The two-day Fed's monetary policy meeting starting Tuesday will be closely watched by global investors, although markets don't expect any change in the policy outcome, he added.  From the Sensex basket, ICICI Bank climbed nearly 5 per cent after the company on Saturday said its March quarter consolidated net profit grew 18.5 per cent to Rs 11,672 crore, helped by lower provisions.  State Bank of India, IndusInd Bank, UltraTech Cement, Axis Bank, NTPC, Kotak Mahindra Bank, Tata Consultancy Services, Bajaj Finance, HDFC Bank and Sun Pharma were the other major gainers.  HCL Technologies tanked nearly 6 per cent after the company reported a flat year-on-year growth in net profit in the March quarter at Rs 3,986 crore.  ITC, Wipro and Bajaj Finserv were the other laggards.  In the broader market, the BSE midcap gauge jumped 0.79 per cent and smallcap index advanced 0.07 per cent.   The Indian benchmark indexes rebounded, aided by an upbeat in US tech quarter earnings and a drop in US 10-year yield. Domestically, the Bank Nifty outperformed, driven by its strong performance in the fourth quarter. An ease in the Middle East tensions, coupled with stable earnings, is expected to maintain positive market sentiment,  Vinod Nair, Head of Research at Geojit Financial Services, said.  Indian markets opened in the green following positive Asian markets, said Narendra Solanki, Head Fundamental Research - Investment Services, Anand Rathi Shares and Stock Brokers.  Traders are awaiting the US Fed's policy meeting decision this week post hotter-than-expected inflation print. Traders were seen piling up positions in the banking sector's stocks, Solanki added.  Among the indices, bankex jumped 2.70 per cent, financial services (1.81 per cent), utilities (1.12 per cent), power (0.90 per cent) and energy (0.79 per cent).  Realty and services were the laggards.  A total of 2,015 stocks advanced while 1,894 declined and 179 remained unchanged.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/mcap-of-bse-listed-companies-soar-to-all-time-high-of-rs-406-52-lakh-cr/articleshow/109698878.cms
