Company,Date of Publishing,Author,Headline,Description,Article Body,URL
RI,2024-03-01T17:28:00+05:30,PTI,"Viacom-Star merger will substantially reduce bargaining power, says advertising industry","The merger of Walt Disney's Indian media business with Reliance Industries' Viacom18 will create a dominant player in the Indian media industry. The merged entity will have over 70 channels from Star India, 38 TV channels from Viacom18, Jio Cinema, and Hotstar. It will control 75-80% of the Indian sports market in both linear TV and digital platforms.","New Delhi: The merger of the Indian media business of Walt Disney with Reliance Industries' Viacom18 will create a  significant dominant player , which might reduce the bargaining power for media buying agencies, the country's advertising industry has said. The Rs 70,000-crore behemoth, created post-merger may enable it to exert greater control over pricing and inventory of media rights and also influence over content, advertising industry leaders said.  According to the experts, the merged entity will almost have a monopoly in sports properties as it will collectively control 75-80 per cent of the Indian sports market, in both linear TV and digital platforms and may uptick the rates.  The joint venture, which is expected to receive approvals by the first quarter of 2025, will have over 70 channels from Star India and 38 TV channels from Viacom18 in eight languages, along with two large OTT platforms -- Jio Cinema and Hotstar -- and two film studios owned by each of them.   The Star-Viacom merger will substantially reduce the bargaining power of the media buying agencies,  Rediffusion Chairman Sandeep Goyal told PTI.  Last year, media buyers and clients reduced rates during the Indian Premier League (IPL), playing the broadcaster versus the digital rights holder, he said.   That will not happen now. This year, I think there will be an uptick in IPL rates,  Goyal added.  Expressing similar views, Dentsu South Asia CEO Harsha Razdan said this combination  heightens competition and enhances the negotiating power of the newly merged entity, enabling it to exert greater control over pricing and inventory .   Once it has cleared all industry-specific regulation protocols, the combination should create a significantly dominant player in the market, wielding substantial influence over content creation, distribution, and consumption trends,  he said.  According to a joint report from industry body Ficci and EY, the Indian advertising industry crossed the Rs 1 lakh crore-mark in 2022.  The report estimates the ad industry to grow at 11 per cent till 2025 and expects it to cross Rs 1.42 lakh crore by 2025, in which traditional media, such as TV, will have a 46 per cent contribution and the remaining 54 per cent will be from new age digital media.  Razdan further said the newly merged entity presents a dual prospect of opportunities and challenges for the advertising and marketing sector.  On the positive side, it provides extensive reach to the industry with its diverse portfolio of channels and platforms, but it also enhances the negotiating power of the newly merged entity.   I hope that in the coming years, the merger achieves a balanced outcome. It is crucial to maintain two or three major players in the market to foster a healthy and competitive environment, which ultimately should serve the end consumer,  he said.  Elara Capital Senior Vice-President, Karan Taurani said the monopoly in sports properties may lead to higher ad revenues of the merged entity.  Disney and Jio collectively control 75-80 per cent of the Indian sports market across both linear TV and digital platforms, he added.   This dominance in sports, primarily cricket, will help command a substantial share of the overall ad market, showcasing strong growth in an industry where sports is a key viewership driver for both linear TV and digital platforms,  said Taurani.  In CY22, sports advertising expenditure in the country stood at Rs 7,100 crore jointly for TV and digital, in which Disney India had a contribution of 80 per cent.  The combined entity will have lucrative sports properties, including the IPL (both TV and digital), ICC cricket tournaments (both TV and digital), Wimbledon, Pro Kabaddi League, and BCCI domestic cricket.",https://economictimes.indiatimes.com/markets/stocks/news//industry/services/advertising/viacom-star-merger-will-substantially-reduce-bargaining-power-says-advertising-industry/articleshow/108140634.cms
RI,2024-03-01T16:05:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 355.96 points  up  at 22338.75,"NEW DELHI: Star Health(Rs. 557.98 crore), Godrej Properties(Rs. 242.83 crore), Indian Hotels(Rs. 220.67 crore), Vodafone Idea(Rs. 162.72 crore), RIL(Rs. 161.85 crore), Policy Bazaar(Rs. 154.43 crore), Tata Steel(Rs. 149.17 crore), L&T(Rs. 138.79 crore), SAIL(Rs. 126.91 crore) and Suven Pharma (Rs. 122.34 crore) were among the most traded securities on the National Stock Exchange in Friday's session.   The NSE Nifty index ended the session 355.96 points up at 22338.75, while BSE Sensex rose 1245.05 points to 73745.35.   In the Nifty index, Tata Steel Ltd.(up 6.47 per cent), JSW Steel Ltd.(up 4.52 per cent), Larsen & Toubro Ltd.(up 4.49 per cent), Titan Company Ltd.(up 3.91 per cent) and IndusInd Bank Ltd.(up 3.51 per cent) stood among the top gainers.   On the other hand, Dr. Reddy's Laboratories Ltd.(down 3.60 per cent), Sun Pharmaceutical Industries Ltd.(down 1.19 per cent), HCL Technologies Ltd.(down 1.19 per cent), Infosys Ltd.(down 1.15 per cent) and Britannia Industries Ltd.(down 0.76 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/108137786.cms
RI,2024-03-01T05:40:00+05:30,Rajesh Mascarenhas,RIL-Disney JV may impact media shares unfavourably: Analysts,"On Thursday, shares of media and entertainment companies were mixed. Zee shares experienced a 1% decline, closing at ₹161, whereas Sun TV Network saw a 2% gain, closing at ₹619. Shares of Bharti Airtel and Vodafone each fell by half a per cent.","Mumbai: The Reliance-Disney joint venture could unfavourably affect listed firms such as Zee Entertainment, Sun TV Network, Bharti Airtel, Vodafone, and other content providers, analysts said. This collaboration involving India's biggest company is projected to strengthen Reliance-Disney's bargaining power with advertisers and content providers while substantially enhancing Jio's access to content.On Thursday, shares of media and entertainment companies were mixed. Zee shares experienced a 1% decline, closing at ₹161, whereas Sun TV Network saw a 2% gain, closing at ₹619. Shares of Bharti Airtel and Vodafone each fell by half a per cent.108120866Other entertainment stocks - Balaji Telefilms, Eros International, Pritish Nandi Communications, and BAG Films - fell between 3% and 5%. The joint venture is expected to have a negative impact on Zee and Sony, as well as telecom players, because Jio will likely gain significantly superior access to content,  said Abneesh Roy, executive director - of research at Nuvama Institutional Equities.  Additionally, the merged entity's increased bargaining power for advertising may pose challenges for competitors. The combined entity will form the largest media company in India and is expected to command a 40-50% share in the television advertisement market. The company will also have a significant share in digital advertisement, surpassed only by Google and Meta in India.The media undertaking of Viacom18 will be merged into Star India if approved by the regulatory authorities. The merged entity will have more than 120 television channels and two over-the-top platforms, JioCinema and Hotstar. Additionally, it will be granted exclusive rights to distribute Disney films and productions in India and will have access to existing content libraries from both entities.“With Reliance well-known for disrupting the industry it enters, we will not be surprised to see this power deal have a material impact on the ad revenue and a faster deterioration in market share of other peers such as Zee, Sun TV, Airtel, and Vodafone,” said Manish Chowdhury, head of research, StoxBox. “The Reliance-Disney joint venture will sport the most lucrative cricketing rights in India and have a 40% share of the advertising market, opening avenues for better ad inventory monetisation and content cost reduction with lower competition.”The merged entity will have a revenue of 25,000 crore compared to 8,500 of Zee, or 7,000 crore of Sony or 4,000 crore of for Sun TV Network.Also, the JV will be particularly strong in sports content distribution due to existing broadcasting rights and the presence of sports channels like Star Sports and Sports 18.“This presence in multiple categories will help the entity understand and capitalize on shifts in consumer preferences and access new content at more competitive prices compared to other players in the industry, thus creating challenges for existing players like Zee, Dish, and Sun TV,” said Yashovardhan Khemka, Analyst, Abans Holding.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/ril-disney-jv-may-impact-media-shares-unfavourably-analysts/articleshow/108120838.cms
RI,2024-03-01T05:30:00+05:30,Javed Farooqui,"If content is king, Reliance Industries-Walt Disney Company to be kingdom","The Rs 70,352 crore ($8.5 billion) merged entity, in which RIL will infuse Rs 11,500 crore, will have a viewership share of more than 40%, enabling it to secure premium advertising rates and consumer average revenue per user (ARPU), they said. The failure of Zee Entertainment Enterprises and Sony Pictures Networks India to merge is expected to benefit Star-Viacom18, which would have had to contend with a duopoly if the Sony-Zee merger had also gone through.","Mumbai: The deal to merge Reliance Industries Ltd (RIL) subsidiary Viacom18 and The Walt Disney Company’s local unit Star India will significantly alter the media and entertainment sector by creating the biggest media entity in the country, said industry executives and experts.The Rs 70,352 crore ($8.5 billion) merged entity, in which RIL will infuse Rs 11,500 crore, will have a viewership share of more than 40%, enabling it to secure premium advertising rates and consumer average revenue per user (ARPU), they said.The failure of Zee Entertainment Enterprises and Sony Pictures Networks India to merge is expected to benefit Star-Viacom18, which would have had to contend with a duopoly if the Sony-Zee merger had also gone through.'Big Daddy of Media'The repercussions of the deal might also be felt in the telecom sector, where Reliance Jio’s rival Bharti Airtel would face pressure to step up its content offerings, said experts.According to industry estimates, telecom operators spend Rs 2,000-3,000 crore on procuring content.    108117763Nuvama Institutional Equities executive director Abneesh Roy said the merger deal is negative for other broadcasters and telecom players, as Reliance Jio will gain superior access to content.“The merger is potentially also slightly negative for advertisers as the bargaining power of the merged entity will be higher. In media, the leader takes it all. The JV (joint venture) will become the big daddy of media and will be 3-6x of other key peers,” he said.Star-Viacom18 will have exclusive rights to all the key cricket properties, including the Indian Premier League, International Cricket Council and Board of Control for Cricket in India, in addition to about 200,000 hours of content comprising movies and TV shows.    108117765The consolidation of TV and digital rights of key cricket properties under a single umbrella is expected to enhance monetisation over time.Roy also said that Star-Viacom18 can gradually achieve profitability in sports by increasing subscriber ARPU and ad rates. The two companies have pledged roughly Rs 82,000 crore ($10 billion) in sports rights for the 2023-27 period.The combined entity will house premium English content -- from Disney, NBC Universal, Paramount Global and HBO -- which will allow it to effectively compete against Netflix and Prime Video in the premium over-the-top (OTT) segment.RIL and Viacom18 will own 63% stake in the JV while Disney will hold the remaining 37%. The fund infusion by RIL will help it invest in sports and digital content. Last year, Viacom18 received a fund injection of $1.8 billion from RIL and Bodhi Tree Systems.The JV will have Nita Ambani as chairperson and Star’s former CEO Uday Shankar as vice chairperson.The two companies together own 117 TV channels and two streaming platforms, Disney+ Hotstar and JioCinema.Star and Viacom18’s consolidated revenue in 2022-23 was about Rs 25,000 crore, higher than the combined revenue of Zee Entertainment Enterprises, Sony Pictures Networks India and Sun TV Network, which was around Rs 18,000 crore.Experts said the deal will also help RIL, which will control the JV, to overcome the growing threat of Google and Meta, which together gobbled up Rs 46,000 crore in digital ad spends in 2022-23.Uday Sodhi, senior partner at Kurate Digital Consulting, said the merger will bring scale and disproportionate share of TV ad spends but will not have any meaningful impact on the ad revenue of tech giants as Google’s ad spends are primarily driven by search and Facebook through their social media platforms.“The merged OTT platforms will probably bring some efficiency to advertising sales, but they’re unlikely to impact Facebook and Google. In the fast-growing digital advertising market, everyone will see the benefits of market expansion,” he said.Vivek Couto, executive director, Media Partners Asia, said: “The JV is set to create a formidable entity, ultimately benefiting from scale and significant synergies in TV and streaming video while attempting to redefine the total industry revenue pie.”NV Capital managing partner Nitin Menon said Star-Viacom18 has the potential to become a global entertainment industry bellwether. “This merger has the potential to create an impact at the global level too. We can’t ignore the fact that Reliance could have global ambitions in creating a TMT (technology, media and telecom) juggernaut -- that has a global presence and aspiration,” he said.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/if-content-is-king-reliance-industries-walt-disney-company-to-be-kingdom/articleshow/108121140.cms
RI,2024-03-01T05:30:00+05:30,Javed Farooqui,"If content is king, Reliance Industries-Walt Disney Company to be kingdom","The Rs 70,352 crore ($8.5 billion) merged entity, in which RIL will infuse Rs 11,500 crore, will have a viewership share of more than 40%, enabling it to secure premium advertising rates and consumer average revenue per user (ARPU), they said. The failure of Zee Entertainment Enterprises and Sony Pictures Networks India to merge is expected to benefit Star-Viacom18, which would have had to contend with a duopoly if the Sony-Zee merger had also gone through.","Mumbai: The deal to merge Reliance Industries Ltd (RIL) subsidiary Viacom18 and The Walt Disney Company’s local unit Star India will significantly alter the media and entertainment sector by creating the biggest media entity in the country, said industry executives and experts.The Rs 70,352 crore ($8.5 billion) merged entity, in which RIL will infuse Rs 11,500 crore, will have a viewership share of more than 40%, enabling it to secure premium advertising rates and consumer average revenue per user (ARPU), they said.The failure of Zee Entertainment Enterprises and Sony Pictures Networks India to merge is expected to benefit Star-Viacom18, which would have had to contend with a duopoly if the Sony-Zee merger had also gone through.'Big Daddy of Media'The repercussions of the deal might also be felt in the telecom sector, where Reliance Jio’s rival Bharti Airtel would face pressure to step up its content offerings, said experts.According to industry estimates, telecom operators spend Rs 2,000-3,000 crore on procuring content.    108117763Nuvama Institutional Equities executive director Abneesh Roy said the merger deal is negative for other broadcasters and telecom players, as Reliance Jio will gain superior access to content.“The merger is potentially also slightly negative for advertisers as the bargaining power of the merged entity will be higher. In media, the leader takes it all. The JV (joint venture) will become the big daddy of media and will be 3-6x of other key peers,” he said.Star-Viacom18 will have exclusive rights to all the key cricket properties, including the Indian Premier League, International Cricket Council and Board of Control for Cricket in India, in addition to about 200,000 hours of content comprising movies and TV shows.    108117765The consolidation of TV and digital rights of key cricket properties under a single umbrella is expected to enhance monetisation over time.Roy also said that Star-Viacom18 can gradually achieve profitability in sports by increasing subscriber ARPU and ad rates. The two companies have pledged roughly Rs 82,000 crore ($10 billion) in sports rights for the 2023-27 period.The combined entity will house premium English content -- from Disney, NBC Universal, Paramount Global and HBO -- which will allow it to effectively compete against Netflix and Prime Video in the premium over-the-top (OTT) segment.RIL and Viacom18 will own 63% stake in the JV while Disney will hold the remaining 37%. The fund infusion by RIL will help it invest in sports and digital content. Last year, Viacom18 received a fund injection of $1.8 billion from RIL and Bodhi Tree Systems.The JV will have Nita Ambani as chairperson and Star’s former CEO Uday Shankar as vice chairperson.The two companies together own 117 TV channels and two streaming platforms, Disney+ Hotstar and JioCinema.Star and Viacom18’s consolidated revenue in 2022-23 was about Rs 25,000 crore, higher than the combined revenue of Zee Entertainment Enterprises, Sony Pictures Networks India and Sun TV Network, which was around Rs 18,000 crore.Experts said the deal will also help RIL, which will control the JV, to overcome the growing threat of Google and Meta, which together gobbled up Rs 46,000 crore in digital ad spends in 2022-23.Uday Sodhi, senior partner at Kurate Digital Consulting, said the merger will bring scale and disproportionate share of TV ad spends but will not have any meaningful impact on the ad revenue of tech giants as Google’s ad spends are primarily driven by search and Facebook through their social media platforms.“The merged OTT platforms will probably bring some efficiency to advertising sales, but they’re unlikely to impact Facebook and Google. In the fast-growing digital advertising market, everyone will see the benefits of market expansion,” he said.Vivek Couto, executive director, Media Partners Asia, said: “The JV is set to create a formidable entity, ultimately benefiting from scale and significant synergies in TV and streaming video while attempting to redefine the total industry revenue pie.”NV Capital managing partner Nitin Menon said Star-Viacom18 has the potential to become a global entertainment industry bellwether. “This merger has the potential to create an impact at the global level too. We can’t ignore the fact that Reliance could have global ambitions in creating a TMT (technology, media and telecom) juggernaut -- that has a global presence and aspiration,” he said.",https://economictimes.indiatimes.com/markets/stocks/news//industry/media/entertainment/media/if-content-is-king-reliance-industries-walt-disney-company-to-be-kingdom/articleshow/108117705.cms
RI,2024-03-01T00:45:00+05:30,Javed Farooqui,Disney may post impairment charges of $1.8-2.4 bn,"Walt Disney is forecast to record non-cash pre-tax impairment charges of $1.8 billion to $2.4 billion for the quarter ending March 31, primarily due to Star India's net asset and goodwill write-down at the entertainment linear network's reporting unit. The charges are mainly due to the merger deal with Reliance Industries Ltd (RIL) to create a $8.5 billion media entity through the combination of Star India and Viacom18. ","Walt Disney is expected to record non-cash pre-tax impairment charges of $1.8 billion to $2.4 billion for the quarter ending March 31, mainly due to Star India's net asset and goodwill write-down at the entertainment linear network's reporting unit due to the removal of the company.The impairment charges pertain to the merger deal signed by Walt Disney with Reliance Industries Ltd (RIL) to create $8.5-billion media entity through the combination of Star India and Viacom18. In connection with the transaction, the company determined that Star India should be classified as held-for-sale. In the current quarter, the company expects to record non-cash pre-tax impairment charges estimated to be between $1.8 billion to $2.4 billion, approximately half of which reflect a write-down of the net assets of Star India in order to adjust them to fair value (less estimated transaction costs) pursuant to held-for-sale accounting and approximately half of which reflect a write-down of goodwill at the entertainment linear networks reporting unit, reflecting the impact of removing Star India,  Walt Disney said in a filing to the US Securities and Exchange Commission.108103127 108117629Under its held-for-sale accounting, Walt Disney will continue to adjust the net book value of Star India to its fair value (less estimated transaction costs) until the closing date of the transaction. Thus, the company may recognise incremental gains or losses each reporting period as a result of changes in the net book value and/or estimated fair value of Star India (e.g., due to operating results or foreign exchange rate changes, etc.) until the transaction has closed,  the company added.As per the definitive binding agreements signed between the two companies, RIL and Bodhi Tree-owned Viacom18 will merge into Star India. RIL and Viacom18 will own a 63% stake in the proposed merged entity, while Disney will hold 37%. RIL will invest $1.4 billion in the merged entity to support its future growth plans.",https://economictimes.indiatimes.com/markets/stocks/news//industry/media/entertainment/media/disney-may-post-impairment-charges-of-1-8-2-4-bn/articleshow/108117622.cms
RI,2024-02-29T16:56:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 31.65 points  up  at 21982.8,"NEW DELHI: PNB(Rs. 4338.45 crore), HDFC Bank(Rs. 3739.26 crore), NMDC(Rs. 3700.50 crore), RIL(Rs. 3458.25 crore), BHEL(Rs. 3425.66 crore), Union Bank India(Rs. 3309.77 crore), Zomato(Rs. 2887.81 crore), GMR Infra(Rs. 2867.81 crore), Jio Financial Servic(Rs. 2552.65 crore) and ICICI Bank(Rs. 2202.27 crore) were among the most traded securities on the National Stock Exchange in Thursday's session.   The NSE Nifty index ended the session 31.65 points up at 21982.8, while BSE Sensex rose 195.42 points to 72500.3.   In the Nifty index, Adani Enterprises Ltd.(up 2.07 per cent), Tata Consumer Products Ltd.(up 1.90 per cent), IndusInd Bank Ltd.(up 1.78 per cent), Mahindra & Mahindra Ltd.(up 1.62 per cent) and Adani Ports & Special Economic Zone Ltd.(up 1.62 per cent) stood among the top gainers.   On the other hand, Apollo Hospitals Enterprise Ltd.(down 4.10 per cent), Bajaj Auto Ltd.(down 3.42 per cent), LTIMindtree Ltd.(down 2.02 per cent), Eicher Motors Ltd.(down 1.85 per cent) and UPL Ltd.(down 1.31 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/108107611.cms
RI,2024-02-29T16:01:00+05:30,Navdeep Singh,"D-Street ends volatile session in green on F&O expiry, ahead of key economic data","The 30-share BSE benchmark Sensex rose 195 points or 0.27% to settle at 72,500. The broader NSE Nifty gained 32 points or 0.14% to end at 21,982. IndusInd Bank, M&M, Power Grid, Maruti, and SBI were the top Sensex gainers, while TCS, Bharti Airtel, ITC, Tata Motors, and HUL closed with cuts. The market capitalisation of all listed companies on BSE surged by Rs 2.17 lakh crore to Rs 388.14 lakh crore. ","Ahead of key domestic and US economic data due later in the day, Indian equity indices struggled for direction for most of the session on Thursday and closed higher in a highly volatile market, led by index heavyweight Reliance Industries and banking stocks.The 30-share BSE benchmark Sensex rose 195 points or 0.27% to settle at 72,500. The broader NSE Nifty gained 32 points or 0.14% to end at 21,982.IndusInd Bank, M&M, Power Grid, Maruti, and SBI were the top Sensex gainers, while TCS, Bharti Airtel, ITC, Tata Motors, and HUL closed with cuts.Reliance Industries closed about 0.7% higher after the company and Walt Disney announced the merger of their Indian television and streaming media assets, creating a $8.5-billion entertainment juggernaut.The Nifty Midcap100 and Smallcap100 surged 0.9% and 0.5%, respectively. However, in early trade, both the indices declined nearly 0.5% after the country's mutual fund industry body asked members to moderate flows into small and midcap funds and protect investors from large outflows.Shriram Finance shares closed 4% higher after NSE decided to replace UPL with Shriram Finance in its Nifty 50 index, effective on March 28.The market capitalisation of all listed companies on BSE surged by Rs 2.17 lakh crore to Rs 388.14 lakh crore. The market breadth was skewed in the favour of the bulls. About 1,899 stocks gained, 1,890 declined, and 119 remained unchanged on the BSE.Expert Views “On the daily chart, the index has not only reversed from the lower end of the rising channel but also successfully tested its 21DMA support, which suggests a resumption of its primary uptrend. A level of 21,900 will be considered as strong support while on the higher side, the immediate resistance is placed at 22,100 followed by 22,200,  said Aditya Gaggar, director of Progressive Shares.Rupak De, senior technical analyst at LKP Securities, said,  At the lower end, crucial support is positioned at 21,950; as long as the index maintains a position above 21,950, there is a possibility of witnessing a recovery. Nevertheless, a decline below 21,950 could potentially lead the index towards 21,800.”Global MarketsChinese equities and most other regional stock markets climbed on Thursday ahead of crucial US inflation data that could provide fresh clues on when the Federal Reserve will cut interest rates.Hong Kong's Hang Seng added 0.13%, and Taiwan advanced 0.6%. MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.22%.Wall Street futures were largely flat, following declines for all three major indexes overnight. S&P 500 futures pointed down 0.04% and Nasdaq futures fell 0.06%.Oil Prices DeclineOil prices on Thursday fell after a larger-than-expected build in US crude stockpiles stoked worries about slow demand, while signs that US interest rates could remain elevated added to pressure.Brent crude futures fell 14 cents, or 0.2%, to $83.54 a barrel, after rising 3 cents in the previous session. U.S. West Texas Intermediate crude futures were down 4 cents, or 0.1%, to $78.50 a barrel.Currency WatchThe Indian rupee ended little changed on Thursday. The rupee closed at 82.9125 against the US dollar, barely changed from its previous close at 82.9225. The currency logged a monthly gain of 0.2% --- its third consecutive month-on-month rise.The dollar index was last quoted at 103.78, on course for a second consecutive monthly gain.(With inputs from agencies)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/sensex-recovers-from-muted-start-on-feb-fo-expiry-key-economic-data-in-focus/articleshow/108105537.cms
RI,2024-02-29T15:57:00+05:30,Nikhil Agarwal,Mukesh Ambani's Disney dream could add to nightmares for Zee,"Reliance Industries and Viacom18 have partnered with Disney to create a Rs 70,000 crore broadcast network, posing challenges for debt-ridden Zee Entertainment Enterprises. The company faces weakened competitive position, reduced bargaining power, tough competition from digital media, and corporate governance issues. Zee shares have lost 44% of their value this year.","With billionaire Mukesh Ambani's Reliance Industries (RIL) and Viacom18 joining forces with Disney to create a Rs 70,000 crore worth broadcast network, debt-ridden Zee Entertainment Enterprises will now have a tougher time finding an investor that can compete with India's richest tycoon. Zee, which has already been struggling since its merger breakdown with Sony, should be negatively impacted by the creation of a larger entity. Both content producers and advertisers are likely to gravitate towards the RIL-Disney entity, which will also cater to the largest set of audience, further weakening its overall competitive position,  said Pulkit Chawla of Emkay Global.Jio's marketing muscle would also make it more difficult for Zee to grow, he said, adding that the Disney deal leaves Zee with a lesser number of suitors, thus further lowering its bargaining power.Sony is said to have withdrawn the agreement to merge its India operations with Zee, taking the final step in scrapping a two-year-old plan that sought to create a $10 billion media giant, Bloomberg reported earlier in the day.Given the structural risk from digital and OTT platforms, analysts say companies that do not participate in consolidation face a risk of marginalization. Prima facie, this consolidation is negative for Zee, Sony and Sun. Separately, reduced competition in sports would likely weigh on monetization of IPL media rights in the next auction (2028)—negative for IPL franchisees in the long term,  said Jaykumar Doshi of Kotak Equities.Also read | Reliance shares rally but TV18, Network18 fall 5% as investors react to Ambani-Disney dealThe Disney JV will be controlled by RIL and owned 16.34% by RIL, 46.82% by Viacom18, and 36.84% by Disney. Viacom18 is a subsidiary of TV18 Broadcast, which in turn is a subsidiary of Network18 Media & Investments, in which RIL holds a 73.15% stake.The deal, which is expected to be completed by the end of calendar year 2024 or the first quarter of CY 2025, will lead to the creation of the single-largest player in both the broadcasting and digital space. The combined accounts for 40% market share in linear TV and OTT advertising markets combined. It can consolidate the ad inventory across all cricketing events and monetize better with lower competition. It is also looking at better monetization via customized ads on its FTTH + FWA broadband platform wherein it is bundling content and internet access at Rs 100/month premium to what competitors are charging for internet access only,  Jefferies said.Viacom18 has a portfolio of 40 channels and an OTT platform – JioCinema. Viacom18 Studios produces and distributes Hindi and regional films in India. Star India has a reach of over 700 million viewers and an OTT platform – Disney+ Hotstar.The JV will also be granted exclusive rights to distribute Disney films and productions in India, with a license to more than 30,000 Disney content assets.On the other hand, Zee is facing stiff competition from digital media and has reported muted growth/profitability performance in the past two years. Its revenue growth has converged (flat in FY20-23) and an EBITDA margin dipped to 10.7% due to losses in the OTT segment and lower growth in the linear TV segment.Corporate governance is another issue as markets regulator Sebi has found fund diversion worth Rs 2,000 crore in Zee's books. The media firm has called the report  incorrect .Zee shares, which have been the subject of multiple de-ratings and sell calls by brokerages, have lost 44% of their value so far in the calendar year.Also read | End of the road? Sony withdraws agreement to merge India ops with Zee from NCLT(Disclaimer: Recommendations, suggestions, views, and opinions given by the experts are their own. These do not represent the views of The Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/mukesh-ambanis-disney-dream-could-add-to-nightmares-for-zee/articleshow/108105320.cms
RI,2024-02-29T14:57:00+05:30,Bloomberg,India looks elsewhere for oil as US sanctions crimp Russia trade,"India's oil trade with Russia is being impacted by the tightening of US sanctions, prompting refiners to explore alternative supplies. While Russia remains the dominant supplier, Indian refiners are increasingly buying more from Saudi Arabia. Refiners are eager to increase purchases of Russian oil, but require US approval to do so.","Tightening enforcement of US sanctions is denting India’s oil trade with Russia, forcing processors to consider other supplies, according to refinery executives familiar with the matter.Russia is still the dominant supplier to India, but there are signs refiners are buying more from elsewhere. Overall imports from Saudi Arabia are 22% higher this month than January, with the biggest private refiner — Reliance Industries Ltd. — taking its highest volume since May 2020, according to Kpler.India’s refiners are keen to take more Russian oil, but there would need to be US approval for buying to ramp up again, the executives said, asking not to be identified because the information is private. 108102941Russian oil is now only $2-$4 a barrel cheaper than other supplies and double-digit discounts are unlikely to return due to competition for barrels from China, the executives said. The discount blew out to more than $30 after the war.India’s imports of Russian oil surged after the war as refiners took advantage of cheaper barrels that other buyers shunned. At its peak last year, crude from the OPEC+ producer accounted for almost half of the nation’s purchases, but fresh US sanctions has recently stranded some cargoes.Moscow is also seeking payment in yuan due to increased scrutiny by some banks over using dirhams to settle the trade in the past few months, said a refinery executive and a government official.",https://economictimes.indiatimes.com/markets/stocks/news//industry/energy/oil-gas/india-looks-elsewhere-for-oil-as-us-sanctions-crimp-russia-trade/articleshow/108102930.cms
