Company,Date of Publishing,Author,Headline,Description,Article Body,URL
ITC,2024-07-24T16:15:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of traded value,The NSE Nifty index closed 65.55 points  down  at 24413.5,"NEW DELHI: Protean eGov Techno(Rs. 275.44 crore), IFCI(Rs. 177.81 crore), Indian Renewable(Rs. 175.09 crore), IRFC(Rs. 156.95 crore), Sangam Renewables(Rs. 126.90 crore), Rail Vikas Nigam(Rs. 123.21 crore), Hind Const Co(Rs. 122.22 crore), HUDCO(Rs. 114.29 crore), Swan Energy(Rs. 109.68 crore) and Bajaj Finance(Rs. 103.81 crore) were among the most traded securities on the National Stock Exchange in Wednesday's session.   The NSE Nifty index ended the session 65.55 points down at 24413.5, while BSE Sensex fell 280.16 points to 80148.88.   In the Nifty index, HDFC Life Insurance Company Ltd.(up 4.49 per cent), Bharat Petroleum Corporation Ltd.(up 2.93 per cent), Tech Mahindra Ltd.(up 2.68 per cent), NTPC Ltd.(up 2.66 per cent) and Tata Motors Ltd.(up 2.59 per cent) stood among the top gainers.   On the other hand, Bajaj Finserv Ltd.(down 2.45 per cent), Tata Consumer Products Ltd.(down 2.05 per cent), Britannia Industries Ltd.(down 1.94 per cent), Axis Bank Ltd.(down 1.90 per cent) and Bajaj Finance Ltd.(down 1.79 per cent) were among the top losers of the day. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/111988070.cms
ITC,2024-07-24T13:07:00+05:30,ET Online,Cigarettes won't burn a bigger hole in smoker's pocket this year as Budget leaves prices unchanged,"This year's Union Budget was presented on July 23 by Finance Minister Nirmala Sitharaman. No increase was made to the National Calamity Contingent Duty (NCCD) on cigarettes, which has been a key area for potential adjustment in tobacco taxation in the past.","Budget 2024: There is a specific detail many in India want to know immediately after every Union Budget -- whether or not cigarette prices have changed. And they do, more often than not. In Budget 2024 though, cigarettes were left untouched as the govt announced no tax hike on tobacco products.This year's Union Budget was presented on July 23 by Finance Minister Nirmala Sitharaman. No increase was made to the National Calamity Contingent Duty (NCCD) on cigarettes, which has been a key area for potential adjustment in tobacco taxation in the past.While the GST Council holds the primary authority over tobacco product taxation, the central government also has the power to adjust the NCCD during the Union Budget. The NCCD rates were last modified with a 16 percent increase in the previous year, but they remained unchanged in the recent Budget speech.Following the announcement, shares of India’s largest cigarette manufacturer, ITC, surged nearly 5 percent.ITC relies heavily on its cigarette segment for revenue, with the product accounting for more than 80 per cent of the company’s net profit and approximately 45 per cent of its total revenue.According to an Economic Times report, ITC shares have consistently posted positive returns on Budget Day over the past decade, even amid several tweaks in the NCCD tax.",https://economictimes.indiatimes.com/markets/stocks/news//industry/cons-products/tobacco/cigarettes-wont-buy-a-bigger-hole-in-smokers-pocket-this-year-as-budget-leaves-prices-unchanged/articleshow/111981389.cms
ITC,2024-07-24T10:19:00+05:30,ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 10.96 points  down  at 24468.1,"NEW DELHI: ITC(Rs. 1138.33 crore), HDFC Bank(Rs. 977.59 crore), Bajaj Finance(Rs. 950.50 crore), Titan Company (Rs. 748.83 crore), Avanti Feeds(Rs. 573.53 crore), Rail Vikas Nigam(Rs. 551.61 crore), IRFC(Rs. 535.82 crore), Indian Renewable(Rs. 522.14 crore), HAL(Rs. 520.05 crore) and Tata Motors(Rs. 516.85 crore) were among the most traded securities on the National Stock Exchange at 10:19AM in Wednesday's session.   The NSE Nifty index traded 10.96 points down at 24468.1, while BSE Sensex was down 56.36 points at 80372.68 as of 10:19AM(IST)on July 24.   In the Nifty index, HDFC Life Insurance Company Ltd.(up 3.37 per cent), Tata Motors Ltd.(up 2.89 per cent), SBI Life Insurance Company Ltd.(up 2.46 per cent), NTPC Ltd.(up 2.35 per cent) and Oil And Natural Gas Corporation Ltd.(up 2.22 per cent) were among the top gainers.   On the other hand, Bajaj Finance Ltd.(down 2.62 per cent), Tata Consumer Products Ltd.(down 2.62 per cent), Nestle India Ltd.(down 1.89 per cent), Mahindra & Mahindra Ltd.(down 1.65 per cent) and Bajaj Finserv Ltd.(down 1.65 per cent) were among the top losers. ",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/111976802.cms
ITC,2024-07-24T09:53:00+05:30,Nishtha Awasthi,ITC shares rally nearly 10% in 2 sessions to cross Rs 500 mark,"ITC's shares soared nearly 10% in 2 days, surpassing Rs 500 and hitting a record Rs 510.60 on BSE. A 5% jump followed after the government kept tobacco tax rates unchanged. Taxation, handled by the GST Council, includes NCCD on cigarettes, adjustable in Budget.","Shares of diversified conglomerate ITC have surged nearly 10% in the last 2 days, crossing the Rs 500 mark and reaching a new all-time high of Rs 510.60 in today’s session on BSE.The shares of ITC had surged as much as 5% in Tuesday’s session after the government decided to maintain the current tax rates on cigarettes and other tobacco products.While tobacco taxation primarily falls under the purview of the GST Council, the central government also imposes National Calamity Contingent Duty (NCCD) on cigarettes, which can be adjusted in the Budget.For ITC, cigarettes constitute over 80% of the company’s net profit and approximately 45% of its revenue. Consequently, changes in taxes significantly affect the company's financial performance.Post the Budget, global brokerage Jefferies has upgraded the stock from hold to buy and increased the target price to Rs 585 from Rs 435.Stating that “no news is great news”, Jefferies said that the GST taxes are also likely to stay stable until Mar-26 until center settles state dues and the demand outlook for the staple sector is improving, which should benefit key businesses of ITC. The next year’s budget in Feb 2025 will gain prominence but a modest price hike this year will set a base for next year. The taxation regime has been stable recently, supporting volume growth in the legal cigarette industry and contributing to tax collections,  BofA stated. ITC's cigarette business has seen volume recovery in FY23 and FY24, with cigarette volume almost at par with its peak volumes in FY13. Stability in taxes and various government initiatives to curb illegal cigarettes have been supporting the legal cigarette market. ITC has done various product innovations in the last 2-3 years to consolidate its market share,  another domestic brokerage Motilal Oswal said. We increase weight behind ITC by 50 bps as the current cigarette taxation environment will provide upside in the stock after a long consolidation. A revival in FMCG and paperboard profitability from 2H25 and hotel demerger will further unlock value,  said Prabhudas.Further, the revised changes to new tax regimes would result in savings in the hands of consumers, which will in turn be positive for FMCG-related stocks including ITC.The shares of ITC ended at Rs 494.05 on BSE at close of day.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of The Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/itc-shares-rally-nearly-10-in-2-sessions-to-cross-500-mark/articleshow/111976232.cms
ITC,2024-07-24T00:35:00+05:30,ET TEAM,Spending gets rural springboard: More money in consumer’s hand will lead to a rise in demand for consumer ,"The Indian government's budget focuses on infrastructure, rural outlay, and tax savings, which are expected to boost rural demand for packaged consumer goods and two-wheelers. The budget also aims to create jobs, which will drive consumption in tier-2 and 3 cities. However, the increase in capital gains taxes could impede discretionary spending. ","The budget’s focus on infrastructure, rural outlay and tax savings is likely to fuel rural demand–crucial for sustained revival of packaged consumer goods and two-wheelers–while the focus on job creation will spur consumption in tier-2 and 3 cities, company executives said. The increase in capital gains taxes, however, could impede discretionary spending, they said.Rohit Jawa, MD and chief executive officer of the largest consumer goods company, HUL, said the budget is consumption friendly and will help FMCG categories going forward.The budget has increased allocation towards education, skilling and employment, revised tax rates and raised the standard deduction to Rs 75,000 from Rs 50,000 under the new tax regime, which would result in savings of around Rs 17,500 in net taxes in the hands of consumers“This would mean more disposable income that will lead to sustained demand for branded consumer goods,” Dabur CEO Mohit Malhotra said.According to Jawa, the announcements increasing investment on rural development, investment activities supporting one crore urban poor and schemes for youth employment are good for businesses like ours that serves consumers in nine out of ten households from all parts of the portfolio, mass to the premium.He said all of this will have a multiplier effect, driving consumers to spend more on consumption. “Broadly speaking, the priorities of the budget are bang on when it comes to what is required for nation building. So, I love the consistency of the budget and also the focus on mass consumption,” Jawa said.FMCG stocks surged, helping the Nifty FMCG index rise 2.68% to 62,511.25, buoyed by allocation of funds for rural development. Top gainers included ITC, that closed 6.52% up at Rs 496.95 on the NSE, Tata Consumer Products (up 4.42% to Rs 1,258), Godrej Consumer Products (up 3.05% to Rs 1,515) and Dabur India (up 2.57% to Rs 653).Makers of packaged goods noted green shoots of revival in rural India in the April-June quarter. Rural demand had tapered off over the past five quarters on account of inflationary costs of food, daily essentials and fuel.“There will be a positive impact on rural demand, but we expect it will be a small one since the benefit for consumers will be only in the form of small tax savings. Others like job creation will have mid-tolong term impact,” Godrej Appliances business head Kamal Nandi said.An allocation of Rs 2.66 lakh crore for rural development and Rs 26,000 crore for road connectivity would help last-mile distribution and better reach in rural areas, executives said.",https://economictimes.indiatimes.com/markets/stocks/news//industry/cons-products/fmcg/budget-2024-news-rural-spending-more-money-in-consumers-hand-will-lead-to-a-rise-in-demand-for-consumer-goods/articleshow/111969440.cms
ITC,2024-07-23T20:25:00+05:30,Akash Podishetti,Budget Delights: 30 stocks poised to benefit from FM Sitharaman's announcements,"Despite maintaining steady capital expenditure and fiscal deficit targets, analysts predict that significant tax policy changes, particularly the increased LTCG, STCG, and STT rates, will affect market sentiment. However, the introduction of new income tax benefits under the new tax regime offers some relief to taxpayers, potentially mitigating the negative impact on market sentiment.","The Modi 3.O government's first Budget post the re-election presents a mix of expected and surprising measures. While capital expenditure and the fiscal deficit target remain steady, analysts said significant changes to tax policies, particularly the increases in LTCG, STCG, and STT, are likely to impact the market sentiment.On the taxation front, the introduction of new income tax benefits under the new tax regime provides some relief to taxpayers. Overall, the Budget emphasizes fiscal discipline and targeted support for specific sectors, but its reception by different market segments will vary, with potential underperformance in midcap and smallcap stocks due to valuation concerns. Moving forward, the market's attention will likely shift to earnings reports and global cues,  said Santosh Meena, Head of Research, Swastika Investmart.That said, here are 30 stocks from different sectors that will benefit from the Budget.1) Solar:Tata Power, Adani Green Energy, and Waaree EnergiesFinance Minister Nirmala Sitharaman announced free electricity of upto 300 units per month to 1 crore households under the Surya Ghar Muft Bijli Yojana. This initiative will lower energy costs, improve living standards, and support economic stability.Additionally, it will benefit companies involved in rooftop solar solutions, such as Tata Power, Adani Green and Waaree Energies, according to Divyam Mour, Research Analyst at Samco Securities2) Banking SBI, Bank of Baroda, Bank of India, Union Bank of India, AU Small Finance BankSitharaman has announced the extension of Mudra loans limit to Rs 20 lakh from Rs 10 lakh. The Mudra loans are disbursed through PSU banks, small finance banks, and NBFCs. Hence, the announcement of a limit extension will benefit companies like SBI, Bank of Baroda, Bank of India, Union Bank of India, AU Small Finance Bank,  said Raj Gaikar, Research Analyst, SAMCO Securities.3) Agriculture - CDSL, CE Info Systems, Genesys, Kaveri Seeds, Dhanuka AgritechThe Finance Minister announced several measures for the agriculture industry, including digitizing public infrastructure for their lands within 3 years for 6 crore farmers in partnership with states.  This will benefit companies like CDSL, CE Info Systems, Genesys,  said T Manish, Research Analyst, SAMCO Securities.Further, the government has announced Rs 1.52 lakh crore provisioning to agriculture and allied sectors, which will aid companies like Kaveri Seeds, Dhanuka Agritech.4) Consumption Stocks - HUL, ITC, Dabur, Nestle, Polyplex, UflexThe Finance Minister announced a revised tax rate under the new tax regime and also hiked the standard deduction from Rs 50,000 to Rs 75,000 for individuals. This would result in savings of around Rs 17,500 in net taxes in the hands of individuals. This would benefit directly to the companies in the FMCG segment such as HUL, ITC, Dabur, Nestle and second order beneficiaries would be suppliers to these FMCG giants such as Polyplex, Uflex.5) Housing -- LIC Housing, PNB Housing, HUDCO, Aadhar Housing FinanceThe allocation of Rs 10 lakh crore for housing the urban poor is poised to significantly enhance the profitability of small ticket-size housing finance companies. Companies such as LIC Housing, PNB Housing, HUDCO, and Aadhar Housing Finance are expected to see an upward trajectory in revenue and PAT in the coming quarters, this potentially drives a surge in their share prices in the longer run,  said Raj Gaikar, Research Analyst, SAMCO Securities6) Automobiles: Hero Motocorp and Maruti SuzukiThe government has proposed Rs 2.66 lakh crore for rural development. Furthermore, skill development initiatives are expected to lead to more rural employment. This would increase income levels in rural areas and could result in higher discretionary spending. Consequently, two-wheelers and entry-level passenger vehicles could see increased demand from rural India, benefiting companies like Hero Motocorp and Maruti Suzuki.7) Capital Goods - Dixon TechnologiesThe Finance Minister announced a cut in the basic customs duty (BCD) on mobile phones, mobile printed circuit design assembly (PCDA), and mobile chargers to 15%, recognizing the growth of the Indian mobile industry. This change will reduce costs and support Indian manufacturers. Dixon Technologies will benefit the most from this move, allowing the company to strengthen its market position and grow further,  said Siddhesh Mehta, Research Analyst, Samco Securities.8) Housing Finance companies - CanFin Homes, Indiabulls Housing Finance, Aadhar housing Finance, HudcoHousing finance companies, particularly those focused on low ticket housing, would likely be a beneficiary of the PM Awas Yojana. Under the PM Awas Yojana Urban 2.0, housing needs of 1 crore urban poor and middle-class families will be addressed with an investment of Rs 10 lakh crore.",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/budget-delights-30-stocks-poised-to-benefit-from-fm-sitharamans-announcements/articleshow/111966637.cms
ITC,2024-07-23T19:11:00+05:30,Ratna Bhushan,"Budget to spur FMCG demand with focus on jobs, infra & agriculture","Nirmala Sitharamans Budget, focusing on job creation, infrastructure, education, and rural development, is set to stimulate rural consumption. Increased allocations and fiscal consolidation boosted the Nifty FMCG index. Parle Products predicts higher spending; Dabur India and Angshu Mallick see demand growth. Standard deductions raised to Rs 75,000. Grant Thornton Bharat mentions Rs 1.52 lakh crore for the agricultural sector.","Demand for packaged consumer goods, which depend heavily on the rural economy, is expected to pick up in the hinterland after Finance Minister Nirmala Sitharaman’s Budget announcements on Tuesday. Executives said rural sops, increased focus on infrastructure and job creation will lead to higher demand in the hinterland, which contributes well over a third to overall sales of fast moving consumer goods.FMCG stocks surged in the day with the government’s focus on rural markets, jobs generation, agriculture and the middle class. ITC surged 5% on intraday basis, while Tata Consumer Products and Dabur India went up over 3% each, with the Nifty FMCG index moving up sharply in the day, fuelled by the government's allocation of funds for rural development.Dabur India chief executive officer Mohit Malhotra said the standout feature of the Union Budget was its focus on speeding up fiscal consolidation with the fiscal deficit being revised down 20 bps from the Interim Budget to 4.9%. “The Budget's push on urban and rural growth will help boost rural consumption and also increase discretionary spending,” he said.Increased allocation towards education, skilling and employment, and increase in standard deductions from Rs 50,000 to Rs 75,000 and revision of tax rates under the New Tax regime will lead to savings of around Rs 17,500 in net taxes for consumers. The allocation of Rs 10 lakh crore under the PM Awas Yojana to address housing needs for 1 crore urban poor and middle-class families is expected to enhance consumer spending and financial stability and stimulate the FMCG market which has been struggling with inflation,” said Naveen Malpani, partner at consulting and advisory firm Grant Thornton Bharat.Angshu Mallick, managing director of edible oils and consumer staples maker Adani Wilmar said the Rs 1.52 lakh crore allocation for the agri sector will enhance productivity, resilience, and sustainability, leading to overall demand uptick.Consumer goods companies have been stepping up last-mile distribution, stepping up focus on low-unit packs and investing in consumer activation in rural India, amid green shoots of revival in rural India starting January-March, after five quarters of subdued growth.Mayank Shah, vice-president at biscuits maker Parle Products said putting more money in the hands of consumers through job creation and increased infrastructure spending would spur demand. “The government's strategy appears to push taxpayers to move towards the new tax regime by revising tax slabs, which means higher slabs of taxes are applicable at higher income levels if no deductions are taken. With this adjustment, we expect consumers to spend more because they would have higher disposable incomes,” he added.",https://economictimes.indiatimes.com/markets/stocks/news//industry/cons-products/fmcg/budget-to-spur-fmcg-demand-with-focus-on-jobs-infra-agriculture/articleshow/111965256.cms
ITC,2024-07-23T17:50:00+05:30,Nikhil Agarwal,Disappointed with Budget? Hunt for stocks in these 10 sectors,"Aimed at the trinity of fiscal prudence, investment, and growth momentum, the Union Budget saw the introduction of employment incentives and a simplified income tax regime, which should boost consumption.","Aimed at the trinity of fiscal prudence, investment, and growth momentum, the Union Budget saw the introduction of employment incentives and a simplified income tax regime, which should boost consumption.Investors were, however, caught off guard due to the increase in LTCG and STCG tax rates, leading to a knee-jerk reaction on D-Street. While the budget maintained infrastructure spending at the same level as the interim budget, disappointing expectations of a higher allocation from the RBI dividend, infrastructure stocks are likely to exhibit a gradual positive bias. On the positive side, increased focus on agriculture research and horticulture bodes well for companies like Avanti Feeds. The consumption sector is also expected to benefit from certain sops announced in the budget, with housing finance and cement stocks likely to be key beneficiaries,  said Sonam Srivastava, Manager and Founder, Wright Research.Here are 10 sectors which tend to benefit from Budget announcements:1) Jewellery stocksTo enhance domestic value addition in gold and precious metal jewellery in the country, Finance Minister Nirmala Sitharaman has reduced customs duties on gold and silver to 6% and that on platinum to 6.4%. This may lead to a decline in domestic prices and lift demand. The existing duty on gold and silver is 15 percent which comprises 10% of basic custom duty and 5 percent as Agricultural Infrastructure Development cess.“This policy change is expected to significantly benefit companies like Titan and Kalyan Jewellers, enabling them to optimize their supply chains. This will increase their profit margins, and pass on cost savings to consumers,” said Siddhesh Mehta, Research Analyst, Samco Securities.2) Solar stocksBudget has expanded the list of exempted capital goods for use in the manufacture of solar cells and panels in India. PM Surya Ghar Muft Bijli Yojana has generated remarkable response with more than 1.28 crore registrations and 14 lakh applications.“The Surya Ghar Muft Bijli Yojana offers free electricity up to 300 units per month to 1 crore households. This initiative will lower energy costs, improve living standards, and support economic stability. It enhances energy access and promotes sustainable development, benefiting low-income families and local economies. Additionally, it will benefit companies involved in rooftop solar solutions, such as Tata Power, Adani Green Energy, and Waaree Energies Limited,” Divyam Mour, Research Analyst, Samco Securities, said.3) Bank stocksThe limit of Mudra loans will be enhanced to Rs 20 lakh from the current Rs 10 lakh for those entrepreneurs who have availed and successfully repaid previous loans under the ‘Tarun’ category.“Mudra loans are disbursed through PSU banks, small finance banks, and NBFC. Hence, the announcement of a limit extension will benefit companies like SBI, Bank of Baroda, Bank of India, Union Bank of India, AU Small finance banks,” Raj Gaikar, Research Analyst, SAMCO Securities, said.4) ManufacturingManufacturing sector has been fixed as one of the 9 priorities for Sitharaman in the Budget. It aims to incentivize additional employment in the manufacturing sector, linked to the employment of first-time employees.“This initiative will reimburse employers up to Rs 3,000 per month for two years towards EPFO contributions for each additional employee, aiming to incentivize the additional employment of 50 lakh people,” said Aamar Deo Singh of Angel One.5) Digitisation themeSitharaman has announced that land records in urban areas will be digitized with GIS mapping. She has also announced implementation of Digital Public Infrastructure (DPI) in agriculture for coverage of farmers and their lands in 3 years. During this year, a digital crop survey for Kharif using the DPI will be taken up in 400 districts. The details of 6 crore farmers and their lands will be brought into the farmer and land registries.The news is positive for listed companies like Benefiting companies like CDSL, CE Info Systems, Genesys, etc.6) Consumption stocksFM has announced that the standard deduction for salaried employees in the new tax regime will increase from Rs 50,000 to Rs 75,000, which would result in savings of around Rs 17,500 in net taxes in the hands of individuals. “This would benefit directly to the companies in the FMCG segment such as HUL, ITC, Dabur, Nestle and second order beneficiaries would be suppliers to these FMCG giants such as Polyplex, Uflex. Further, increased saving would also boost the inflow to wealth management (AMC’s) in the form of SIPs, and to stock broking companies through brokerage,” T Manish, Research Analyst, SAMCO Securities, said.7) HousingThe allocation of Rs 10 lakh crore for housing the urban poor is poised to significantly enhance the profitability of small ticket-size housing finance companies. Companies such as LIC Housing, PNB Housing, HUDCO, and Aadhar Housing Finance are expected to see an upward trajectory in revenue and PAT in the coming quarters, this potentially drives a surge in their share prices in the longer run, said Raj Gaikar, Research Analyst, SAMCO Securities.8) AutoBudget has made a provision of Rs 2.66 lakh crore for rural development including rural infrastructure. “Skill development initiatives are expected to lead to more rural employment. This would increase income levels in rural areas and could result in higher discretionary spending. Consequently, two-wheelers and entry-level passenger vehicles could see increased demand from rural India, benefiting companies like Hero Motocorp and Maruti Suzuki. Additionally, since many vehicle purchases are financed to some extent, any interest rate cuts going forward could improve the demand for automobiles,” says Amar Nandu, Research Analyst, Samco Securities.9) Capital goodsBudget also saw a cut in basic customs duty on mobile phones, mobile Printed Circuit Design Assembly (PCDA), and mobile chargers to 15%, recognizing the growth of the Indian mobile industry. This change will reduce costs and support Indian manufacturers which will benefit players like Dixon Technologies.10) Housing financeUnder the PM Awas Yojana Urban 2.0, housing needs of 1 crore urban poor and middle-class families will be addressed with an investment of Rs 10 lakh crore. “Housing finance companies, particularly those focused on low ticket housing, would also be beneficiary of the PM Awas Yojana. Having said that, the disbursements under such schemes in the past have made up a very small proportion of the loan books of these companies. On balance, we believe that these announcements are marginally positive for the sectors,” said Tejas Gutka, Fund Manager, Tata Asset Management.(Disclaimer: Recommendations, suggestions, views, and opinions given by experts are their own. These do not represent the views of the Economic Times)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/disappointed-with-budget-hunt-for-stocks-in-these-10-sectors/articleshow/111963185.cms
ITC,2024-07-23T17:19:00+05:30,Writankar Mukherjee,Budget 2024: Stable taxation to improve cigarette volumes,BREAKING: Union Budget for 2024-25 keeps cigarette prices stable! Smokers rejoice as taxes remain unchanged. Analysts predict positive impact on tobacco industry. ITC reports decline in legal cigarette consumption in India. Will this lead to a shift in tobacco consumption habits?,"Smokers can cheer with the union Budget for 2024-25 not changing the taxes on cigarettes whereby prices will remain the same. The 2023-24 Budget had increased taxes on cigarettes marginally.Nuvama Institutional Equities executive director Abneesh Roy said any hike was unlikely given legal cigarette volumes are weak. Moreover, two consecutive back to back years of increase in cigarette taxes is rare in the past few years of the Modi government,” said Roy.Last year, the Budget increased national calamity contingent duty (NCCD) by 15-16%. NCCD is levied as a duty on the excise duty. Analysts said stable taxation is positive for the tobacco industry for next seven months when the 2025-26 budget will be announced.Cigarette stocks went up on Tuesday when the benchmark Sensex fell by 0.09%. Market leader ITC Ltd closed at a gain of 5.52% and VST Industries at 1.27% on the Bombay Stock Exchange. As per ITC’s latest annual report, taxes on cigarettes had increased sharply at a CAGR of 15.7% between FY13 to FY17. However, tax revenue from cigarettes grew a mere 4.7% CAGR. Thereafter, relative stability in taxation was observed until January 2020, revenue collections grew by 10.2%. ITC said in the report the share of legal cigarettes in total tobacco consumption in India has declined from 21% in 1981-82 to 9% last fiscal. Despite accounting for less than one-tenth of the tobacco consumed in the country, duty-paid cigarettes contribute more than four-fifths of the revenue generated from the tobacco sector.The company said “discriminatory and punitive taxation on cigarettes has led to progressive migration of consumption from duty-paid cigarettes to other lightly taxed/tax-evaded forms of tobacco products, comprising illicit cigarettes, bidi, chewing tobacco, gutkha, zarda and snuff.  ITC said India accounts for less than 2% of global cigarette consumption despite having 18% of the world’s population - making India’s per capita cigarette consumption amongst the lowest in the world.",https://economictimes.indiatimes.com/markets/stocks/news//industry/cons-products/tobacco/budget-2024-stable-taxation-to-improve-cigarette-volumes/articleshow/111962190.cms
ITC,2024-07-23T15:56:00+05:30,Navdeep Singh,"Sensex shrugs off tax hike shocker, ends marginally lower; but market value takes hits by nearly Rs 2 lakh","Leading the Sensex pack, Titan and ITC saw significant gains, rising 6.6% and 5.5%, respectively. Adani Ports, NTPC, Infosys, and HCL Tech also closed higher. However, L&T, Bajaj Finance, SBI, Axis Bank, HDFC Bank, and Asian Paints faced declines. The market capitalisation of all listed companies on BSE declined by Rs 1.89 lakh crore to Rs 446.43 lakh crore.","Led by ITC and Titan, Sensex recovered from the capital gains tax shocker in the Union Budget to end at 73 points lower on Tuesday. The index had fallen up to 1,278 points after Union Finance Minister Nirmala Sitharaman hiked STCG to 20% and LTCG to 12.5%.Meanwhile, the broader NSE Nifty 50 dropped 30 points or 0.12% to end at 24,479.From the Sensex pack, Titan and ITC were the top gainers, rising 6.6% and 5.5%, respectively. Adani Ports, NTPC, Infosys, and HCL Tech also ended with gains, while L&T, Bajaj Finance, SBI, Axis Bank, HDFC Bank, and Asian Paints closed with cuts.Consumer stocks were the top gainers in Tuesday's trade after the government said it would allocate Rs 1.52 lakh crore for the agriculture and allied sectors.Meanwhile, agriculture stocks like Kaveri Seeds, Mangalam Seed and Dhanuka Agritech closed upto 15% higher.The government raised the tax rate for equity investments held for less than one year to 20% from 15%, and for shares held for over 12 months to 12.5% from 10% in the Budget. It also raised the securities transaction tax on derivatives.Fisheries stocks Avanti Feed and Coastal Corp rose by 4.6% and 2.3%, respectively, after the government pledged financial support for the sector.Capital goods stocks like L&T, Thermax, ABB India, and Siemens lost between 1.4% and 3% following the announcement that the government would not increase the amount it planned to spend on infrastructure.Meanwhile, the market capitalisation of all listed companies on BSE declined by Rs 1.89 lakh crore to Rs 446.43 lakh crore. The market breadth was skewed in favour of the bears. About 1,743 stocks gained, 2,159 declined, and 113 remained unchanged on the BSE.Expert Take Domestic investors had high expectations from the Budget to increase revenue and capital expenditure. However, the narrative is mixed, by curtailing expenditure while attaining fiscal prudence, which can limit further growth,  said Vinod Nair, Head of Research, Geojit Financial Services. During the year, the market has fairly factored in ongoing growth and trading at a high premium. To sustain that gap, corporate growth has to be maintained, which is experiencing a slowdown as per the ongoing Q1 result,  Nair added.Aditya Gaggar, Director of Progressive Shares, said,  By forming a Small Red candle with a big lower shadow, the Index has tested and defended its strong support of 24,200. We believe that as long as the index holds 24,200, the uptrend will remain intact. On the higher side, 24,800 will continue to act as a strong hurdle. Global MarketsWorld markets steadied on Tuesday as investors looked beyond Joe Biden's exit from the US presidential race, turning their focus to corporate earnings and economic data.The pan-European STOXX index was up 0.1% while US futures were down 0.2% following a 1.1% rise in the S&P 500 on Monday.Crude OilOil prices were flat on Tuesday after a European Central Bank official hinted at a possible rate cut in September, offsetting pressure from renewed hopes of a ceasefire in the war in Gaza.Brent crude futures for September rose 18 cents to $82.58 a barrel. U.S. West Texas Intermediate crude for September climbed 16 cents to $78.56 per barrel.Rupee at record lowThe Indian rupee slipped to record lows on Tuesday as the government raising tax rates for capital gains from equity investments and on equity derivative trades hurt market sentiment.The rupee ended slightly lower against the US dollar at 83.6875, its weakest ever closing, after having slipped to a record low of 83.7150 earlier in the session.(With inputs from agencies)",https://economictimes.indiatimes.com/markets/stocks/news//markets/stocks/news/sensex-shakes-off-tax-hike-ends-marginally-lower-nifty-dips-below-24500-titan-itc-shine/articleshow/111959147.cms
